"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";24.442;0.0379;0.0087;0.0216;-0.027;0.262;"Full";1
"Fisher";106.319;0.0339;0.0078;0.0141;0.2912;0.7187;"Full";1
"NBWaVE";94.221;0.0324;0.0074;0.0137;0.5819;0.9665;"Full";1
"CMF";202.014;0.0334;0.0077;0.0138;0.1947;0.7407;"Full";1
"NMF";NA;NA;NA;NA;NA;NA;"Full";1
"NNLM";102.514;0.0325;0.0075;0.0117;0.0348;0.8432;"Full";1
"AIRWLS";104.209;0.0323;0.0074;0.0119;0.4736;0.9024;"Full";1
"Newton";54.706;0.0323;0.0074;0.0123;0.4908;0.906;"Full";1
"C-SGD";30.019;0.0318;0.0073;0.0118;0.5233;0.9454;"Full";1
"B-SGD";19.692;0.0316;0.0073;0.012;0.4476;0.8613;"Full";1
"AvaGrad";24.442;0.038;0.1469;0.0215;-0.027;0.262;"Train";1
"Fisher";106.319;0.0338;0.1462;0.0119;0.2912;0.7187;"Train";1
"NBWaVE";94.221;0.0318;0.1458;0.0135;0.5819;0.9665;"Train";1
"CMF";202.014;0.0333;0.146;0.0112;0.1947;0.7407;"Train";1
"NMF";NA;NA;NA;NA;NA;NA;"Train";1
"NNLM";102.514;0.0325;0.1459;0.0109;0.0348;0.8432;"Train";1
"AIRWLS";104.209;0.0322;0.1458;0.0102;0.4736;0.9024;"Train";1
"Newton";54.706;0.0321;0.1458;0.0102;0.4908;0.906;"Train";1
"C-SGD";30.019;0.0314;0.1457;0.0113;0.5233;0.9454;"Train";1
"B-SGD";19.692;0.0307;0.1456;0.0116;0.4476;0.8613;"Train";1
"AvaGrad";24.442;0.0378;0.495;0.022;-0.027;0.262;"Test";1
"Fisher";106.319;0.0341;0.4944;0.0204;0.2912;0.7187;"Test";1
"NBWaVE";94.221;0.0341;0.4945;0.0144;0.5819;0.9665;"Test";1
"CMF";202.014;0.0337;0.4946;0.0213;0.1947;0.7407;"Test";1
"NMF";NA;NA;NA;NA;NA;NA;"Test";1
"NNLM";102.514;0.0327;0.4945;0.0138;0.0348;0.8432;"Test";1
"AIRWLS";104.209;0.0326;0.4944;0.0166;0.4736;0.9024;"Test";1
"Newton";54.706;0.0326;0.4944;0.0181;0.4908;0.906;"Test";1
"C-SGD";30.019;0.0329;0.4945;0.0133;0.5233;0.9454;"Test";1
"B-SGD";19.692;0.034;0.4946;0.0131;0.4476;0.8613;"Test";1
"AvaGrad";23.93;0.038;0.0076;0.0197;-0.0301;0.2616;"Full";2
"Fisher";68.799;0.0339;0.0068;0.0133;0.3633;0.7923;"Full";2
"NBWaVE";114.959;0.0325;0.0065;0.0127;0.5333;0.9575;"Full";2
"CMF";207.768;0.034;0.0069;0.0138;0.1858;0.6491;"Full";2
"NMF";217.327;0.0348;0.007;0.0138;0.1415;0.7134;"Full";2
"NNLM";103.106;0.0324;0.0066;0.0108;-0.0315;0.9234;"Full";2
"AIRWLS";104.245;0.0322;0.0065;0.0111;0.5305;0.9436;"Full";2
"Newton";53.996;0.0322;0.0065;0.0116;0.5117;0.9398;"Full";2
"C-SGD";30.03;0.0317;0.0064;0.0111;0.4709;0.8792;"Full";2
"B-SGD";19.806;0.0315;0.0064;0.0112;0.414;0.8411;"Full";2
"AvaGrad";23.93;0.038;0.1459;0.0195;-0.0301;0.2616;"Train";2
"Fisher";68.799;0.0337;0.1452;0.0106;0.3633;0.7923;"Train";2
"NBWaVE";114.959;0.0318;0.1448;0.0125;0.5333;0.9575;"Train";2
"CMF";207.768;0.0338;0.1452;0.0106;0.1858;0.6491;"Train";2
"NMF";217.327;0.0347;0.1454;0.0118;0.1415;0.7134;"Train";2
"NNLM";103.106;0.0323;0.1449;0.0101;-0.0315;0.9234;"Train";2
"AIRWLS";104.245;0.032;0.1449;0.0093;0.5305;0.9436;"Train";2
"Newton";53.996;0.032;0.1449;0.0093;0.5117;0.9398;"Train";2
"C-SGD";30.03;0.0313;0.1447;0.0105;0.4709;0.8792;"Train";2
"B-SGD";19.806;0.0306;0.1447;0.0108;0.414;0.8411;"Train";2
"AvaGrad";23.93;0.0379;0.4948;0.0204;-0.0301;0.2616;"Test";2
"Fisher";68.799;0.0342;0.4943;0.0209;0.3633;0.7923;"Test";2
"NBWaVE";114.959;0.0343;0.4944;0.0134;0.5333;0.9575;"Test";2
"CMF";207.768;0.0343;0.4945;0.0229;0.1858;0.6491;"Test";2
"NMF";217.327;0.0351;0.4944;0.0193;0.1415;0.7134;"Test";2
"NNLM";103.106;0.0327;0.4944;0.0131;-0.0315;0.9234;"Test";2
"AIRWLS";104.245;0.0326;0.4943;0.0161;0.5305;0.9436;"Test";2
"Newton";53.996;0.0326;0.4943;0.018;0.5117;0.9398;"Test";2
"C-SGD";30.03;0.0331;0.4944;0.0126;0.4709;0.8792;"Test";2
"B-SGD";19.806;0.0341;0.4944;0.0123;0.414;0.8411;"Test";2
"AvaGrad";322.776;0.0363;0.0087;0.0187;-0.0134;0.2614;"Full";3
"Fisher";71.176;0.0325;0.0078;0.013;0.29;0.78;"Full";3
"NBWaVE";91.927;0.0312;0.0075;0.0126;0.562;0.9618;"Full";3
"CMF";209.809;0.0325;0.0078;0.0134;0.0637;0.6539;"Full";3
"NMF";217.663;0.0332;0.008;0.0134;0.0257;0.722;"Full";3
"NNLM";103.527;0.0311;0.0075;0.0107;-1e-04;0.9531;"Full";3
"AIRWLS";104.124;0.0308;0.0075;0.011;0.5569;0.9588;"Full";3
"Newton";54.872;0.0309;0.0075;0.0115;0.5494;0.9539;"Full";3
"C-SGD";30.14;0.0304;0.0074;0.0109;0.5593;0.9445;"Full";3
"B-SGD";19.687;0.0302;0.0073;0.0111;0.5289;0.9203;"Full";3
"AvaGrad";322.776;0.0363;0.1465;0.0187;-0.0134;0.2614;"Train";3
"Fisher";71.176;0.0323;0.1458;0.0107;0.29;0.78;"Train";3
"NBWaVE";91.927;0.0305;0.1453;0.0124;0.562;0.9618;"Train";3
"CMF";209.809;0.0323;0.1457;0.0105;0.0637;0.6539;"Train";3
"NMF";217.663;0.0331;0.1459;0.0117;0.0257;0.722;"Train";3
"NNLM";103.527;0.0309;0.1454;0.01;-1e-04;0.9531;"Train";3
"AIRWLS";104.124;0.0307;0.1453;0.0094;0.5569;0.9588;"Train";3
"Newton";54.872;0.0307;0.1454;0.0094;0.5494;0.9539;"Train";3
"C-SGD";30.14;0.03;0.1452;0.0104;0.5593;0.9445;"Train";3
"B-SGD";19.687;0.0293;0.1451;0.0107;0.5289;0.9203;"Train";3
"AvaGrad";322.776;0.0364;0.4959;0.019;-0.0134;0.2614;"Test";3
"Fisher";71.176;0.0329;0.4953;0.0195;0.29;0.78;"Test";3
"NBWaVE";91.927;0.033;0.4954;0.0133;0.562;0.9618;"Test";3
"CMF";209.809;0.0329;0.4955;0.0217;0.0637;0.6539;"Test";3
"NMF";217.663;0.0336;0.4954;0.0182;0.0257;0.722;"Test";3
"NNLM";103.527;0.0317;0.4954;0.0128;-1e-04;0.9531;"Test";3
"AIRWLS";104.124;0.0314;0.4953;0.0155;0.5569;0.9588;"Test";3
"Newton";54.872;0.0314;0.4953;0.0175;0.5494;0.9539;"Test";3
"C-SGD";30.14;0.0318;0.4954;0.0124;0.5593;0.9445;"Test";3
"B-SGD";19.687;0.0326;0.4954;0.0121;0.5289;0.9203;"Test";3
"AvaGrad";57.986;0.0385;0.0082;0.0219;-0.0407;0.2651;"Full";4
"Fisher";209.589;0.0346;0.0074;0.0141;0.3578;0.8306;"Full";4
"NBWaVE";96.716;0.0332;0.0071;0.0136;0.565;0.9731;"Full";4
"CMF";199.591;0.0346;0.0074;0.0154;0.0928;0.6382;"Full";4
"NMF";218.223;0.0353;0.0075;0.0147;0.0484;0.7048;"Full";4
"NNLM";102.939;0.0331;0.0071;0.0114;0.0268;0.9816;"Full";4
"AIRWLS";103.98;0.0329;0.0071;0.0117;0.5872;0.9793;"Full";4
"Newton";54.571;0.0329;0.0071;0.0121;0.5872;0.9843;"Full";4
"C-SGD";30.095;0.0325;0.007;0.0121;0.543;0.9515;"Full";4
"B-SGD";19.648;0.0323;0.0069;0.0121;0.5276;0.9447;"Full";4
"AvaGrad";57.986;0.0385;0.1463;0.0217;-0.0407;0.2651;"Train";4
"Fisher";209.589;0.0344;0.1457;0.0113;0.3578;0.8306;"Train";4
"NBWaVE";96.716;0.0325;0.1453;0.0131;0.565;0.9731;"Train";4
"CMF";199.591;0.0344;0.1456;0.0109;0.0928;0.6382;"Train";4
"NMF";218.223;0.0352;0.1458;0.0123;0.0484;0.7048;"Train";4
"NNLM";102.939;0.033;0.1453;0.0105;0.0268;0.9816;"Train";4
"AIRWLS";103.98;0.0327;0.1453;0.0098;0.5872;0.9793;"Train";4
"Newton";54.571;0.0327;0.1453;0.0098;0.5872;0.9843;"Train";4
"C-SGD";30.095;0.032;0.1451;0.0112;0.543;0.9515;"Train";4
"B-SGD";19.648;0.0315;0.1451;0.0113;0.5276;0.9447;"Train";4
"AvaGrad";57.986;0.0385;0.4952;0.0224;-0.0407;0.2651;"Test";4
