"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AIRWLS";117.573;0.0369;0.0093;0.0155;0.4458;0.9816;"Full";2
"Newton";83.821;0.0368;0.0093;0.0156;0.4898;0.9755;"Full";2
"C-SGD";44.667;0.0367;0.0092;0.0159;0.4824;0.9747;"Full";2
"B-SGD";27.561;0.0363;0.0091;0.0161;0.4474;0.9564;"Full";2
"AvaGrad";68.21;0.0421;0.1482;0.0241;-0.0122;0.2541;"Train";2
"Fisher";149.162;0.0383;0.1475;0.0166;0.354;0.8576;"Train";2
"NBWaVE";121.268;0.0377;0.1473;0.0173;0.4992;0.9955;"Train";2
"CMF";205.279;0.0386;0.1475;0.0173;0.033;0.6178;"Train";2
"NMF";275.91;0.0394;0.1477;0.0186;0.0131;0.6775;"Train";2
"NNLM";153.905;0.0374;0.1473;0.0163;0.128;0.7968;"Train";2
"AIRWLS";117.573;0.0368;0.1471;0.015;0.4458;0.9816;"Train";2
"Newton";83.821;0.0368;0.1471;0.015;0.4898;0.9755;"Train";2
"C-SGD";44.667;0.0365;0.1471;0.0157;0.4824;0.9747;"Train";2
"B-SGD";27.561;0.0361;0.147;0.0159;0.4474;0.9564;"Train";2
"AvaGrad";68.21;0.0421;0.4964;0.0244;-0.0122;0.2541;"Test";2
"Fisher";149.162;0.0386;0.4959;0.02;0.354;0.8576;"Test";2
"NBWaVE";121.268;0.0383;0.4959;0.0178;0.4992;0.9955;"Test";2
"CMF";205.279;0.0387;0.4961;0.0205;0.033;0.6178;"Test";2
"NMF";275.91;0.0396;0.4961;0.0203;0.0131;0.6775;"Test";2
"NNLM";153.905;0.0377;0.4959;0.0175;0.128;0.7968;"Test";2
"AIRWLS";117.573;0.037;0.4958;0.0168;0.4458;0.9816;"Test";2
"Newton";83.821;0.037;0.4958;0.0172;0.4898;0.9755;"Test";2
"C-SGD";44.667;0.0371;0.4959;0.0165;0.4824;0.9747;"Test";2
"B-SGD";27.561;0.0371;0.4959;0.0166;0.4474;0.9564;"Test";2
"AvaGrad";62.314;0.0434;0.0101;0.0262;-0.0327;0.2625;"Full";3
"Fisher";114.51;0.0392;0.0091;0.0178;0.4777;0.9709;"Full";3
"NBWaVE";123.445;0.0387;0.009;0.0178;0.4984;0.999;"Full";3
"CMF";206.689;0.0393;0.0092;Inf;0.1847;0.8463;"Full";3
"NMF";NA;NA;NA;NA;NA;NA;"Full";3
"NNLM";154.83;0.0387;0.009;0.0176;-0.0056;0.868;"Full";3
"AIRWLS";112.693;0.0375;0.0088;0.0157;0.4846;0.9998;"Full";3
"Newton";77.382;0.0375;0.0088;0.0158;0.4656;0.9997;"Full";3
"C-SGD";44.946;0.0374;0.0087;0.0164;0.509;0.9911;"Full";3
"B-SGD";27.584;0.037;0.0087;0.0165;0.4234;0.9564;"Full";3
"AvaGrad";62.314;0.0433;0.1479;0.026;-0.0327;0.2625;"Train";3
"Fisher";114.51;0.0391;0.1471;0.0171;0.4777;0.9709;"Train";3
"NBWaVE";123.445;0.0385;0.147;0.0177;0.4984;0.999;"Train";3
"CMF";206.689;0.0393;0.1471;Inf;0.1847;0.8463;"Train";3
"NMF";NA;NA;NA;NA;NA;NA;"Train";3
"NNLM";154.83;0.0386;0.147;0.0172;-0.0056;0.868;"Train";3
"AIRWLS";112.693;0.0375;0.1468;0.0152;0.4846;0.9998;"Train";3
"Newton";77.382;0.0374;0.1468;0.0152;0.4656;0.9997;"Train";3
"C-SGD";44.946;0.0372;0.1467;0.0161;0.509;0.9911;"Train";3
"B-SGD";27.584;0.0368;0.1466;0.0162;0.4234;0.9564;"Train";3
"AvaGrad";62.314;0.0434;0.4961;0.0265;-0.0327;0.2625;"Test";3
"Fisher";114.51;0.0393;0.4956;0.0201;0.4777;0.9709;"Test";3
"NBWaVE";123.445;0.0391;0.4956;0.0183;0.4984;0.999;"Test";3
"CMF";206.689;0.0394;0.4957;Inf;0.1847;0.8463;"Test";3
"NMF";NA;NA;NA;NA;NA;NA;"Test";3
"NNLM";154.83;0.0388;0.4956;0.0187;-0.0056;0.868;"Test";3
"AIRWLS";112.693;0.0377;0.4955;0.0172;0.4846;0.9998;"Test";3
"Newton";77.382;0.0377;0.4955;0.0173;0.4656;0.9997;"Test";3
"C-SGD";44.946;0.0378;0.4955;0.0171;0.509;0.9911;"Test";3
"B-SGD";27.584;0.0377;0.4955;0.0171;0.4234;0.9564;"Test";3
"AvaGrad";60.15;0.0433;0.0105;0.0239;-0.0185;0.2581;"Full";4
"Fisher";402.164;0.0393;0.0095;0.0172;0.4413;0.9335;"Full";4
"NBWaVE";120.974;0.0388;0.0094;0.0171;0.4961;0.9989;"Full";4
"CMF";212.341;0.0395;0.0096;0.0176;0.0177;0.5335;"Full";4
"NMF";NA;NA;NA;NA;NA;NA;"Full";4
"NNLM";155.144;0.0385;0.0094;0.0164;0.0412;0.7703;"Full";4
"AIRWLS";188.324;0.0377;0.0092;0.0153;0.5088;0.9959;"Full";4
"Newton";72.095;0.0377;0.0092;0.0153;0.498;0.9956;"Full";4
"C-SGD";44.9;0.0375;0.0091;0.0156;0.5035;0.9847;"Full";4
"B-SGD";27.304;0.0371;0.0091;0.0157;0.4418;0.96;"Full";4
"AvaGrad";60.15;0.0433;0.1484;0.0238;-0.0185;0.2581;"Train";4
"Fisher";402.164;0.0392;0.1476;0.0165;0.4413;0.9335;"Train";4
"NBWaVE";120.974;0.0386;0.1475;0.0169;0.4961;0.9989;"Train";4
"CMF";212.341;0.0395;0.1477;0.017;0.0177;0.5335;"Train";4
"NMF";NA;NA;NA;NA;NA;NA;"Train";4
"NNLM";155.144;0.0385;0.1475;0.0161;0.0412;0.7703;"Train";4
"AIRWLS";188.324;0.0377;0.1473;0.0148;0.5088;0.9959;"Train";4
"Newton";72.095;0.0376;0.1473;0.0148;0.498;0.9956;"Train";4
"C-SGD";44.9;0.0374;0.1472;0.0154;0.5035;0.9847;"Train";4
"B-SGD";27.304;0.0369;0.1471;0.0155;0.4418;0.96;"Train";4
"AvaGrad";60.15;0.0433;0.496;0.0242;-0.0185;0.2581;"Test";4
"Fisher";402.164;0.0394;0.4955;0.0192;0.4413;0.9335;"Test";4
"NBWaVE";120.974;0.0392;0.4955;0.0174;0.4961;0.9989;"Test";4
"CMF";212.341;0.0396;0.4956;0.0194;0.0177;0.5335;"Test";4
"NMF";NA;NA;NA;NA;NA;NA;"Test";4
"NNLM";155.144;0.0387;0.4955;0.0172;0.0412;0.7703;"Test";4
"AIRWLS";188.324;0.0379;0.4954;0.0165;0.5088;0.9959;"Test";4
"Newton";72.095;0.0378;0.4954;0.0166;0.498;0.9956;"Test";4
"C-SGD";44.9;0.038;0.4954;0.0162;0.5035;0.9847;"Test";4
"B-SGD";27.304;0.0378;0.4954;0.0162;0.4418;0.96;"Test";4
"AvaGrad";61.925;0.043;0.0102;0.0238;-0.0208;0.2583;"Full";5
"Fisher";113.222;0.039;0.0093;0.0169;0.3452;0.8554;"Full";5
"NBWaVE";121.65;0.0384;0.0091;0.0167;0.4818;0.9957;"Full";5
"CMF";202.027;0.0392;0.0094;Inf;0.129;0.6789;"Full";5
"NMF";277.281;0.0401;0.0095;0.0184;0.0344;0.6335;"Full";5
"NNLM";155.188;0.0381;0.0091;0.0161;0.0954;0.8002;"Full";5
"AIRWLS";162.3;0.0374;0.009;0.0149;0.424;0.9455;"Full";5
"Newton";85.494;0.0373;0.0089;0.0149;0.4468;0.9703;"Full";5
"C-SGD";44.97;0.0371;0.0089;0.0153;0.3785;0.9475;"Full";5
"B-SGD";27.695;0.0368;0.0088;0.0154;0.3616;0.939;"Full";5
"AvaGrad";61.925;0.043;0.1481;0.0236;-0.0208;0.2583;"Train";5
"Fisher";113.222;0.0389;0.1473;0.0158;0.3452;0.8554;"Train";5
"NBWaVE";121.65;0.0382;0.1472;0.0165;0.4818;0.9957;"Train";5
"CMF";202.027;0.039;0.1473;0.0163;0.129;0.6789;"Train";5
"NMF";277.281;0.04;0.1476;0.0178;0.0344;0.6335;"Train";5
"NNLM";155.188;0.038;0.1471;0.0157;0.0954;0.8002;"Train";5
"AIRWLS";162.3;0.0373;0.147;0.0142;0.424;0.9455;"Train";5
"Newton";85.494;0.0372;0.147;0.0142;0.4468;0.9703;"Train";5
"C-SGD";44.97;0.0369;0.1469;0.015;0.3785;0.9475;"Train";5
"B-SGD";27.695;0.0365;0.1468;0.0152;0.3616;0.939;"Train";5
"AvaGrad";61.925;0.0431;0.4961;0.0242;-0.0208;0.2583;"Test";5
"Fisher";113.222;0.0392;0.4955;0.0198;0.3452;0.8554;"Test";5
"NBWaVE";121.65;0.0389;0.4956;0.0171;0.4818;0.9957;"Test";5
"CMF";202.027;0.0394;0.4957;Inf;0.129;0.6789;"Test";5
"NMF";277.281;0.0403;0.4957;0.0202;0.0344;0.6335;"Test";5
"NNLM";155.188;0.0383;0.4955;0.0173;0.0954;0.8002;"Test";5
"AIRWLS";162.3;0.0376;0.4955;0.0169;0.424;0.9455;"Test";5
"Newton";85.494;0.0376;0.4955;0.0169;0.4468;0.9703;"Test";5
"C-SGD";44.97;0.0377;0.4955;0.016;0.3785;0.9475;"Test";5
"B-SGD";27.695;0.0376;0.4955;0.016;0.3616;0.939;"Test";5
"AvaGrad";65.108;0.0409;0.0118;0.0207;-0.0166;0.2592;"Full";6
"Fisher";195.908;0.0375;0.0109;0.0155;0.2027;0.6649;"Full";6
"NBWaVE";116.606;0.0367;0.0107;0.0152;0.4682;0.9953;"Full";6
"CMF";200.267;0.0374;0.0109;0.0159;-0.0139;0.4928;"Full";6
"NMF";276.966;0.0383;0.0111;0.0164;0.0086;0.4697;"Full";6
"NNLM";154.603;0.0366;0.0107;0.0141;0.0294;0.6402;"Full";6
"AIRWLS";162.54;0.0359;0.0105;0.0137;0.3812;0.9596;"Full";6
"Newton";113.879;0.0359;0.0105;0.0139;0.4672;0.9599;"Full";6
"C-SGD";45.057;0.0358;0.0104;0.014;0.3832;0.9242;"Full";6
"B-SGD";27.82;0.0353;0.0103;0.014;0.3146;0.92;"Full";6
"AvaGrad";65.108;0.041;0.1497;0.0206;-0.0166;0.2592;"Train";6
"Fisher";195.908;0.0375;0.1489;0.0145;0.2027;0.6649;"Train";6
"NBWaVE";116.606;0.0366;0.1487;0.0151;0.4682;0.9953;"Train";6
"CMF";200.267;0.0374;0.1488;0.0145;-0.0139;0.4928;"Train";6
"NMF";276.966;0.0383;0.1491;0.0159;0.0086;0.4697;"Train";6
"NNLM";154.603;0.0366;0.1487;0.0138;0.0294;0.6402;"Train";6
"AIRWLS";162.54;0.0359;0.1485;0.013;0.3812;0.9596;"Train";6
"Newton";113.879;0.0359;0.1485;0.013;0.4672;0.9599;"Train";6
"C-SGD";45.057;0.0357;0.1484;0.0138;0.3832;0.9242;"Train";6
"B-SGD";27.82;0.0351;0.1483;0.0139;0.3146;0.92;"Train";6
"AvaGrad";65.108;0.0408;0.4965;0.0208;-0.0166;0.2592;"Test";6
"Fisher";195.908;0.0375;0.496;0.0181;0.2027;0.6649;"Test";6
"NBWaVE";116.606;0.0371;0.496;0.0154;0.4682;0.9953;"Test";6
"CMF";200.267;0.0374;0.4961;0.0197;-0.0139;0.4928;"Test";6
"NMF";276.966;0.0383;0.4961;0.0179;0.0086;0.4697;"Test";6
"NNLM";154.603;0.0366;0.496;0.0149;0.0294;0.6402;"Test";6
"AIRWLS";162.54;0.036;0.4959;0.0155;0.3812;0.9596;"Test";6
"Newton";113.879;0.036;0.4959;0.0164;0.4672;0.9599;"Test";6
"C-SGD";45.057;0.0361;0.4959;0.0146;0.3832;0.9242;"Test";6
"B-SGD";27.82;0.0359;0.4959;0.0144;0.3146;0.92;"Test";6
"AvaGrad";85.96;0.0445;0.0124;0.0199;-0.0186;0.2592;"Full";7
"Fisher";117.739;0.0406;0.0114;0.0142;0.2834;0.7957;"Full";7
"NBWaVE";118.088;0.0398;0.0112;0.0141;0.4902;0.9983;"Full";7
"CMF";208.323;0.0409;0.0115;0.0145;0.0448;0.565;"Full";7
"NMF";276.829;0.0416;0.0116;0.0151;0.0156;0.5706;"Full";7
"NNLM";155.115;0.0399;0.0112;0.0134;6e-04;0.7716;"Full";7
"AIRWLS";132.255;0.039;0.011;0.0126;0.4652;0.982;"Full";7
"Newton";91.713;0.039;0.011;0.0128;0.4608;0.9738;"Full";7
"C-SGD";44.321;0.0388;0.0109;0.0129;0.4504;0.9402;"Full";7
"B-SGD";27.692;0.0383;0.0108;0.0129;0.4645;0.9587;"Full";7
"AvaGrad";85.96;0.0445;0.1499;0.0198;-0.0186;0.2592;"Train";7
"Fisher";117.739;0.0405;0.149;0.0132;0.2834;0.7957;"Train";7
"NBWaVE";118.088;0.0397;0.1488;0.014;0.4902;0.9983;"Train";7
"CMF";208.323;0.0408;0.1491;0.0136;0.0448;0.565;"Train";7
"NMF";276.829;0.0415;0.1492;0.0146;0.0156;0.5706;"Train";7
"NNLM";155.115;0.0399;0.1488;0.013;6e-04;0.7716;"Train";7
"AIRWLS";132.255;0.0389;0.1486;0.0119;0.4652;0.982;"Train";7
"Newton";91.713;0.0389;0.1486;0.0119;0.4608;0.9738;"Train";7
"C-SGD";44.321;0.0386;0.1485;0.0127;0.4504;0.9402;"Train";7
"B-SGD";27.692;0.0381;0.1484;0.0128;0.4645;0.9587;"Train";7
"AvaGrad";85.96;0.0445;0.4973;0.0201;-0.0186;0.2592;"Test";7
"Fisher";117.739;0.0407;0.4968;0.0171;0.2834;0.7957;"Test";7
"NBWaVE";118.088;0.0404;0.4967;0.0143;0.4902;0.9983;"Test";7
"CMF";208.323;0.0409;0.4969;0.017;0.0448;0.565;"Test";7
"NMF";276.829;0.0417;0.4969;0.0165;0.0156;0.5706;"Test";7
"NNLM";155.115;0.0401;0.4968;0.0144;6e-04;0.7716;"Test";7
"AIRWLS";132.255;0.0392;0.4967;0.0144;0.4652;0.982;"Test";7
"Newton";91.713;0.0392;0.4967;0.0153;0.4608;0.9738;"Test";7
"C-SGD";44.321;0.0392;0.4967;0.0135;0.4504;0.9402;"Test";7
"B-SGD";27.692;0.039;0.4967;0.0134;0.4645;0.9587;"Test";7
"AvaGrad";62.741;0.04;0.0114;0.0224;-0.0213;0.2571;"Full";8
"Fisher";380.287;0.0366;0.0104;0.0164;0.3339;0.8321;"Full";8
"NBWaVE";120.173;0.036;0.0103;0.0162;0.492;0.9935;"Full";8
"CMF";207.66;0.0364;0.0104;0.0163;0.0074;0.6359;"Full";8
"NMF";278.398;0.0374;0.0107;0.0175;0.0268;0.6061;"Full";8
"NNLM";212.181;0.0358;0.0103;0.0154;0.0181;0.7206;"Full";8
"AIRWLS";148.083;0.0351;0.0101;0.0145;0.5004;0.9713;"Full";8
"Newton";113.037;0.0351;0.0101;0.0146;0.4343;0.9631;"Full";8
"C-SGD";45.185;0.035;0.01;0.0149;0.4073;0.9302;"Full";8
"B-SGD";28.557;0.0345;0.0099;0.0149;0.3908;0.9304;"Full";8
"AvaGrad";62.741;0.04;0.1492;0.0223;-0.0213;0.2571;"Train";8
"Fisher";380.287;0.0365;0.1485;0.0156;0.3339;0.8321;"Train";8
"NBWaVE";120.173;0.0359;0.1483;0.0161;0.492;0.9935;"Train";8
"CMF";207.66;0.0363;0.1484;0.0155;0.0074;0.6359;"Train";8
"NMF";278.398;0.0374;0.1487;0.017;0.0268;0.6061;"Train";8
"NNLM";212.181;0.0358;0.1483;0.0151;0.0181;0.7206;"Train";8
"AIRWLS";148.083;0.0351;0.1481;0.014;0.5004;0.9713;"Train";8
"Newton";113.037;0.0351;0.1481;0.014;0.4343;0.9631;"Train";8
"C-SGD";45.185;0.0348;0.148;0.0147;0.4073;0.9302;"Train";8
"B-SGD";28.557;0.0343;0.1479;0.0147;0.3908;0.9304;"Train";8
"AvaGrad";62.741;0.0399;0.4964;0.0227;-0.0213;0.2571;"Test";8
"Fisher";380.287;0.0367;0.4959;0.0187;0.3339;0.8321;"Test";8
"NBWaVE";120.173;0.0364;0.4959;0.0166;0.492;0.9935;"Test";8
"CMF";207.66;0.0365;0.496;0.0185;0.0074;0.6359;"Test";8
"NMF";278.398;0.0375;0.496;0.0189;0.0268;0.6061;"Test";8
"NNLM";212.181;0.0359;0.4959;0.0163;0.0181;0.7206;"Test";8
"AIRWLS";148.083;0.0353;0.4958;0.0159;0.5004;0.9713;"Test";8
"Newton";113.037;0.0353;0.4958;0.0163;0.4343;0.9631;"Test";8
"C-SGD";45.185;0.0354;0.4958;0.0155;0.4073;0.9302;"Test";8
"B-SGD";28.557;0.0351;0.4958;0.0154;0.3908;0.9304;"Test";8
"AvaGrad";850.746;0.0448;0.0101;0.031;-0.016;0.2594;"Full";9
"Fisher";129.657;0.0403;0.0091;0.0192;0.3104;0.8151;"Full";9
"NBWaVE";125.212;0.0397;0.0089;0.0183;0.4546;0.992;"Full";9
"CMF";204.604;0.0403;0.0091;0.0183;0.1156;0.7108;"Full";9
"NMF";NA;NA;NA;NA;NA;NA;"Full";9
"NNLM";154.648;0.0396;0.009;0.0173;0.0109;0.7927;"Full";9
"AIRWLS";188.989;0.0386;0.0087;0.0159;0.4927;0.9936;"Full";9
"Newton";110.21;0.0385;0.0087;0.0159;0.4808;0.9932;"Full";9
"C-SGD";45.081;0.0383;0.0087;0.0167;0.485;0.9715;"Full";9
"B-SGD";27.669;0.038;0.0086;0.0167;0.3158;0.9233;"Full";9
"AvaGrad";850.746;0.0447;0.1479;0.0307;-0.016;0.2594;"Train";9
"Fisher";129.657;0.0402;0.1471;0.017;0.3104;0.8151;"Train";9
"NBWaVE";125.212;0.0395;0.147;0.018;0.4546;0.992;"Train";9
"CMF";204.604;0.0403;0.1471;0.0173;0.1156;0.7108;"Train";9
"NMF";NA;NA;NA;NA;NA;NA;"Train";9
"NNLM";154.648;0.0395;0.147;0.0168;0.0109;0.7927;"Train";9
"AIRWLS";188.989;0.0385;0.1468;0.0151;0.4927;0.9936;"Train";9
"Newton";110.21;0.0385;0.1468;0.0151;0.4808;0.9932;"Train";9
"C-SGD";45.081;0.0382;0.1467;0.0163;0.485;0.9715;"Train";9
"B-SGD";27.669;0.0378;0.1467;0.0163;0.3158;0.9233;"Train";9
"AvaGrad";850.746;0.0448;0.4961;0.0317;-0.016;0.2594;"Test";9
"Fisher";129.657;0.0405;0.4955;0.0253;0.3104;0.8151;"Test";9
"NBWaVE";125.212;0.0402;0.4955;0.0192;0.4546;0.992;"Test";9
"CMF";204.604;0.0404;0.4956;0.021;0.1156;0.7108;"Test";9
"NMF";NA;NA;NA;NA;NA;NA;"Test";9
"NNLM";154.648;0.0397;0.4955;0.0187;0.0109;0.7927;"Test";9
"AIRWLS";188.989;0.0387;0.4954;0.0181;0.4927;0.9936;"Test";9
"Newton";110.21;0.0387;0.4954;0.0183;0.4808;0.9932;"Test";9
"C-SGD";45.081;0.0388;0.4954;0.0176;0.485;0.9715;"Test";9
"B-SGD";27.669;0.0387;0.4954;0.0178;0.3158;0.9233;"Test";9
"AvaGrad";121.364;0.042;0.0113;0.023;-0.0209;0.2618;"Full";10
"Fisher";216.118;0.0387;0.0104;0.0167;0.3429;0.8375;"Full";10
"NBWaVE";122.405;0.0381;0.0103;0.0166;0.4584;0.9916;"Full";10
"CMF";210.391;0.0386;0.0104;0.0166;0.007;0.6566;"Full";10
"NMF";277.748;0.0396;0.0107;0.0179;0.0307;0.6435;"Full";10
"NNLM";154.17;0.038;0.0103;0.0157;0.0818;0.7636;"Full";10
"AIRWLS";165.383;0.0373;0.0101;0.0149;0.502;0.9889;"Full";10
"Newton";85.257;0.0373;0.0101;0.0149;0.456;0.9869;"Full";10
"C-SGD";44.956;0.0371;0.0101;0.0154;0.3989;0.9092;"Full";10
"B-SGD";27.669;0.0367;0.01;0.0154;0.4044;0.9093;"Full";10
"AvaGrad";121.364;0.042;0.149;0.0229;-0.0209;0.2618;"Train";10
"Fisher";216.118;0.0387;0.1483;0.0159;0.3429;0.8375;"Train";10
"NBWaVE";122.405;0.038;0.1481;0.0165;0.4584;0.9916;"Train";10
"CMF";210.391;0.0386;0.1483;0.0159;0.007;0.6566;"Train";10
"NMF";277.748;0.0396;0.1485;0.0174;0.0307;0.6435;"Train";10
"NNLM";154.17;0.0379;0.1481;0.0154;0.0818;0.7636;"Train";10
"AIRWLS";165.383;0.0373;0.148;0.0143;0.502;0.9889;"Train";10
"Newton";85.257;0.0373;0.148;0.0143;0.456;0.9869;"Train";10
"C-SGD";44.956;0.037;0.1479;0.0152;0.3989;0.9092;"Train";10
"B-SGD";27.669;0.0365;0.1478;0.0152;0.4044;0.9093;"Train";10
"AvaGrad";121.364;0.0419;0.4966;0.0231;-0.0209;0.2618;"Test";10
"Fisher";216.118;0.0388;0.4962;0.0191;0.3429;0.8375;"Test";10
"NBWaVE";122.405;0.0385;0.4961;0.017;0.4584;0.9916;"Test";10
"CMF";210.391;0.0386;0.4962;0.0187;0.007;0.6566;"Test";10
"NMF";277.748;0.0396;0.4962;0.0192;0.0307;0.6435;"Test";10
"NNLM";154.17;0.038;0.4961;0.0167;0.0818;0.7636;"Test";10
"AIRWLS";165.383;0.0374;0.496;0.0166;0.502;0.9889;"Test";10
"Newton";85.257;0.0374;0.496;0.0167;0.456;0.9869;"Test";10
"C-SGD";44.956;0.0375;0.4961;0.0161;0.3989;0.9092;"Test";10
"B-SGD";27.669;0.0373;0.4961;0.016;0.4044;0.9093;"Test";10
"AvaGrad";65.627;0.0437;0.0114;0.024;-0.0192;0.2609;"Full";11
"Fisher";118.719;0.04;0.0105;0.0171;0.3705;0.8967;"Full";11
"NBWaVE";119.534;0.0394;0.0103;0.017;0.4365;0.9933;"Full";11
"CMF";214.874;0.0396;0.0104;0.0168;0.0236;0.672;"Full";11
"NMF";255.582;0.041;0.0107;0.0186;0.0118;0.6846;"Full";11
"NNLM";155.04;0.0391;0.0103;0.0162;0.0029;0.8088;"Full";11
"AIRWLS";181.48;0.0384;0.0101;0.0152;0.4679;0.983;"Full";11
"Newton";82.642;0.0384;0.0101;0.0152;0.4928;0.9851;"Full";11
"C-SGD";44.886;0.0382;0.0101;0.0156;0.4578;0.9746;"Full";11
"B-SGD";27.689;0.0378;0.01;0.0157;0.4177;0.9501;"Full";11
"AvaGrad";65.627;0.0436;0.1492;0.0239;-0.0192;0.2609;"Train";11
"Fisher";118.719;0.0399;0.1484;0.0163;0.3705;0.8967;"Train";11
"NBWaVE";119.534;0.0392;0.1482;0.0169;0.4365;0.9933;"Train";11
"CMF";214.874;0.0396;0.1483;0.0162;0.0236;0.672;"Train";11
"NMF";255.582;0.0409;0.1486;0.0181;0.0118;0.6846;"Train";11
"NNLM";155.04;0.0391;0.1482;0.0159;0.0029;0.8088;"Train";11
"AIRWLS";181.48;0.0383;0.148;0.0147;0.4679;0.983;"Train";11
"Newton";82.642;0.0383;0.148;0.0147;0.4928;0.9851;"Train";11
"C-SGD";44.886;0.038;0.1479;0.0153;0.4578;0.9746;"Train";11
"B-SGD";27.689;0.0376;0.1479;0.0155;0.4177;0.9501;"Train";11
"AvaGrad";65.627;0.0438;0.4967;0.0244;-0.0192;0.2609;"Test";11
"Fisher";118.719;0.0402;0.4962;0.0194;0.3705;0.8967;"Test";11
"NBWaVE";119.534;0.04;0.4961;0.0175;0.4365;0.9933;"Test";11
"CMF";214.874;0.0398;0.4962;0.0185;0.0236;0.672;"Test";11
"NMF";255.582;0.0411;0.4963;0.0198;0.0118;0.6846;"Test";11
"NNLM";155.04;0.0394;0.4961;0.0171;0.0029;0.8088;"Test";11
"AIRWLS";181.48;0.0387;0.496;0.0166;0.4679;0.983;"Test";11
"Newton";82.642;0.0386;0.496;0.0166;0.4928;0.9851;"Test";11
"C-SGD";44.886;0.0387;0.4961;0.0162;0.4578;0.9746;"Test";11
"B-SGD";27.689;0.0386;0.4961;0.0163;0.4177;0.9501;"Test";11
"AvaGrad";60.044;0.042;0.0117;0.025;-0.0356;0.2649;"Full";12
"Fisher";217.707;0.0382;0.0107;0.0171;0.2391;0.799;"Full";12
"NBWaVE";122.576;0.0376;0.0105;0.0166;0.3934;0.9903;"Full";12
"CMF";192.744;0.0381;0.0107;Inf;0.0828;0.6178;"Full";12
"NMF";276.734;0.0392;0.011;0.0181;0.0107;0.6137;"Full";12
"NNLM";154.442;0.0375;0.0105;0.0158;-0.0058;0.7402;"Full";12
"AIRWLS";195.813;0.0367;0.0103;0.0146;0.448;0.9519;"Full";12
"Newton";91.621;0.0366;0.0103;0.0146;0.4284;0.9516;"Full";12
"C-SGD";45.092;0.0365;0.0103;0.0152;0.3296;0.8965;"Full";12
"B-SGD";27.653;0.0361;0.0102;0.0152;0.3435;0.8827;"Full";12
"AvaGrad";60.044;0.042;0.1495;0.0248;-0.0356;0.2649;"Train";12
