"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";1028.981;0.0427;0.0108;0.0211;-0.0161;0.2563;"Full";1
"Fisher";141.287;0.039;0.0099;0.0159;0.3158;0.868;"Full";1
"NBWaVE";120.264;0.0384;0.0097;0.0158;0.4917;0.9967;"Full";1
"CMF";208.103;0.0394;0.01;0.0169;0.0265;0.5045;"Full";1
"NMF";276.776;0.0405;0.0102;0.0179;0.0527;0.5587;"Full";1
"NNLM";155.177;0.0382;0.0097;0.0152;0.0074;0.754;"Full";1
"AIRWLS";155.99;0.0374;0.0095;0.0144;0.4967;0.9761;"Full";1
"Newton";116.013;0.0374;0.0095;0.0147;0.4532;0.9797;"Full";1
"C-SGD";44.78;0.0372;0.0095;0.0146;0.4071;0.9583;"Full";1
"B-SGD";27.655;0.0369;0.0094;0.0146;0.4424;0.9461;"Full";1
"AvaGrad";1028.981;0.0427;0.1485;0.021;-0.0161;0.2563;"Train";1
"Fisher";141.287;0.0389;0.1477;0.015;0.3158;0.868;"Train";1
"NBWaVE";120.264;0.0382;0.1475;0.0157;0.4917;0.9967;"Train";1
"CMF";208.103;0.0394;0.1478;0.0157;0.0265;0.5045;"Train";1
"NMF";276.776;0.0405;0.148;0.0173;0.0527;0.5587;"Train";1
"NNLM";155.177;0.0381;0.1475;0.0149;0.0074;0.754;"Train";1
"AIRWLS";155.99;0.0374;0.1474;0.0137;0.4967;0.9761;"Train";1
"Newton";116.013;0.0373;0.1474;0.0137;0.4532;0.9797;"Train";1
"C-SGD";44.78;0.037;0.1473;0.0144;0.4071;0.9583;"Train";1
"B-SGD";27.655;0.0366;0.1472;0.0144;0.4424;0.9461;"Train";1
"AvaGrad";1028.981;0.0427;0.4965;0.0214;-0.0161;0.2563;"Test";1
"Fisher";141.287;0.0392;0.496;0.0183;0.3158;0.868;"Test";1
"NBWaVE";120.264;0.0389;0.496;0.0162;0.4917;0.9967;"Test";1
"CMF";208.103;0.0395;0.4962;0.0202;0.0265;0.5045;"Test";1
"NMF";276.776;0.0406;0.4962;0.0194;0.0527;0.5587;"Test";1
"NNLM";155.177;0.0383;0.496;0.016;0.0074;0.754;"Test";1
"AIRWLS";155.99;0.0376;0.4959;0.0164;0.4967;0.9761;"Test";1
"Newton";116.013;0.0376;0.4959;0.0175;0.4532;0.9797;"Test";1
"C-SGD";44.78;0.0377;0.4959;0.0152;0.4071;0.9583;"Test";1
"B-SGD";27.655;0.0376;0.4959;0.0152;0.4424;0.9461;"Test";1
"AvaGrad";68.21;0.0421;0.0105;0.0242;-0.0122;0.2541;"Full";2
"Fisher";149.162;0.0384;0.0096;0.0175;0.354;0.8576;"Full";2
"NBWaVE";121.268;0.0379;0.0095;0.0174;0.4992;0.9955;"Full";2
"CMF";205.279;0.0386;0.0097;0.0181;0.033;0.6178;"Full";2
"NMF";275.91;0.0394;0.0099;0.0191;0.0131;0.6775;"Full";2
"NNLM";153.905;0.0375;0.0094;0.0166;0.128;0.7968;"Full";2
