"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";1875.8;0.0482;0.0143;0.0257;-0.0111;0.2559;"Full";1
"Fisher";260.214;0.0444;0.0132;0.0186;0.3386;0.8674;"Full";1
"NBWaVE";207.52;0.0439;0.0131;0.0184;0.4434;0.9993;"Full";1
"CMF";341.707;0.0443;0.0133;0.0185;0.0336;0.6635;"Full";1
"NMF";485.874;0.0454;0.0135;0.0198;0.0134;0.6877;"Full";1
"NNLM";275.086;0.0437;0.0131;0.0178;0.0015;0.7882;"Full";1
"AIRWLS";207.566;0.0428;0.0128;0.0167;0.4963;0.9939;"Full";1
"Newton";179.867;0.0428;0.0128;0.0167;0.471;0.9921;"Full";1
"C-SGD";66.817;0.0427;0.0128;0.0172;0.4211;0.947;"Full";1
"B-SGD";42.495;0.0421;0.0126;0.0172;0.4352;0.9707;"Full";1
"AvaGrad";1875.8;0.0481;0.1515;0.0256;-0.0111;0.2559;"Train";1
"Fisher";260.214;0.0443;0.1506;0.0177;0.3386;0.8674;"Train";1
"NBWaVE";207.52;0.0437;0.1505;0.0183;0.4434;0.9993;"Train";1
"CMF";341.707;0.0443;0.1506;0.0178;0.0336;0.6635;"Train";1
"NMF";485.874;0.0453;0.1509;0.0192;0.0134;0.6877;"Train";1
"NNLM";275.086;0.0437;0.1505;0.0173;0.0015;0.7882;"Train";1
"AIRWLS";207.566;0.0427;0.1502;0.0162;0.4963;0.9939;"Train";1
"Newton";179.867;0.0427;0.1502;0.0162;0.471;0.9921;"Train";1
"C-SGD";66.817;0.0426;0.1502;0.017;0.4211;0.947;"Train";1
"B-SGD";42.495;0.0419;0.15;0.017;0.4352;0.9707;"Train";1
"AvaGrad";1875.8;0.0482;0.4983;0.0261;-0.0111;0.2559;"Test";1
"Fisher";260.214;0.0446;0.4977;0.0213;0.3386;0.8674;"Test";1
"NBWaVE";207.52;0.0443;0.4977;0.0188;0.4434;0.9993;"Test";1
"CMF";341.707;0.0444;0.4978;0.0207;0.0336;0.6635;"Test";1
"NMF";485.874;0.0455;0.4978;0.0213;0.0134;0.6877;"Test";1
"NNLM";275.086;0.0439;0.4977;0.0189;0.0015;0.7882;"Test";1
"AIRWLS";207.566;0.043;0.4976;0.018;0.4963;0.9939;"Test";1
"Newton";179.867;0.0429;0.4976;0.0182;0.471;0.9921;"Test";1
"C-SGD";66.817;0.0431;0.4976;0.0178;0.4211;0.947;"Test";1
"B-SGD";42.495;0.0426;0.4975;0.0177;0.4352;0.9707;"Test";1
"AvaGrad";112.063;0.0497;0.013;0.0281;-0.0166;0.2611;"Full";2
"Fisher";217.168;0.0456;0.0119;0.0207;0.4357;0.9481;"Full";2
"NBWaVE";211.191;0.0451;0.0118;0.0206;0.4185;0.9987;"Full";2
"CMF";344.595;0.0455;0.012;0.021;-0.0037;0.6562;"Full";2
"NMF";NA;NA;NA;NA;NA;NA;"Full";2
"NNLM";276.071;0.0448;0.0118;0.02;0.0781;0.6602;"Full";2
"AIRWLS";175.752;0.0439;0.0116;0.0187;0.4396;0.9989;"Full";2
"Newton";149.44;0.0439;0.0116;0.0188;0.4667;0.9982;"Full";2
"C-SGD";67.23;0.0439;0.0116;0.0193;0.4453;0.976;"Full";2
"B-SGD";42.282;0.0432;0.0114;0.0193;0.4715;0.9836;"Full";2
"AvaGrad";112.063;0.0497;0.1505;0.028;-0.0166;0.2611;"Train";2
"Fisher";217.168;0.0456;0.1496;0.02;0.4357;0.9481;"Train";2
"NBWaVE";211.191;0.045;0.1495;0.0205;0.4185;0.9987;"Train";2
"CMF";344.595;0.0455;0.1496;0.0203;-0.0037;0.6562;"Train";2
"NMF";NA;NA;NA;NA;NA;NA;"Train";2
"NNLM";276.071;0.0447;0.1495;0.0198;0.0781;0.6602;"Train";2
"AIRWLS";175.752;0.0439;0.1493;0.0183;0.4396;0.9989;"Train";2
"Newton";149.44;0.0438;0.1493;0.0183;0.4667;0.9982;"Train";2
"C-SGD";67.23;0.0438;0.1492;0.0191;0.4453;0.976;"Train";2
"B-SGD";42.282;0.043;0.1491;0.0191;0.4715;0.9836;"Train";2
"AvaGrad";112.063;0.0497;0.4975;0.0283;-0.0166;0.2611;"Test";2
"Fisher";217.168;0.0457;0.4969;0.0227;0.4357;0.9481;"Test";2
"NBWaVE";211.191;0.0455;0.4969;0.0211;0.4185;0.9987;"Test";2
"CMF";344.595;0.0455;0.497;0.023;-0.0037;0.6562;"Test";2
"NMF";NA;NA;NA;NA;NA;NA;"Test";2
"NNLM";276.071;0.0449;0.4969;0.0209;0.0781;0.6602;"Test";2
"AIRWLS";175.752;0.0441;0.4968;0.0199;0.4396;0.9989;"Test";2
"Newton";149.44;0.044;0.4968;0.0201;0.4667;0.9982;"Test";2
"C-SGD";67.23;0.0442;0.4968;0.0199;0.4453;0.976;"Test";2
"B-SGD";42.282;0.0437;0.4967;0.0198;0.4715;0.9836;"Test";2
"AvaGrad";1489.995;0.0483;0.0142;0.0295;-0.0237;0.2859;"Full";3
"Fisher";590.929;0.0439;0.013;0.0192;0.3636;0.9262;"Full";3
"NBWaVE";221.555;0.0434;0.0129;0.0185;0.4296;0.9997;"Full";3
"CMF";335.778;0.0441;0.0131;Inf;0.1294;0.776;"Full";3
"NMF";NA;NA;NA;NA;NA;NA;"Full";3
"NNLM";365.825;0.0434;0.0129;0.018;0.1071;0.8038;"Full";3
"AIRWLS";343.851;0.0423;0.0126;0.0164;0.4767;0.9961;"Full";3
"Newton";220.287;0.0423;0.0126;0.0164;0.4784;0.9963;"Full";3
"C-SGD";66.462;0.0421;0.0125;0.017;0.4633;0.9932;"Full";3
"B-SGD";42.358;0.0415;0.0124;0.017;0.4983;0.9958;"Full";3
"AvaGrad";1489.995;0.0483;0.1516;0.0293;-0.0237;0.2859;"Train";3
"Fisher";590.929;0.0439;0.1505;0.0175;0.3636;0.9262;"Train";3
"NBWaVE";221.555;0.0433;0.1503;0.0183;0.4296;0.9997;"Train";3
"CMF";335.778;0.0441;0.1506;Inf;0.1294;0.776;"Train";3
"NMF";NA;NA;NA;NA;NA;NA;"Train";3
"NNLM";365.825;0.0434;0.1504;0.0176;0.1071;0.8038;"Train";3
"AIRWLS";343.851;0.0423;0.1501;0.0159;0.4767;0.9961;"Train";3
"Newton";220.287;0.0422;0.1501;0.0159;0.4784;0.9963;"Train";3
"C-SGD";66.462;0.042;0.15;0.0167;0.4633;0.9932;"Train";3
