"iteration";"model";"dimension";"ncomp";"time";"error";"deviance";"silhouette"
1;"CMF";50;15;473.661;0.0342;0.0289;0.0828
1;"NMF";50;15;NA;NA;NA;NA
1;"NMF+";50;15;182.793;0.0328;0.0147;0.0833
1;"AvaGrad";50;15;57.757;0.0365;0.0203;-0.0466
1;"Fisher";50;15;205.691;0.0335;0.0223;0.275
1;"NBWaVE";50;15;235.931;0.0348;0.0145;0.5127
1;"AIRWLS";50;15;227.046;0.0328;0.0181;0.5622
1;"Newton";50;15;105.982;0.0329;0.0217;0.551
1;"SGD";50;15;33.128;0.0361;0.0134;0.448
2;"CMF";50;15;469.804;0.0328;0.0228;0.1495
2;"NMF";50;15;560.92;0.0338;0.0221;0.1089
2;"NMF+";50;15;203.255;0.0318;0.0141;0.0946
2;"AvaGrad";50;15;480.789;0.038;0.0189;-0.0239
2;"Fisher";50;15;319.61;0.0346;0.021;0.163
2;"NBWaVE";50;15;218.15;0.0336;0.0137;0.5609
2;"AIRWLS";50;15;224.699;0.0316;0.0166;0.6024
2;"Newton";50;15;103.163;0.0317;0.0187;0.5796
2;"SGD";50;15;32.878;0.0351;0.0129;0.4841
3;"CMF";50;15;478.682;0.036;0.0253;0.0889
3;"NMF";50;15;563.177;0.0369;0.0213;0.0587
3;"NMF+";50;15;191.76;0.0348;0.0142;0.1402
3;"AvaGrad";50;15;54.436;0.0357;0.0206;-0.0117
3;"Fisher";50;15;216.273;0.0323;0.0214;0.252
3;"NBWaVE";50;15;229.758;0.0369;0.0144;0.5602
3;"AIRWLS";50;15;227.133;0.0347;0.0179;0.5784
3;"Newton";50;15;104.583;0.0347;0.0207;0.57
3;"SGD";50;15;33.797;0.0377;0.0132;0.5049
4;"CMF";50;15;476.889;0.0335;0.0273;0.1486
4;"NMF";50;15;562.319;0.0339;0.0201;0.0629
4;"NMF+";50;15;179.618;0.0321;0.0139;0.0742
4;"AvaGrad";50;15;33.319;0.0354;0.0187;-0.0156
4;"Fisher";50;15;225.753;0.0325;0.0203;0.2984
4;"NBWaVE";50;15;252.483;0.034;0.0137;0.4957
4;"AIRWLS";50;15;226.969;0.032;0.0177;0.5252
4;"Newton";50;15;102.854;0.0321;0.0216;0.5017
4;"SGD";50;15;32.736;0.0353;0.0128;0.3911
5;"CMF";50;15;474.775;0.0328;NA;0.0463
5;"NMF";50;15;NA;NA;NA;NA
5;"NMF+";50;15;194.157;0.0311;NA;0.0631
5;"AvaGrad";50;15;37.846;0.0369;0.023;-0.0461
5;"Fisher";50;15;220.082;0.0335;0.0249;0.4059
5;"NBWaVE";50;15;272.883;0.033;0.0151;0.4229
5;"AIRWLS";50;15;224.495;0.0312;0.0201;0.4384
5;"Newton";50;15;107.078;0.0313;0.0245;0.4083
5;"SGD";50;15;33.292;0.0345;0.0141;0.3369
6;"CMF";50;15;475.112;0.0333;0.0311;0.0927
6;"NMF";50;15;560.366;0.0339;0.0216;0.0236
6;"NMF+";50;15;188.161;0.0317;0.0146;0.0518
6;"AvaGrad";50;15;434.903;0.0368;0.0202;-0.0221
6;"Fisher";50;15;537.713;0.0332;0.0221;0.4838
6;"NBWaVE";50;15;264.594;0.0335;0.0143;0.5445
6;"AIRWLS";50;15;222.312;0.0317;0.0186;0.558
6;"Newton";50;15;102.709;0.0318;0.0223;0.5433
6;"SGD";50;15;33.689;0.0347;0.0133;0.5219
7;"CMF";50;15;464.979;0.0317;0.0302;0.0529
7;"NMF";50;15;NA;NA;NA;NA
7;"NMF+";50;15;194.982;0.0301;0.0143;0.06
7;"AvaGrad";50;15;433.561;0.0374;0.0196;-0.0169
7;"Fisher";50;15;452.164;0.0341;0.0214;0.2034
7;"NBWaVE";50;15;275.412;0.032;0.0141;0.4692
7;"AIRWLS";50;15;220.923;0.0302;0.0185;0.5132
7;"Newton";50;15;107.556;0.0303;0.0224;0.5082
7;"SGD";50;15;33.22;0.0331;0.013;0.3961
8;"CMF";50;15;471.655;0.0328;NA;0.0744
8;"NMF";50;15;560.104;0.0327;0.0195;0.0966
8;"NMF+";50;15;177.668;0.031;0.0142;0.0151
8;"AvaGrad";50;15;49.666;0.0362;0.0226;-0.0242
8;"Fisher";50;15;356.901;0.0323;0.0231;0.3029
8;"NBWaVE";50;15;269.839;0.0327;0.0142;0.5649
8;"AIRWLS";50;15;222.983;0.0309;0.0183;0.5398
8;"Newton";50;15;103.77;0.031;0.022;0.5625
8;"SGD";50;15;33.628;0.0339;0.013;0.456
9;"CMF";50;15;463.443;0.0321;0.0304;0.0266
9;"NMF";50;15;563.617;0.0323;0.0191;-0.048
9;"NMF+";50;15;208.98;0.0308;0.0138;0.0424
9;"AvaGrad";50;15;534.439;0.0369;0.0201;-0.0254
9;"Fisher";50;15;250.981;0.0335;0.0207;0.4127
9;"NBWaVE";50;15;268.801;0.0324;0.0134;0.4442
9;"AIRWLS";50;15;221.964;0.0308;0.0178;0.4419
9;"Newton";50;15;110.672;0.0309;0.0212;0.376
9;"SGD";50;15;33.319;0.0333;0.0126;0.3434
10;"CMF";50;15;471.907;0.0336;0.0294;0.1841
10;"NMF";50;15;560.257;0.0343;0.0228;0.0513
10;"NMF+";50;15;206.487;0.0322;0.0159;0.1173
10;"AvaGrad";50;15;46.568;0.0357;0.02;-0.0196
10;"Fisher";50;15;269.84;0.0325;0.0211;0.2529
10;"NBWaVE";50;15;224.659;0.0342;0.0157;0.5537
10;"AIRWLS";50;15;226.611;0.0322;0.0201;0.5786
10;"Newton";50;15;105.824;0.0322;0.0238;0.5587
10;"SGD";50;15;33.181;0.0357;0.0145;0.4896
11;"CMF";50;15;472.546;0.0357;0.037;0.1695
11;"NMF";50;15;561.792;0.0361;0.0241;0.1329
11;"NMF+";50;15;203.763;0.0339;0.016;0.1576
11;"AvaGrad";50;15;453.744;0.0364;0.0244;-0.0222
11;"Fisher";50;15;198.409;0.033;0.0259;0.3151
11;"NBWaVE";50;15;177.564;0.036;0.0159;0.5301
11;"AIRWLS";50;15;215.889;0.0339;0.0199;0.5243
11;"Newton";50;15;108.501;0.0339;0.0228;0.537
11;"SGD";50;15;33.137;0.0373;0.0146;0.3752
12;"CMF";50;15;474.495;0.033;0.029;0.2231
12;"NMF";50;15;561.017;0.0337;0.0214;0.0938
12;"NMF+";50;15;183.426;0.0319;0.0149;0.0853
12;"AvaGrad";50;15;79.949;0.0363;0.0219;-0.0175
12;"Fisher";50;15;258.08;0.033;0.0229;0.3
12;"NBWaVE";50;15;250.186;0.0337;0.0145;0.4654
12;"AIRWLS";50;15;225.665;0.0318;0.0183;0.5136
12;"Newton";50;15;103.744;0.0319;0.0216;0.5084
