"iteration";"model";"dimension";"ncomp";"time";"error";"deviance";"silhouette"
1;"CMF";10;5;8.119;0.0176;0.0388;0.1282
1;"NMF";10;5;6.568;0.0172;0.0208;0.0744
1;"NMF+";10;5;3.576;0.0155;0.0113;0.1916
1;"AvaGrad";10;5;1.349;0.0203;0.0157;-0.0457
1;"Fisher";10;5;1.215;0.0169;0.0169;0.2568
1;"NBWaVE";10;5;10.911;0.0159;0.0092;0.4244
1;"AIRWLS";10;5;3.577;0.0148;0.0117;0.399
1;"Newton";10;5;1.831;0.0149;0.0122;0.3815
1;"SGD";10;5;1.933;0.0186;0.0098;0.2322
2;"CMF";10;5;10.071;0.0163;0.0294;0.0277
2;"NMF";10;5;7.057;0.0161;0.0178;0.0186
2;"NMF+";10;5;2.583;0.0145;0.0141;0.0552
2;"AvaGrad";10;5;1.56;0.0198;0.0213;-0.0477
2;"Fisher";10;5;1.624;0.0169;0.0241;0.0474
2;"NBWaVE";10;5;11.559;0.0153;0.0094;0.362
2;"AIRWLS";10;5;3.568;0.0141;0.0113;0.3256
2;"Newton";10;5;1.807;0.0141;0.0117;0.3615
2;"SGD";10;5;1.927;0.0177;0.0101;0.1881
3;"CMF";10;5;9.57;0.0178;0.0184;0.1294
3;"NMF";10;5;4.802;0.0187;0.0203;0.0124
3;"NMF+";10;5;3.57;0.0168;0.0128;0.0456
3;"AvaGrad";10;5;1.378;0.0233;0.0272;-0.026
3;"Fisher";10;5;1.206;0.0189;0.0257;0.1395
3;"NBWaVE";10;5;14.23;0.0178;0.0128;0.2881
3;"AIRWLS";10;5;3.579;0.0163;0.0138;0.3654
3;"Newton";10;5;1.81;0.0163;0.0161;0.3872
3;"SGD";10;5;1.918;0.0207;0.0118;0.2556
4;"CMF";10;5;9.279;0.0157;0.0192;0.0045
4;"NMF";10;5;4.8;0.0162;0.0176;-0.0044
4;"NMF+";10;5;3.568;0.0143;0.0106;0.0931
4;"AvaGrad";10;5;0.736;0.0201;0.0116;-0.041
4;"Fisher";10;5;1.212;0.0172;0.0164;0.0611
4;"NBWaVE";10;5;15.886;0.015;0.01;0.3522
4;"AIRWLS";10;5;3.547;0.0139;0.0119;0.3268
4;"Newton";10;5;1.807;0.0139;0.0124;0.3122
4;"SGD";10;5;1.913;0.0171;0.0096;0.1542
5;"CMF";10;5;8.714;0.0188;0.0254;0.1813
5;"NMF";10;5;1.62;0.0202;0.0247;0.0791
5;"NMF+";10;5;3.584;0.0166;0.0124;0.2096
5;"AvaGrad";10;5;9.563;0.0193;0.0183;0.0955
5;"Fisher";10;5;1.206;0.0174;0.0201;0.2422
5;"NBWaVE";10;5;9.5;0.0176;0.0134;0.3049
5;"AIRWLS";10;5;3.539;0.0163;0.0159;0.2618
5;"Newton";10;5;1.812;0.0164;0.0185;0.2726
5;"SGD";10;5;1.91;0.0195;0.012;0.234
6;"CMF";10;5;9.858;0.0165;0.0159;-0.0359
6;"NMF";10;5;4.802;0.0173;0.0191;-0.0424
6;"NMF+";10;5;2.984;0.0149;0.0107;-0.0209
6;"AvaGrad";10;5;1.927;0.0195;0.016;-0.051
6;"Fisher";10;5;5.618;0.0171;0.0188;0.0674
6;"NBWaVE";10;5;18.793;0.0153;0.0088;0.3883
6;"AIRWLS";10;5;3.551;0.014;0.0105;0.3178
6;"Newton";10;5;1.808;0.0142;0.0137;0.3075
6;"SGD";10;5;1.908;0.0175;0.0075;0.1898
7;"CMF";10;5;9.767;0.0189;0.021;0.0886
7;"NMF";10;5;4.794;0.0205;0.0257;0.014
7;"NMF+";10;5;3.552;0.0177;0.0168;0.0886
7;"AvaGrad";10;5;9.021;0.0211;0.0296;0.239
7;"Fisher";10;5;2.325;0.0218;0.0382;0.187
7;"NBWaVE";10;5;13.804;0.0191;0.0164;0.2851
7;"AIRWLS";10;5;3.577;0.0169;0.0159;0.3209
7;"Newton";10;5;1.81;0.017;0.0189;0.3187
7;"SGD";10;5;1.918;0.0219;0.0154;0.0997
8;"CMF";10;5;9.489;0.019;0.016;0.0476
8;"NMF";10;5;3.917;0.0205;0.0195;0.0462
8;"NMF+";10;5;3.547;0.0173;0.0102;0.089
8;"AvaGrad";10;5;9.342;0.0196;0.0149;-0.0414
8;"Fisher";10;5;1.216;0.0173;0.0179;0.1004
8;"NBWaVE";10;5;9.206;0.0183;0.0104;0.3792
8;"AIRWLS";10;5;3.551;0.0167;0.0127;0.2619
8;"Newton";10;5;1.811;0.0167;0.0138;0.2588
8;"SGD";10;5;1.916;0.0202;0.0087;0.245
9;"CMF";10;5;9.243;0.0166;0.0174;0.1093
9;"NMF";10;5;2.565;0.0176;0.0193;-0.0154
9;"NMF+";10;5;3.573;0.0151;0.0105;0.189
9;"AvaGrad";10;5;8.993;0.0172;0.0164;0.0573
9;"Fisher";10;5;1.206;0.0159;0.0184;0.1013
9;"NBWaVE";10;5;10.153;0.0164;0.0106;0.3057
9;"AIRWLS";10;5;3.549;0.0147;0.0118;0.3055
9;"Newton";10;5;1.81;0.0147;0.0125;0.3376
9;"SGD";10;5;1.916;0.0175;0.0094;0.2604
10;"CMF";10;5;9.817;0.0171;0.0168;0.1785
10;"NMF";10;5;5.505;0.019;0.0316;0.1633
10;"NMF+";10;5;3.583;0.0168;0.0188;0.179
10;"AvaGrad";10;5;6.509;0.0184;0.0143;-0.0623
10;"Fisher";10;5;1.528;0.0171;0.0174;0.1383
10;"NBWaVE";10;5;13.141;0.018;0.0177;0.4322
10;"AIRWLS";10;5;3.548;0.0159;0.0135;0.5103
10;"Newton";10;5;1.815;0.016;0.013;0.4906
10;"SGD";10;5;1.911;0.0231;0.0144;0.3135
11;"CMF";10;5;9.224;0.0145;0.0272;0.0412
11;"NMF";10;5;4.802;0.0145;0.0176;0.0276
