"iteration";"model";"dimension";"ncomp";"time";"error";"deviance";"silhouette"
1;"CMF";50;25;1059.219;0.0326;NA;0.2553
1;"NMF";50;25;NA;NA;NA;NA
1;"NMF+";50;25;300.158;0.0314;NA;0.3215
1;"AvaGrad";50;25;64.888;0.0355;0.0199;-0.0151
1;"Fisher";50;25;334.656;0.0322;0.0234;0.3972
1;"NBWaVE";50;25;405.161;0.034;0.0137;0.44
1;"AIRWLS";50;25;374.187;0.0318;0.0158;0.5264
1;"Newton";50;25;126.218;0.0319;0.0207;0.5182
1;"SGD";50;25;46.458;0.0379;0.012;0.4533
2;"CMF";50;25;1065.867;0.0338;0.0376;0.0514
2;"NMF";50;25;NA;NA;NA;NA
2;"NMF+";50;25;291.578;0.0325;0.0156;0.117
2;"AvaGrad";50;25;55.059;0.0374;0.0211;-0.0216
2;"Fisher";50;25;347.65;0.034;0.0252;0.3305
2;"NBWaVE";50;25;393.948;0.0349;0.0146;0.4824
2;"AIRWLS";50;25;364.614;0.0327;0.0188;0.5597
2;"Newton";50;25;127.91;0.0329;0.024;0.5519
2;"SGD";50;25;46.464;0.0398;0.0139;0.4458
3;"CMF";50;25;1062.42;0.0345;0.0309;0.0561
3;"NMF";50;25;854.617;0.0355;0.0262;0.0317
3;"NMF+";50;25;302.467;0.0334;0.0157;0.2577
3;"AvaGrad";50;25;696.662;0.0376;0.0236;-0.017
3;"Fisher";50;25;336.185;0.034;0.0266;0.3818
3;"NBWaVE";50;25;353.486;0.036;0.0151;0.4569
3;"AIRWLS";50;25;379.788;0.034;0.0191;0.5191
3;"Newton";50;25;130.89;0.0338;0.0236;0.5289
3;"SGD";50;25;45.263;0.0416;0.0145;0.4039
4;"CMF";50;25;1074.21;0.0326;0.0312;0.0457
4;"NMF";50;25;854.808;0.0332;0.0227;0.0337
4;"NMF+";50;25;296.857;0.0315;0.0148;0.1194
4;"AvaGrad";50;25;50.453;0.0355;0.019;-0.0132
4;"Fisher";50;25;258.885;0.0324;0.0225;0.4216
4;"NBWaVE";50;25;329.774;0.0338;0.0139;0.4703
4;"AIRWLS";50;25;372.731;0.0319;0.019;0.5269
4;"Newton";50;25;131.309;0.0319;0.0237;0.5205
4;"SGD";50;25;46.004;0.0394;0.0138;0.4732
5;"CMF";50;25;1062.279;0.0341;0.0269;0.0322
5;"NMF";50;25;859.264;0.0348;0.0221;0.0334
5;"NMF+";50;25;294.653;0.0328;0.0143;0.1318
5;"AvaGrad";50;25;490.533;0.0387;0.0245;-0.026
5;"Fisher";50;25;339.624;0.035;0.0281;0.3248
5;"NBWaVE";50;25;348.443;0.0353;0.0132;0.3826
5;"AIRWLS";50;25;372.076;0.0335;0.0177;0.4628
5;"Newton";50;25;125.092;0.0333;0.0229;0.4493
5;"SGD";50;25;46.575;0.0417;0.0134;0.3863
6;"CMF";50;25;1081.304;0.0312;NA;0.0195
6;"NMF";50;25;NA;NA;NA;NA
6;"NMF+";50;25;301.998;0.0297;NA;0.0602
6;"AvaGrad";50;25;46.97;0.0379;0.026;-0.0229
6;"Fisher";50;25;505.78;0.0345;0.0292;0.3835
6;"NBWaVE";50;25;330.077;0.0319;0.0141;0.3824
6;"AIRWLS";50;25;369.615;0.0299;0.0204;0.4166
6;"Newton";50;25;124.11;0.0301;0.0254;0.4072
6;"SGD";50;25;46.477;0.0365;0.0136;0.3533
7;"CMF";50;25;1080.109;0.0333;NA;0.2645
7;"NMF";50;25;863.112;0.0338;0.0245;0.1945
7;"NMF+";50;25;347.692;0.0321;0.0158;0.1888
7;"AvaGrad";50;25;52.161;0.0366;0.0206;-0.0191
7;"Fisher";50;25;303.855;0.0331;0.0247;0.3419
7;"NBWaVE";50;25;341.149;0.0345;0.0147;0.4749
7;"AIRWLS";50;25;378.923;0.0324;0.0198;0.5265
7;"Newton";50;25;124.714;0.0325;0.0247;0.5275
7;"SGD";50;25;45.818;0.0392;0.0142;0.4303
8;"CMF";50;25;1069.373;0.0333;0.0394;0.047
8;"NMF";50;25;858.896;0.0342;0.0243;0.0385
8;"NMF+";50;25;299.969;0.0323;0.0157;0.26
8;"AvaGrad";50;25;49.847;0.036;0.0232;-0.0131
8;"Fisher";50;25;385.816;0.0325;0.0259;0.4212
8;"NBWaVE";50;25;341.621;0.0349;0.0148;0.4283
8;"AIRWLS";50;25;375.411;0.0327;0.0189;0.5158
8;"Newton";50;25;129.241;0.0329;0.0236;0.5249
8;"SGD";50;25;46.142;0.0405;0.0141;0.4528
9;"CMF";50;25;1068.308;0.0347;0.0337;0.1263
9;"NMF";50;25;863.703;0.0357;0.0244;0.048
9;"NMF+";50;25;290.631;0.0336;0.0155;0.2057
9;"AvaGrad";50;25;49.61;0.0364;0.0182;-0.0163
9;"Fisher";50;25;312.152;0.0336;0.0225;0.3178
9;"NBWaVE";50;25;302.536;0.0361;0.0143;0.4295
9;"AIRWLS";50;25;370.93;0.0342;0.0187;0.4982
9;"Newton";50;25;130.806;0.0342;0.0245;0.3914
9;"SGD";50;25;46.059;0.0419;0.0139;0.4389
10;"CMF";50;25;1051.684;0.0307;0.031;0.2958
10;"NMF";50;25;857.205;0.0315;0.0252;0.239
10;"NMF+";50;25;288.231;0.0299;0.0152;0.329
10;"AvaGrad";50;25;602.963;0.0357;0.023;-0.0153
10;"Fisher";50;25;416.454;0.0322;0.0257;0.4171
10;"NBWaVE";50;25;372.159;0.0322;0.0144;0.4403
10;"AIRWLS";50;25;373.346;0.0303;0.0179;0.5374
10;"Newton";50;25;123.006;0.0304;0.0217;0.4945
10;"SGD";50;25;45.774;0.0371;0.0136;0.3999
11;"CMF";50;25;1073.767;0.0334;0.0316;0.1347
11;"NMF";50;25;855.678;0.0342;0.0268;0.1827
11;"NMF+";50;25;294.783;0.0324;0.0185;0.1018
11;"AvaGrad";50;25;51.833;0.0381;0.0198;-0.0188
11;"Fisher";50;25;298.406;0.0345;0.0235;0.4102
11;"NBWaVE";50;25;344.136;0.0348;0.0175;0.4374
11;"AIRWLS";50;25;369;0.0328;0.0231;0.5173
11;"Newton";50;25;125.515;0.0329;0.0284;0.5104
11;"SGD";50;25;46.459;0.0415;0.017;0.4301
12;"CMF";50;25;1040.867;0.0326;0.028;0.1512
12;"NMF";50;25;853.849;0.0337;0.0247;0.1443
12;"NMF+";50;25;284.975;0.0319;0.0157;0.2241
12;"AvaGrad";50;25;521.158;0.0353;0.0238;-0.0299
12;"Fisher";50;25;312.403;0.0318;0.0281;0.338
12;"NBWaVE";50;25;327.535;0.0343;0.0136;0.401
12;"AIRWLS";50;25;369;0.0322;0.0168;0.5172
12;"Newton";50;25;127.145;0.0324;0.0208;0.5114
12;"SGD";50;25;45.991;0.039;0.0128;0.4292
13;"CMF";50;25;1067.214;0.0335;0.0453;0.0656
13;"NMF";50;25;854.04;0.0335;0.0252;0.163
13;"NMF+";50;25;286.584;0.0317;0.015;0.2142
13;"AvaGrad";50;25;37.915;0.036;0.0204;-0.0184
13;"Fisher";50;25;441.065;0.0328;0.0257;0.3432
13;"NBWaVE";50;25;335.329;0.0339;0.0142;0.4174
13;"AIRWLS";50;25;364.106;0.0318;0.0183;0.5452
13;"Newton";50;25;130.592;0.032;0.0229;0.4942
13;"SGD";50;25;46.146;0.0379;0.0131;0.4785
14;"CMF";50;25;1070.955;0.0348;0.0347;0.2712
14;"NMF";50;25;856.422;0.0358;0.03;0.2033
14;"NMF+";50;25;295.525;0.0339;0.0188;0.3631
14;"AvaGrad";50;25;50.007;0.0381;0.0223;-0.0122
14;"Fisher";50;25;287.705;0.0345;0.0258;0.3829
14;"NBWaVE";50;25;395.081;0.0367;0.0182;0.5033
14;"AIRWLS";50;25;373.54;0.0343;0.0227;0.5811
14;"Newton";50;25;129.945;0.0345;0.0264;0.5567
14;"SGD";50;25;45.875;0.0439;0.0174;0.5387
15;"CMF";50;25;1075.164;0.0309;0.033;0.1142
15;"NMF";50;25;853.378;0.0313;0.0238;0.1778
15;"NMF+";50;25;288.915;0.0295;0.0156;0.2612
