"iteration";"model";"dimension";"ncomp";"time";"error";"deviance";"silhouette"
11;"NMF";75;5;NA;NA;NA;NA
11;"NMF+";75;5;152.924;0.0378;0.0174;0.0196
11;"AvaGrad";75;5;71.65;0.0435;0.0223;-0.0105
11;"Fisher";75;5;106.748;0.0394;0.0186;0.305
11;"NBWaVE";75;5;118.35;0.0383;0.0173;0.4697
11;"AIRWLS";75;5;155.604;0.037;0.0165;0.4831
11;"Newton";75;5;84.86;0.037;0.0167;0.5024
11;"SGD";75;5;27.303;0.037;0.0161;0.3741
12;"CMF";75;5;212.189;0.0394;0.0199;0.0163
12;"NMF";75;5;276.613;0.0405;0.0204;-0.0027
12;"NMF+";75;5;153.31;0.0387;0.018;0.0224
12;"AvaGrad";75;5;712.636;0.043;0.0213;-0.0099
12;"Fisher";75;5;163.95;0.0396;0.0178;0.25
12;"NBWaVE";75;5;118.47;0.0393;0.0184;0.4709
12;"AIRWLS";75;5;160.085;0.0379;0.0178;0.4464
12;"Newton";75;5;95.428;0.038;0.0183;0.395
12;"SGD";75;5;27.401;0.0378;0.017;0.4204
13;"CMF";75;5;210.806;0.0417;0.0223;0.018
13;"NMF";75;5;276.899;0.0423;0.0197;-0.0402
13;"NMF+";75;5;153.227;0.0406;0.0171;0.024
13;"AvaGrad";75;5;1033.314;0.0453;0.0243;-0.0113
13;"Fisher";75;5;189.863;0.0411;0.0188;0.4151
13;"NBWaVE";75;5;120.212;0.041;0.0173;0.4932
13;"AIRWLS";75;5;103.323;0.0397;0.0165;0.4597
13;"Newton";75;5;62.093;0.0396;0.0167;0.4745
13;"SGD";75;5;27.202;0.0396;0.0162;0.4441
14;"CMF";75;5;215.926;0.0431;0.0198;0.1802
14;"NMF";75;5;276.575;0.0441;0.0204;-0.0108
14;"NMF+";75;5;152.669;0.0422;0.0177;-0.0112
14;"AvaGrad";75;5;66.151;0.045;0.0216;-0.0147
14;"Fisher";75;5;128.173;0.0416;0.018;0.3093
14;"NBWaVE";75;5;120.528;0.043;0.0183;0.4455
14;"AIRWLS";75;5;156.207;0.0415;0.0178;0.4299
14;"Newton";75;5;98.647;0.0415;0.0185;0.3729
14;"SGD";75;5;27.102;0.0415;0.017;0.3415
15;"CMF";75;5;203.882;0.0385;NA;0.012
15;"NMF";75;5;NA;NA;NA;NA
15;"NMF+";75;5;153.026;0.0375;0.0151;0.0012
15;"AvaGrad";75;5;65.012;0.0453;0.0287;-0.0313
15;"Fisher";75;5;212.404;0.041;0.0223;0.3837
15;"NBWaVE";75;5;114.723;0.0381;0.0152;0.4909
15;"AIRWLS";75;5;112.673;0.0369;0.0148;0.4329
15;"Newton";75;5;113.762;0.0369;0.0154;0.4257
15;"SGD";75;5;26.721;0.0368;0.0143;0.3824
16;"CMF";75;5;195.278;0.038;0.0221;0.0257
16;"NMF";75;5;276.629;0.039;0.0207;-0.0344
16;"NMF+";75;5;152.93;0.0374;0.0169;0.0273
16;"AvaGrad";75;5;67.102;0.0448;0.024;-0.0322
16;"Fisher";75;5;232.323;0.041;0.019;0.4053
16;"NBWaVE";75;5;113.699;0.0379;0.0172;0.4603
16;"AIRWLS";75;5;102.708;0.0366;0.016;0.4958
16;"Newton";75;5;123.556;0.0366;0.0161;0.4819
16;"SGD";75;5;27.383;0.0365;0.0159;0.4742
17;"CMF";75;5;211.886;0.04;0.0169;0.1117
17;"NMF";75;5;275.042;0.041;0.0181;0.0323
17;"NMF+";75;5;152.42;0.0393;0.0154;0.0094
17;"AvaGrad";75;5;745.519;0.042;0.0229;-0.03
17;"Fisher";75;5;454.214;0.0384;0.0181;0.4437
17;"NBWaVE";75;5;115.874;0.04;0.016;0.4547
17;"AIRWLS";75;5;130.49;0.0388;0.0159;0.4341
17;"Newton";75;5;86.225;0.0388;0.016;0.4054
17;"SGD";75;5;27.408;0.0387;0.0149;0.4212
18;"CMF";75;5;211.149;0.0427;0.021;0.0237
18;"NMF";75;5;276.554;0.0435;0.0199;-0.0129
18;"NMF+";75;5;153.239;0.0415;0.017;-0.0037
18;"AvaGrad";75;5;57.993;0.0412;0.0231;-0.0182
18;"Fisher";75;5;519.043;0.0375;0.0184;0.2839
18;"NBWaVE";75;5;121.574;0.0418;0.0167;0.4624
18;"AIRWLS";75;5;130.583;0.0404;0.0163;0.4709
18;"Newton";75;5;76.854;0.0404;0.0163;0.5045
18;"SGD";75;5;27.276;0.0403;0.0157;0.4504
19;"CMF";75;5;213.619;0.0408;0.0175;0.0303
19;"NMF";75;5;276.215;0.0418;0.018;0.005
19;"NMF+";75;5;153.314;0.0399;0.0151;-0.0177
19;"AvaGrad";75;5;77.776;0.0445;0.0241;-0.0275
19;"Fisher";75;5;244.092;0.0404;0.0195;0.3962
19;"NBWaVE";75;5;115.03;0.0404;0.0155;0.4666
19;"AIRWLS";75;5;118.012;0.039;0.0146;0.491
19;"Newton";75;5;89.445;0.039;0.0149;0.5167
19;"SGD";75;5;27.533;0.039;0.0144;0.3771
20;"CMF";75;5;216.75;0.0425;0.0206;0.1786
20;"NMF";75;5;274.972;0.0436;0.0216;0.1356
20;"NMF+";75;5;144.376;0.0416;0.0184;-0.0281
20;"AvaGrad";75;5;65.715;0.0429;0.0237;-0.0173
20;"Fisher";75;5;195.285;0.0393;0.019;0.3201
20;"NBWaVE";75;5;119.799;0.0421;0.0185;0.4976
20;"AIRWLS";75;5;125.553;0.0406;0.0174;0.4744
20;"Newton";75;5;80.192;0.0406;0.0174;0.4909
20;"SGD";75;5;27.23;0.0405;0.0171;0.465
21;"CMF";75;5;203.403;0.0436;0.0234;0.1897
21;"NMF";75;5;276.072;0.0443;0.0214;-0.0432
21;"NMF+";75;5;153.121;0.0418;0.0174;0.0015
21;"AvaGrad";75;5;51.8;0.0443;0.0248;-0.0179
21;"Fisher";75;5;187.571;0.0405;0.0201;0.4023
21;"NBWaVE";75;5;115.043;0.0422;0.0162;0.4733
21;"AIRWLS";75;5;143.85;0.0407;0.0155;0.4753
21;"Newton";75;5;75.94;0.0407;0.0157;0.4943
21;"SGD";75;5;27.209;0.0406;0.015;0.47
22;"CMF";75;5;212.272;0.0394;0.0182;2e-04
22;"NMF";75;5;275.917;0.0408;0.0198;0.0063
22;"NMF+";75;5;152.35;0.0388;0.0166;-0.0282
22;"AvaGrad";75;5;53.232;0.0457;0.0228;-0.0247
22;"Fisher";75;5;325.67;0.042;0.0187;0.328
22;"NBWaVE";75;5;114.839;0.0394;0.0171;0.4723
22;"AIRWLS";75;5;108.516;0.0381;0.0161;0.471
22;"Newton";75;5;89.632;0.0381;0.0161;0.5138
22;"SGD";75;5;27.039;0.0381;0.0159;0.3706
23;"CMF";75;5;215.032;0.0395;NA;-0.0059
23;"NMF";75;5;NA;NA;NA;NA
23;"NMF+";75;5;152.803;0.0389;NA;-0.0223
23;"AvaGrad";75;5;76.252;0.0486;0.0245;-0.0115
23;"Fisher";75;5;422.498;0.0442;0.0197;0.3153
23;"NBWaVE";75;5;116.765;0.0394;0.0158;0.4933
23;"AIRWLS";75;5;120.109;0.0382;0.0151;0.4206
23;"Newton";75;5;86.779;0.0382;0.0157;0.4577
23;"SGD";75;5;26.57;0.038;0.0146;0.4228
24;"CMF";75;5;200.019;0.0351;0.0175;0.0391
24;"NMF";75;5;NA;NA;NA;NA
24;"NMF+";75;5;153.57;0.0347;0.0156;0.0173
24;"AvaGrad";75;5;840.952;0.0436;0.0261;-0.0296
24;"Fisher";75;5;189.522;0.0394;0.0197;0.4357
24;"NBWaVE";75;5;114.774;0.0352;0.0158;0.4919
24;"AIRWLS";75;5;173.893;0.034;0.0148;0.5066
24;"Newton";75;5;85.043;0.034;0.0149;0.4755
24;"SGD";75;5;27.265;0.0341;0.0148;0.4176
25;"CMF";75;5;209.581;0.0387;0.0187;-0.0197
25;"NMF";75;5;274.984;0.0397;0.0195;0.0303
25;"NMF+";75;5;153.233;0.0381;0.017;0.0156
25;"AvaGrad";75;5;163.12;0.0408;0.0248;-0.0154
25;"Fisher";75;5;136.589;0.0369;0.0196;0.4063
25;"NBWaVE";75;5;113.491;0.0385;0.0166;0.4362
25;"AIRWLS";75;5;185.831;0.0372;0.0156;0.4633
25;"Newton";75;5;84.055;0.0372;0.0157;0.4479
25;"SGD";75;5;27.453;0.0372;0.0155;0.4222
