"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";383.765;0.0391;0.0077;0.0226;-0.0222;0.263;"Full";1
"Fisher";180.37;0.0346;0.0068;0.0138;0.2671;0.7364;"Full";1
"NBWaVE";130.957;0.0326;0.0064;0.0133;0.5297;0.8767;"Full";1
"CMF";353.637;0.0345;0.0068;0.014;0.1645;0.6404;"Full";1
"NMF";325.98;0.0355;0.007;0.0143;0.0996;0.5994;"Full";1
"NNLM";141.405;0.0331;0.0066;0.0109;0.1552;0.832;"Full";1
"AIRWLS";136.245;0.0329;0.0065;0.0114;0.5337;0.8902;"Full";1
"Newton";62.774;0.0329;0.0065;0.0123;0.5318;0.8913;"Full";1
"C-SGD";35.073;0.0324;0.0065;0.0113;0.488;0.8548;"Full";1
"B-SGD";24.378;0.0322;0.0064;0.0115;0.4434;0.8199;"Full";1
"AvaGrad";383.765;0.0391;0.1459;0.0224;-0.0222;0.263;"Train";1
"Fisher";180.37;0.0344;0.1453;0.0103;0.2671;0.7364;"Train";1
"NBWaVE";130.957;0.0315;0.1447;0.0129;0.5297;0.8767;"Train";1
"CMF";353.637;0.0342;0.1452;0.0099;0.1645;0.6404;"Train";1
"NMF";325.98;0.0353;0.1454;0.0113;0.0996;0.5994;"Train";1
"NNLM";141.405;0.0329;0.1448;0.0098;0.1552;0.832;"Train";1
"AIRWLS";136.245;0.0326;0.1448;0.0091;0.5337;0.8902;"Train";1
"Newton";62.774;0.0326;0.1449;0.0091;0.5318;0.8913;"Train";1
"C-SGD";35.073;0.0315;0.1447;0.0105;0.488;0.8548;"Train";1
"B-SGD";24.378;0.0305;0.1446;0.0109;0.4434;0.8199;"Train";1
"AvaGrad";383.765;0.0392;0.4948;0.0233;-0.0222;0.263;"Test";1
"Fisher";180.37;0.0352;0.4942;0.0241;0.2671;0.7364;"Test";1
"NBWaVE";130.957;0.0357;0.4944;0.0142;0.5297;0.8767;"Test";1
"CMF";353.637;0.0351;0.4944;0.0256;0.1645;0.6404;"Test";1
"NMF";325.98;0.036;0.4943;0.0228;0.0996;0.5994;"Test";1
"NNLM";141.405;0.0337;0.4945;0.0142;0.1552;0.832;"Test";1
"AIRWLS";136.245;0.0336;0.4944;0.018;0.5337;0.8902;"Test";1
"Newton";62.774;0.0337;0.4943;0.0214;0.5318;0.8913;"Test";1
"C-SGD";35.073;0.035;0.4945;0.0136;0.488;0.8548;"Test";1
"B-SGD";24.378;0.0373;0.4945;0.0131;0.4434;0.8199;"Test";1
"AvaGrad";400.778;0.0354;0.0083;0.0179;-0.0128;0.2573;"Full";2
"Fisher";243.192;0.0316;0.0074;0.0123;0.217;0.6514;"Full";2
"NBWaVE";154.795;0.0297;0.007;0.0122;0.4672;0.839;"Full";2
"CMF";352.634;0.032;0.0075;0.0153;0.0436;0.4976;"Full";2
"NMF";327.467;0.0321;0.0076;0.0126;0.0349;0.5937;"Full";2
"NNLM";142.184;0.0303;0.0072;0.0103;0.0427;0.7024;"Full";2
"AIRWLS";134.617;0.0302;0.0071;0.0109;0.3353;0.7625;"Full";2
"Newton";62.51;0.0302;0.0071;0.012;0.3;0.7652;"Full";2
"C-SGD";35.074;0.0296;0.007;0.0106;0.3913;0.7787;"Full";2
"B-SGD";24.462;0.0295;0.007;0.0108;0.3099;0.7174;"Full";2
"AvaGrad";400.778;0.0354;0.1463;0.0177;-0.0128;0.2573;"Train";2
"Fisher";243.192;0.0314;0.1457;0.0098;0.217;0.6514;"Train";2
"NBWaVE";154.795;0.0288;0.1451;0.012;0.4672;0.839;"Train";2
"CMF";352.634;0.0317;0.1456;0.0095;0.0436;0.4976;"Train";2
"NMF";327.467;0.032;0.1458;0.0107;0.0349;0.5937;"Train";2
"NNLM";142.184;0.0302;0.1453;0.0092;0.0427;0.7024;"Train";2
"AIRWLS";134.617;0.03;0.1453;0.0085;0.3353;0.7625;"Train";2
"Newton";62.51;0.03;0.1453;0.0085;0.3;0.7652;"Train";2
"C-SGD";35.074;0.0289;0.1451;0.0099;0.3913;0.7787;"Train";2
"B-SGD";24.462;0.028;0.145;0.0103;0.3099;0.7174;"Train";2
"AvaGrad";400.778;0.0353;0.4953;0.0182;-0.0128;0.2573;"Test";2
"Fisher";243.192;0.032;0.4947;0.0196;0.217;0.6514;"Test";2
"NBWaVE";154.795;0.0325;0.4949;0.013;0.4672;0.839;"Test";2
"CMF";352.634;0.0326;0.4951;0.0316;0.0436;0.4976;"Test";2
"NMF";327.467;0.0325;0.4947;0.0181;0.0349;0.5937;"Test";2
