"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";442.476;0.037;0.0091;0.0195;-0.0149;0.2654;"Full";1
"Fisher";277.863;0.0331;0.0082;0.0127;0.351;0.7641;"Full";1
"NBWaVE";169.786;0.0308;0.0076;0.0124;0.4939;0.8496;"Full";1
"CMF";533.865;0.0329;0.0082;0.0154;0.1411;0.7202;"Full";1
"NMF";432.018;0.0336;0.0083;0.0129;0.0697;0.7757;"Full";1
"NNLM";184.551;0.0317;0.0079;0.0101;0.0509;0.8661;"Full";1
"AIRWLS";172.393;0.0315;0.0078;0.0105;0.5197;0.868;"Full";1
"Newton";70.815;0.0316;0.0078;0.0115;0.5359;0.8771;"Full";1
"C-SGD";40.323;0.031;0.0077;0.0104;0.4646;0.8354;"Full";1
"B-SGD";29.035;0.0312;0.0078;0.0106;0.5027;0.8192;"Full";1
"AvaGrad";442.476;0.037;0.1471;0.0193;-0.0149;0.2654;"Train";1
"Fisher";277.863;0.0328;0.1465;0.009;0.351;0.7641;"Train";1
"NBWaVE";169.786;0.0295;0.1456;0.0121;0.4939;0.8496;"Train";1
"CMF";533.865;0.0325;0.1462;0.0085;0.1411;0.7202;"Train";1
"NMF";432.018;0.0333;0.1465;0.0098;0.0697;0.7757;"Train";1
"NNLM";184.551;0.0315;0.1459;0.0085;0.0509;0.8661;"Train";1
"AIRWLS";172.393;0.0312;0.1459;0.0079;0.5197;0.868;"Train";1
"Newton";70.815;0.0312;0.146;0.0078;0.5359;0.8771;"Train";1
"C-SGD";40.323;0.03;0.1457;0.0092;0.4646;0.8354;"Train";1
"B-SGD";29.035;0.0291;0.1457;0.0098;0.5027;0.8192;"Train";1
"AvaGrad";442.476;0.037;0.4956;0.02;-0.0149;0.2654;"Test";1
"Fisher";277.863;0.0339;0.4949;0.0231;0.351;0.7641;"Test";1
"NBWaVE";169.786;0.0346;0.4951;0.0135;0.4939;0.8496;"Test";1
"CMF";533.865;0.0339;0.4952;0.035;0.1411;0.7202;"Test";1
"NMF";432.018;0.0342;0.4949;0.0218;0.0697;0.7757;"Test";1
"NNLM";184.551;0.0324;0.4952;0.0147;0.0509;0.8661;"Test";1
"AIRWLS";172.393;0.0325;0.4951;0.0181;0.5197;0.868;"Test";1
"Newton";70.815;0.0326;0.495;0.0221;0.5359;0.8771;"Test";1
"C-SGD";40.323;0.034;0.4952;0.0137;0.4646;0.8354;"Test";1
"B-SGD";29.035;0.0373;0.4954;0.0129;0.5027;0.8192;"Test";1
"AvaGrad";419.394;0.0379;0.0082;0.0221;-0.0205;0.2737;"Full";2
"Fisher";292.353;0.0336;0.0073;0.0137;0.4608;0.8399;"Full";2
"NBWaVE";171.672;0.0312;0.0068;0.0133;0.5371;0.8697;"Full";2
"CMF";534.944;0.0332;0.0072;0.0143;0.0609;0.7472;"Full";2
"NMF";431.094;0.034;0.0074;0.014;0.082;0.8041;"Full";2
"NNLM";184.201;0.0322;0.007;0.0107;0.0714;0.8844;"Full";2
"AIRWLS";172.644;0.032;0.007;0.0112;0.6015;0.9034;"Full";2
"Newton";70.078;0.032;0.007;0.0123;0.5895;0.9037;"Full";2
"C-SGD";40.234;0.0316;0.0069;0.0112;0.5791;0.8847;"Full";2
"B-SGD";29.047;0.0316;0.0069;0.0115;0.5173;0.8361;"Full";2
"AvaGrad";419.394;0.0378;0.1464;0.0218;-0.0205;0.2737;"Train";2
"Fisher";292.353;0.0332;0.1458;0.0097;0.4608;0.8399;"Train";2
