"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"NBWaVE";171.672;0.0298;0.145;0.0129;0.5371;0.8697;"Train";2
"CMF";534.944;0.0329;0.1456;0.0093;0.0609;0.7472;"Train";2
"NMF";431.094;0.0337;0.1459;0.0107;0.082;0.8041;"Train";2
"NNLM";184.201;0.0319;0.1453;0.0092;0.0714;0.8844;"Train";2
"AIRWLS";172.644;0.0316;0.1453;0.0086;0.6015;0.9034;"Train";2
"Newton";70.078;0.0315;0.1453;0.0086;0.5895;0.9037;"Train";2
"C-SGD";40.234;0.0303;0.1451;0.0101;0.5791;0.8847;"Train";2
"B-SGD";29.047;0.029;0.1451;0.0107;0.5173;0.8361;"Train";2
"AvaGrad";419.394;0.0381;0.4949;0.0227;-0.0205;0.2737;"Test";2
"Fisher";292.353;0.0345;0.4943;0.0251;0.4608;0.8399;"Test";2
"NBWaVE";171.672;0.0353;0.4945;0.0144;0.5371;0.8697;"Test";2
"CMF";534.944;0.0343;0.4944;0.0288;0.0609;0.7472;"Test";2
"NMF";431.094;0.0349;0.4943;0.0234;0.082;0.8041;"Test";2
"NNLM";184.201;0.0331;0.4946;0.0152;0.0714;0.8844;"Test";2
"AIRWLS";172.644;0.0333;0.4945;0.0187;0.6015;0.9034;"Test";2
"Newton";70.078;0.0333;0.4944;0.0231;0.5895;0.9037;"Test";2
"C-SGD";40.234;0.0351;0.4946;0.0142;0.5791;0.8847;"Test";2
"B-SGD";29.047;0.039;0.4947;0.0137;0.5173;0.8361;"Test";2
"AvaGrad";440.431;0.0359;0.008;0.0215;-0.0138;0.2571;"Full";3
"Fisher";275.711;0.0318;0.0072;0.0137;0.34;0.7381;"Full";3
"NBWaVE";200.284;0.0297;0.0067;0.0134;0.4664;0.8031;"Full";3
"CMF";538.958;0.0316;0.0071;0.0145;0.138;0.683;"Full";3
"NMF";NA;NA;NA;NA;NA;NA;"Full";3
"NNLM";184.751;0.0306;0.0069;0.011;0.172;0.8762;"Full";3
"AIRWLS";172.658;0.0304;0.0069;0.0115;0.4702;0.8442;"Full";3
"Newton";71.137;0.0304;0.0069;0.0124;0.5059;0.8407;"Full";3
"C-SGD";40.537;0.0299;0.0068;0.0113;0.4894;0.8213;"Full";3
"B-SGD";28.935;0.03;0.0068;0.0117;0.4331;0.75;"Full";3
"AvaGrad";440.431;0.0358;0.1461;0.0213;-0.0138;0.2571;"Train";3
"Fisher";275.711;0.0316;0.1455;0.01;0.34;0.7381;"Train";3
"NBWaVE";200.284;0.0283;0.1447;0.013;0.4664;0.8031;"Train";3
"CMF";538.958;0.0313;0.1453;0.0096;0.138;0.683;"Train";3
"NMF";NA;NA;NA;NA;NA;NA;"Train";3
"NNLM";184.751;0.0303;0.145;0.0095;0.172;0.8762;"Train";3
"AIRWLS";172.658;0.03;0.145;0.0089;0.4702;0.8442;"Train";3
"Newton";71.137;0.03;0.1451;0.0088;0.5059;0.8407;"Train";3
"C-SGD";40.537;0.0289;0.1448;0.0103;0.4894;0.8213;"Train";3
"B-SGD";28.935;0.0276;0.1448;0.011;0.4331;0.75;"Train";3
"AvaGrad";440.431;0.0359;0.4951;0.022;-0.0138;0.2571;"Test";3
"Fisher";275.711;0.0326;0.4945;0.0242;0.34;0.7381;"Test";3
"NBWaVE";200.284;0.0334;0.4948;0.0145;0.4664;0.8031;"Test";3
"CMF";538.958;0.0325;0.4948;0.0284;0.138;0.683;"Test";3
"NMF";NA;NA;NA;NA;NA;NA;"Test";3
"NNLM";184.751;0.0313;0.4948;0.0151;0.172;0.8762;"Test";3
"AIRWLS";172.658;0.0314;0.4947;0.0192;0.4702;0.8442;"Test";3
"Newton";71.137;0.0315;0.4947;0.0228;0.5059;0.8407;"Test";3
"C-SGD";40.537;0.0329;0.4948;0.0142;0.4894;0.8213;"Test";3
"B-SGD";28.935;0.0368;0.495;0.0138;0.4331;0.75;"Test";3
"AvaGrad";32.314;0.0364;0.0085;0.0216;-0.022;0.272;"Full";4
"Fisher";223.394;0.0327;0.0076;0.0141;0.3934;0.7877;"Full";4
"NBWaVE";172.591;0.0303;0.0071;0.0135;0.4552;0.8148;"Full";4
"CMF";535.116;0.0324;0.0076;0.0152;0.1007;0.7628;"Full";4
"NMF";431.778;0.0332;0.0078;0.0143;0.0384;0.756;"Full";4
"NNLM";185.107;0.0314;0.0074;0.0108;0.0807;0.9342;"Full";4
"AIRWLS";172.797;0.0313;0.0074;0.0114;0.5361;0.8712;"Full";4
"Newton";71.192;0.0312;0.0073;0.0123;0.5115;0.8616;"Full";4
"C-SGD";40.53;0.0308;0.0072;0.0113;0.5202;0.8546;"Full";4
"B-SGD";29.331;0.0306;0.0072;0.0117;0.4625;0.8131;"Full";4
"AvaGrad";32.314;0.0363;0.1465;0.0214;-0.022;0.272;"Train";4
"Fisher";223.394;0.0324;0.1459;0.0099;0.3934;0.7877;"Train";4
"NBWaVE";172.591;0.0289;0.145;0.013;0.4552;0.8148;"Train";4
"CMF";535.116;0.032;0.1456;0.0093;0.1007;0.7628;"Train";4
"NMF";431.778;0.033;0.146;0.0108;0.0384;0.756;"Train";4
"NNLM";185.107;0.0312;0.1454;0.0094;0.0807;0.9342;"Train";4
"AIRWLS";172.797;0.0309;0.1454;0.0088;0.5361;0.8712;"Train";4
"Newton";71.192;0.0308;0.1454;0.0087;0.5115;0.8616;"Train";4
"C-SGD";40.53;0.0297;0.1452;0.0102;0.5202;0.8546;"Train";4
"B-SGD";29.331;0.0284;0.1451;0.0109;0.4625;0.8131;"Train";4
"AvaGrad";32.314;0.0364;0.4955;0.0223;-0.022;0.272;"Test";4
"Fisher";223.394;0.0334;0.4948;0.0261;0.3934;0.7877;"Test";4
"NBWaVE";172.591;0.0342;0.4951;0.0148;0.4552;0.8148;"Test";4
"CMF";535.116;0.0333;0.4952;0.0321;0.1007;0.7628;"Test";4
"NMF";431.778;0.0339;0.4949;0.0243;0.0384;0.756;"Test";4
"NNLM";185.107;0.0321;0.4951;0.015;0.0807;0.9342;"Test";4
"AIRWLS";172.797;0.0325;0.495;0.0191;0.5361;0.8712;"Test";4
"Newton";71.192;0.0324;0.495;0.0224;0.5115;0.8616;"Test";4
"C-SGD";40.53;0.0339;0.4952;0.0145;0.5202;0.8546;"Test";4
"B-SGD";29.331;0.0369;0.4953;0.014;0.4625;0.8131;"Test";4
"AvaGrad";32.012;0.0378;0.0082;0.0227;-0.0463;0.3097;"Full";5
"Fisher";295.952;0.0332;0.0072;0.0137;0.3998;0.756;"Full";5
"NBWaVE";172.902;0.0309;0.0068;0.013;0.4347;0.8028;"Full";5
"CMF";535.9;0.0327;0.0072;0.0131;0.2288;0.7161;"Full";5
"NMF";431.398;0.034;0.0074;0.0141;0.1711;0.6653;"Full";5
"NNLM";184.43;0.0318;0.007;0.0109;0.2196;0.8059;"Full";5
"AIRWLS";172.775;0.0315;0.0069;0.0109;0.4981;0.8465;"Full";5
"Newton";70.398;0.0315;0.0069;0.012;0.5049;0.8518;"Full";5
"C-SGD";40.357;0.0311;0.0068;0.0108;0.4661;0.8154;"Full";5
"B-SGD";29.146;0.0312;0.0069;0.011;0.3867;0.7583;"Full";5
"AvaGrad";32.012;0.0378;0.1466;0.0224;-0.0463;0.3097;"Train";5
"Fisher";295.952;0.0329;0.1458;0.0092;0.3998;0.756;"Train";5
"NBWaVE";172.902;0.0295;0.1451;0.0125;0.4347;0.8028;"Train";5
"CMF";535.9;0.0324;0.1456;0.0089;0.2288;0.7161;"Train";5
"NMF";431.398;0.0338;0.146;0.0103;0.1711;0.6653;"Train";5
"NNLM";184.43;0.0315;0.1453;0.0089;0.2196;0.8059;"Train";5
"AIRWLS";172.775;0.0311;0.1453;0.0083;0.4981;0.8465;"Train";5
"Newton";70.398;0.031;0.1454;0.0083;0.5049;0.8518;"Train";5
"C-SGD";40.357;0.0299;0.1452;0.0097;0.4661;0.8154;"Train";5
"B-SGD";29.146;0.029;0.1451;0.0102;0.3867;0.7583;"Train";5
"AvaGrad";32.012;0.0378;0.4948;0.0237;-0.0463;0.3097;"Test";5
"Fisher";295.952;0.034;0.4941;0.0263;0.3998;0.756;"Test";5
"NBWaVE";172.902;0.0349;0.4943;0.0143;0.4347;0.8028;"Test";5
"CMF";535.9;0.0335;0.4943;0.0251;0.2288;0.7161;"Test";5
"NMF";431.398;0.0347;0.4942;0.0249;0.1711;0.6653;"Test";5
"NNLM";184.43;0.0325;0.4945;0.0167;0.2196;0.8059;"Test";5
"AIRWLS";172.775;0.0326;0.4943;0.0185;0.4981;0.8465;"Test";5
"Newton";70.398;0.0328;0.4942;0.0226;0.5049;0.8518;"Test";5
"C-SGD";40.357;0.0344;0.4944;0.0137;0.4661;0.8154;"Test";5
"B-SGD";29.146;0.0375;0.4945;0.0133;0.3867;0.7583;"Test";5
"AvaGrad";30.664;0.0359;0.0086;0.0187;-0.0318;0.2646;"Full";6
"Fisher";184.015;0.0324;0.0077;0.0128;0.2847;0.7039;"Full";6
"NBWaVE";170.878;0.03;0.0072;0.0124;0.4761;0.8225;"Full";6
"CMF";535.599;0.0322;0.0077;0.0147;0.0457;0.5901;"Full";6
"NMF";NA;NA;NA;NA;NA;NA;"Full";6
"NNLM";184.46;0.0311;0.0075;0.0102;0.0751;0.8127;"Full";6
"AIRWLS";174.078;0.0309;0.0074;0.0109;0.4872;0.8223;"Full";6
"Newton";70.375;0.0309;0.0074;0.0122;0.465;0.8227;"Full";6
"C-SGD";40.387;0.0304;0.0073;0.0105;0.4821;0.8013;"Full";6
"B-SGD";28.925;0.0302;0.0073;0.0108;0.4101;0.7631;"Full";6
"AvaGrad";30.664;0.0359;0.1468;0.0186;-0.0318;0.2646;"Train";6
"Fisher";184.015;0.0321;0.1462;0.0094;0.2847;0.7039;"Train";6
"NBWaVE";170.878;0.0287;0.1454;0.0121;0.4761;0.8225;"Train";6
"CMF";535.599;0.0319;0.146;0.0088;0.0457;0.5901;"Train";6
"NMF";NA;NA;NA;NA;NA;NA;"Train";6
"NNLM";184.46;0.0308;0.1458;0.0089;0.0751;0.8127;"Train";6
"AIRWLS";174.078;0.0306;0.1458;0.0082;0.4872;0.8223;"Train";6
"Newton";70.375;0.0305;0.1458;0.0082;0.465;0.8227;"Train";6
"C-SGD";40.387;0.0293;0.1455;0.0096;0.4821;0.8013;"Train";6
"B-SGD";28.925;0.0281;0.1454;0.0102;0.4101;0.7631;"Train";6
"AvaGrad";30.664;0.0359;0.495;0.0191;-0.0318;0.2646;"Test";6
"Fisher";184.015;0.033;0.4943;0.0226;0.2847;0.7039;"Test";6
"NBWaVE";170.878;0.0337;0.4946;0.0133;0.4761;0.8225;"Test";6
"CMF";535.599;0.0331;0.4947;0.0312;0.0457;0.5901;"Test";6
"NMF";NA;NA;NA;NA;NA;NA;"Test";6
"NNLM";184.46;0.0317;0.4946;0.0138;0.0751;0.8127;"Test";6
"AIRWLS";174.078;0.0318;0.4945;0.0185;0.4872;0.8223;"Test";6
"Newton";70.375;0.032;0.4945;0.0237;0.465;0.8227;"Test";6
"C-SGD";40.387;0.0335;0.4946;0.0131;0.4821;0.8013;"Test";6
"B-SGD";28.925;0.0364;0.4948;0.0124;0.4101;0.7631;"Test";6
"AvaGrad";419.263;0.0364;0.0079;0.0219;-0.018;0.265;"Full";7
"Fisher";267.164;0.0327;0.0071;0.0149;0.2584;0.7066;"Full";7
"NBWaVE";167.454;0.0303;0.0066;0.0145;0.4503;0.7853;"Full";7
"CMF";532.57;0.0325;0.0071;0.0164;0.0373;0.6075;"Full";7
"NMF";431.385;0.0333;0.0072;0.0152;0.0226;0.631;"Full";7
"NNLM";184.384;0.0313;0.0068;0.012;0.0667;0.7916;"Full";7
"AIRWLS";172.475;0.0312;0.0068;0.0128;0.4699;0.7995;"Full";7
"Newton";71.098;0.0312;0.0068;0.014;0.443;0.801;"Full";7
"C-SGD";40.302;0.0307;0.0067;0.0124;0.4509;0.7849;"Full";7
"B-SGD";29.135;0.0307;0.0067;0.0127;0.3697;0.7482;"Full";7
"AvaGrad";419.263;0.0363;0.146;0.0218;-0.018;0.265;"Train";7
"Fisher";267.164;0.0324;0.1455;0.0112;0.2584;0.7066;"Train";7
"NBWaVE";167.454;0.0289;0.1447;0.0142;0.4503;0.7853;"Train";7
"CMF";532.57;0.0321;0.1453;0.0106;0.0373;0.6075;"Train";7
"NMF";431.385;0.0331;0.1456;0.0123;0.0226;0.631;"Train";7
"NNLM";184.384;0.0311;0.145;0.0107;0.0667;0.7916;"Train";7
"AIRWLS";172.475;0.0308;0.145;0.0099;0.4699;0.7995;"Train";7
"Newton";71.098;0.0308;0.1451;0.0099;0.443;0.801;"Train";7
"C-SGD";40.302;0.0297;0.1449;0.0113;0.4509;0.7849;"Train";7
"B-SGD";29.135;0.0284;0.1448;0.012;0.3697;0.7482;"Train";7
"AvaGrad";419.263;0.0364;0.495;0.0221;-0.018;0.265;"Test";7
"Fisher";267.164;0.0335;0.4944;0.0252;0.2584;0.7066;"Test";7
"NBWaVE";167.454;0.0342;0.4947;0.0156;0.4503;0.7853;"Test";7
"CMF";532.57;0.0334;0.4947;0.0327;0.0373;0.6075;"Test";7
"NMF";431.385;0.0339;0.4944;0.0233;0.0226;0.631;"Test";7
"NNLM";184.384;0.0321;0.4946;0.0159;0.0667;0.7916;"Test";7
"AIRWLS";172.475;0.0323;0.4946;0.021;0.4699;0.7995;"Test";7
"Newton";71.098;0.0323;0.4945;0.0256;0.443;0.801;"Test";7
"C-SGD";40.302;0.0335;0.4946;0.0153;0.4509;0.7849;"Test";7
"B-SGD";29.135;0.0373;0.4948;0.0147;0.3697;0.7482;"Test";7
"AvaGrad";32.112;0.0377;0.0085;0.0201;-0.0198;0.261;"Full";8
"Fisher";252.458;0.0336;0.0076;0.0138;0.2449;0.7122;"Full";8
"NBWaVE";167.255;0.0311;0.0071;0.0136;0.4756;0.8201;"Full";8
"CMF";580.524;0.0338;0.0077;0.0164;0.1402;0.584;"Full";8
"NMF";431.62;0.0344;0.0078;0.0142;0.0784;0.6665;"Full";8
"NNLM";185.078;0.0322;0.0073;0.0112;0.139;0.8007;"Full";8
"AIRWLS";172.481;0.032;0.0073;0.012;0.457;0.817;"Full";8
"Newton";71.591;0.032;0.0073;0.0131;0.4702;0.8344;"Full";8
"C-SGD";40.495;0.0314;0.0072;0.0115;0.4771;0.8084;"Full";8
"B-SGD";29.333;0.0314;0.0072;0.0118;0.3514;0.7566;"Full";8
"AvaGrad";32.112;0.0377;0.1468;0.02;-0.0198;0.261;"Train";8
"Fisher";252.458;0.0333;0.1461;0.0104;0.2449;0.7122;"Train";8
"NBWaVE";167.255;0.0298;0.1453;0.0132;0.4756;0.8201;"Train";8
"CMF";580.524;0.0335;0.1459;0.01;0.1402;0.584;"Train";8
"NMF";431.62;0.0342;0.1462;0.0115;0.0784;0.6665;"Train";8
"NNLM";185.078;0.0319;0.1456;0.0098;0.139;0.8007;"Train";8
"AIRWLS";172.481;0.0316;0.1456;0.009;0.457;0.817;"Train";8
"Newton";71.591;0.0316;0.1456;0.009;0.4702;0.8344;"Train";8
"C-SGD";40.495;0.0304;0.1454;0.0104;0.4771;0.8084;"Train";8
"B-SGD";29.333;0.0292;0.1453;0.0111;0.3514;0.7566;"Train";8
"AvaGrad";32.112;0.0377;0.4951;0.0204;-0.0198;0.261;"Test";8
"Fisher";252.458;0.0343;0.4944;0.0234;0.2449;0.7122;"Test";8
"NBWaVE";167.255;0.0351;0.4947;0.0146;0.4756;0.8201;"Test";8
"CMF";580.524;0.0348;0.4949;0.0348;0.1402;0.584;"Test";8
"NMF";431.62;0.035;0.4945;0.022;0.0784;0.6665;"Test";8
"NNLM";185.078;0.0329;0.4947;0.0152;0.139;0.8007;"Test";8
"AIRWLS";172.481;0.0329;0.4946;0.0208;0.457;0.817;"Test";8
"Newton";71.591;0.033;0.4945;0.0249;0.4702;0.8344;"Test";8
"C-SGD";40.495;0.0343;0.4947;0.0146;0.4771;0.8084;"Test";8
"B-SGD";29.333;0.0375;0.4948;0.0138;0.3514;0.7566;"Test";8
"AvaGrad";31.653;0.0405;0.0074;0.021;-0.02;0.2631;"Full";9
"Fisher";245.177;0.0357;0.0065;0.0143;0.2529;0.674;"Full";9
"NBWaVE";174.722;0.0329;0.006;0.014;0.4291;0.829;"Full";9
"CMF";541.39;0.0358;0.0066;0.016;0.0606;0.493;"Full";9
"NMF";431.887;0.0369;0.0067;0.0148;0.0048;0.4957;"Full";9
"NNLM";184.086;0.0339;0.0062;0.0116;0.03;0.7281;"Full";9
"AIRWLS";172.966;0.0337;0.0062;0.0124;0.5053;0.853;"Full";9
"Newton";70.295;0.0338;0.0062;0.0138;0.4645;0.8563;"Full";9
"C-SGD";40.634;0.0333;0.0061;0.0119;0.4651;0.8193;"Full";9
"B-SGD";29.317;0.0338;0.0062;0.0123;0.3965;0.7494;"Full";9
"AvaGrad";31.653;0.0406;0.1457;0.0209;-0.02;0.2631;"Train";9
"Fisher";245.177;0.0355;0.1451;0.0107;0.2529;0.674;"Train";9
"NBWaVE";174.722;0.0315;0.1444;0.0136;0.4291;0.829;"Train";9
"CMF";541.39;0.0355;0.145;0.0103;0.0606;0.493;"Train";9
"NMF";431.887;0.0367;0.1453;0.0119;0.0048;0.4957;"Train";9
"NNLM";184.086;0.0337;0.1446;0.0102;0.03;0.7281;"Train";9
"AIRWLS";172.966;0.0334;0.1446;0.0094;0.5053;0.853;"Train";9
"Newton";70.295;0.0334;0.1447;0.0094;0.4645;0.8563;"Train";9
"C-SGD";40.634;0.0322;0.1445;0.0109;0.4651;0.8193;"Train";9
"B-SGD";29.317;0.031;0.1445;0.0115;0.3965;0.7494;"Train";9
"AvaGrad";31.653;0.0402;0.4946;0.0214;-0.02;0.2631;"Test";9
"Fisher";245.177;0.0363;0.494;0.0244;0.2529;0.674;"Test";9
"NBWaVE";174.722;0.037;0.4941;0.0149;0.4291;0.829;"Test";9
"CMF";541.39;0.0365;0.4941;0.032;0.0606;0.493;"Test";9
"NMF";431.887;0.0373;0.494;0.0231;0.0048;0.4957;"Test";9
"NNLM";184.086;0.0346;0.4942;0.0155;0.03;0.7281;"Test";9
"AIRWLS";172.966;0.0347;0.4941;0.0208;0.5053;0.853;"Test";9
"Newton";70.295;0.0348;0.494;0.0265;0.4645;0.8563;"Test";9
"C-SGD";40.634;0.0367;0.4942;0.0149;0.4651;0.8193;"Test";9
"B-SGD";29.317;0.0416;0.4944;0.0144;0.3965;0.7494;"Test";9
"AvaGrad";43.765;0.0377;0.0085;0.0199;-0.0143;0.2593;"Full";10
"Fisher";201.926;0.0335;0.0076;0.0126;0.3752;0.7749;"Full";10
"NBWaVE";194.653;0.0312;0.007;0.0122;0.4492;0.8113;"Full";10
"CMF";539.233;0.0333;0.0075;0.0148;0.1564;0.7574;"Full";10
"NMF";430.656;0.0342;0.0077;0.0129;0.2451;0.7522;"Full";10
"NNLM";185.19;0.0322;0.0073;0.0098;0.2505;0.8926;"Full";10
"AIRWLS";172.092;0.0319;0.0072;0.0102;0.4578;0.8537;"Full";10
"Newton";71.184;0.0319;0.0072;0.0113;0.5126;0.846;"Full";10
"C-SGD";40.319;0.0314;0.0071;0.0102;0.4784;0.834;"Full";10
"B-SGD";29.297;0.0315;0.0071;0.0103;0.3982;0.7666;"Full";10
"AvaGrad";43.765;0.0376;0.1467;0.0197;-0.0143;0.2593;"Train";10
"Fisher";201.926;0.0332;0.1461;0.0087;0.3752;0.7749;"Train";10
"NBWaVE";194.653;0.0298;0.1452;0.0118;0.4492;0.8113;"Train";10
"CMF";539.233;0.0329;0.1461;0.0084;0.1564;0.7574;"Train";10
"NMF";430.656;0.0339;0.1462;0.0096;0.2451;0.7522;"Train";10
"NNLM";185.19;0.0319;0.1455;0.0084;0.2505;0.8926;"Train";10
"AIRWLS";172.092;0.0316;0.1455;0.0078;0.4578;0.8537;"Train";10
"Newton";71.184;0.0314;0.1455;0.0078;0.5126;0.846;"Train";10
"C-SGD";40.319;0.0302;0.1453;0.0092;0.4784;0.834;"Train";10
"B-SGD";29.297;0.0292;0.1453;0.0096;0.3982;0.7666;"Train";10
"AvaGrad";43.765;0.0379;0.495;0.0204;-0.0143;0.2593;"Test";10
"Fisher";201.926;0.0344;0.4943;0.0238;0.3752;0.7749;"Test";10
"NBWaVE";194.653;0.0352;0.4947;0.0133;0.4492;0.8113;"Test";10
"CMF";539.233;0.0344;0.4942;0.0331;0.1564;0.7574;"Test";10
"NMF";430.656;0.0349;0.4944;0.0221;0.2451;0.7522;"Test";10
"NNLM";185.19;0.033;0.4947;0.014;0.2505;0.8926;"Test";10
"AIRWLS";172.092;0.033;0.4946;0.0171;0.4578;0.8537;"Test";10
"Newton";71.184;0.0332;0.4945;0.0212;0.5126;0.846;"Test";10
"C-SGD";40.319;0.0346;0.4947;0.013;0.4784;0.834;"Test";10
"B-SGD";29.297;0.0379;0.4948;0.0124;0.3982;0.7666;"Test";10
"AvaGrad";34.03;0.0341;0.0081;0.0201;-0.0222;0.2623;"Full";11
"Fisher";238.991;0.0306;0.0073;0.0136;0.3554;0.8104;"Full";11
"NBWaVE";193.124;0.0285;0.0068;0.0133;0.4391;0.8487;"Full";11
"CMF";536.919;0.0305;0.0073;0.0155;0.0378;0.7183;"Full";11
"NMF";431.715;0.0313;0.0075;0.0141;0.0377;0.7104;"Full";11
"NNLM";184.333;0.0294;0.0071;0.0108;0.0551;0.9285;"Full";11
"AIRWLS";172.366;0.0292;0.007;0.0113;0.5572;0.8899;"Full";11
"Newton";70.934;0.0292;0.007;0.0123;0.5725;0.8902;"Full";11
"C-SGD";40.352;0.0287;0.0069;0.0112;0.5385;0.8479;"Full";11
"B-SGD";29.169;0.0286;0.0069;0.0115;0.4873;0.8152;"Full";11
"AvaGrad";34.03;0.034;0.1461;0.0198;-0.0222;0.2623;"Train";11
"Fisher";238.991;0.0303;0.1455;0.0099;0.3554;0.8104;"Train";11
"NBWaVE";193.124;0.0271;0.1448;0.0129;0.4391;0.8487;"Train";11
"CMF";536.919;0.0301;0.1453;0.0094;0.0378;0.7183;"Train";11
"NMF";431.715;0.031;0.1457;0.011;0.0377;0.7104;"Train";11
"NNLM";184.333;0.0291;0.145;0.0094;0.0551;0.9285;"Train";11
"AIRWLS";172.366;0.0288;0.1451;0.0087;0.5572;0.8899;"Train";11
"Newton";70.934;0.0288;0.1451;0.0087;0.5725;0.8902;"Train";11
"C-SGD";40.352;0.0278;0.1449;0.0101;0.5385;0.8479;"Train";11
"B-SGD";29.169;0.0265;0.1447;0.0107;0.4873;0.8152;"Train";11
"AvaGrad";34.03;0.0342;0.4954;0.0207;-0.0222;0.2623;"Test";11
"Fisher";238.991;0.0315;0.4948;0.0244;0.3554;0.8104;"Test";11
"NBWaVE";193.124;0.0322;0.495;0.0145;0.4391;0.8487;"Test";11
"CMF";536.919;0.0315;0.4952;0.0331;0.0378;0.7183;"Test";11
"NMF";431.715;0.032;0.4948;0.0229;0.0377;0.7104;"Test";11
"NNLM";184.333;0.0301;0.4951;0.0148;0.0551;0.9285;"Test";11
"AIRWLS";172.366;0.0302;0.495;0.0188;0.5572;0.8899;"Test";11
"Newton";70.934;0.0303;0.4949;0.0226;0.5725;0.8902;"Test";11
"C-SGD";40.352;0.0316;0.4951;0.0144;0.5385;0.8479;"Test";11
"B-SGD";29.169;0.0346;0.4953;0.0137;0.4873;0.8152;"Test";11
"AvaGrad";31.88;0.0332;0.0086;0.0212;-0.0194;0.2625;"Full";12
"Fisher";219.802;0.0299;0.0078;0.0134;0.3432;0.7484;"Full";12
"NBWaVE";193.824;0.0277;0.0072;0.0128;0.4408;0.7987;"Full";12
"CMF";537.574;0.0295;0.0077;Inf;0.218;0.7385;"Full";12
"NMF";NA;NA;NA;NA;NA;NA;"Full";12
"NNLM";185.831;0.0287;0.0075;Inf;0.2202;0.8884;"Full";12
"AIRWLS";172.036;0.0286;0.0075;0.0107;0.4969;0.8389;"Full";12
"Newton";71.078;0.0285;0.0075;0.0116;0.4807;0.8442;"Full";12
"C-SGD";40.399;0.028;0.0073;0.0105;0.501;0.8184;"Full";12
"B-SGD";29.184;0.0279;0.0073;0.0109;0.4193;0.7862;"Full";12
"AvaGrad";31.88;0.0332;0.1465;0.0209;-0.0194;0.2625;"Train";12
