"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"Newton";11.343;0.0235;0.1425;0.008;0.4819;0.9394;"Train";3
"C-SGD";10.144;0.023;0.1425;0.0093;0.4359;0.8876;"Train";3
"B-SGD";5.818;0.0226;0.1424;0.0101;0.2627;0.7027;"Train";3
"AvaGrad";8.043;0.0301;0.4931;0.0219;-0.0233;0.2514;"Test";3
"Fisher";9.114;0.0259;0.4927;0.0174;0.394;0.8265;"Test";3
"NBWaVE";25.217;0.0255;0.4926;0.0127;0.582;0.9799;"Test";3
"CMF";30.613;0.0272;0.4929;0.0219;0.2023;0.6796;"Test";3
"NMF";NA;NA;NA;NA;NA;NA;"Test";3
"NNLM";17.467;0.025;0.4928;0.0126;0.1499;0.7209;"Test";3
"AIRWLS";21.061;0.0242;0.4927;0.0127;0.5095;0.9452;"Test";3
"Newton";11.343;0.0242;0.4926;0.0137;0.4819;0.9394;"Test";3
"C-SGD";10.144;0.0249;0.4927;0.0118;0.4359;0.8876;"Test";3
"B-SGD";5.818;0.0265;0.4928;0.012;0.2627;0.7027;"Test";3
"AvaGrad";8.449;0.0287;0.0044;0.0177;-0.0369;0.2482;"Full";4
"Fisher";23.391;0.0253;0.0039;0.0116;0.1035;0.4787;"Full";4
"NBWaVE";26.151;0.0237;0.0037;0.0111;0.481;0.9213;"Full";4
"CMF";33.247;0.0258;0.004;0.0126;0.0381;0.3711;"Full";4
"NMF";18.707;0.026;0.004;0.0125;0.0268;0.3637;"Full";4
"NNLM";17.424;0.0241;0.0037;0.0096;-0.0109;0.5984;"Full";4
"AIRWLS";21.096;0.0236;0.0037;0.0095;0.209;0.6618;"Full";4
"Newton";11.207;0.0237;0.0037;0.0098;0.2557;0.6482;"Full";4
"C-SGD";10.112;0.0231;0.0036;0.0094;0.3578;0.8212;"Full";4
"B-SGD";5.812;0.0231;0.0036;0.0097;0.2481;0.6709;"Full";4
"AvaGrad";8.449;0.0287;0.1431;0.0174;-0.0369;0.2482;"Train";4
"Fisher";23.391;0.0252;0.1427;0.0095;0.1035;0.4787;"Train";4
"NBWaVE";26.151;0.0233;0.1425;0.0109;0.481;0.9213;"Train";4
"CMF";33.247;0.0257;0.1428;0.0101;0.0381;0.3711;"Train";4
"NMF";18.707;0.0259;0.1428;0.0113;0.0268;0.3637;"Train";4
"NNLM";17.424;0.024;0.1425;0.009;-0.0109;0.5984;"Train";4
"AIRWLS";21.096;0.0235;0.1425;0.0078;0.209;0.6618;"Train";4
"Newton";11.207;0.0235;0.1425;0.0079;0.2557;0.6482;"Train";4
"C-SGD";10.112;0.0226;0.1424;0.009;0.3578;0.8212;"Train";4
"B-SGD";5.812;0.0221;0.1423;0.0093;0.2481;0.6709;"Train";4
"AvaGrad";8.449;0.0287;0.4931;0.0183;-0.0369;0.2482;"Test";4
"Fisher";23.391;0.0256;0.4928;0.0176;0.1035;0.4787;"Test";4
"NBWaVE";26.151;0.025;0.4927;0.0117;0.481;0.9213;"Test";4
"CMF";33.247;0.026;0.4929;0.0198;0.0381;0.3711;"Test";4
"NMF";18.707;0.0263;0.4928;0.016;0.0268;0.3637;"Test";4
"NNLM";17.424;0.0243;0.4928;0.0112;-0.0109;0.5984;"Test";4
"AIRWLS";21.096;0.024;0.4927;0.0142;0.209;0.6618;"Test";4
"Newton";11.207;0.024;0.4927;0.0154;0.2557;0.6482;"Test";4
"C-SGD";10.112;0.0247;0.4927;0.0106;0.3578;0.8212;"Test";4
"B-SGD";5.812;0.0261;0.4928;0.0106;0.2481;0.6709;"Test";4
"AvaGrad";4.908;0.0278;0.0058;0.0154;-0.0274;0.2564;"Full";5
"Fisher";10.044;0.0249;0.0052;0.01;0.114;0.5541;"Full";5
"NBWaVE";28.391;0.0233;0.0049;0.0096;0.3729;0.8015;"Full";5
"CMF";31.379;0.0249;0.0053;0.0122;0.055;0.4966;"Full";5
"NMF";26.58;0.0256;0.0054;0.0106;0.0076;0.5241;"Full";5
"NNLM";17.499;0.024;0.0051;0.0081;0.0154;0.5748;"Full";5
"AIRWLS";21.002;0.0231;0.0049;0.0074;0.3428;0.7852;"Full";5
"Newton";11.314;0.0232;0.0049;0.0077;0.3135;0.7397;"Full";5
"C-SGD";10.061;0.0228;0.0048;0.0081;0.269;0.7004;"Full";5
"B-SGD";5.784;0.0229;0.0048;0.0083;0.211;0.639;"Full";5
"AvaGrad";4.908;0.0278;0.1443;0.015;-0.0274;0.2564;"Train";5
"Fisher";10.044;0.0247;0.1438;0.0072;0.114;0.5541;"Train";5
"NBWaVE";28.391;0.0228;0.1435;0.0093;0.3729;0.8015;"Train";5
"CMF";31.379;0.0248;0.1438;0.0072;0.055;0.4966;"Train";5
"NMF";26.58;0.0255;0.144;0.0087;0.0076;0.5241;"Train";5
"NNLM";17.499;0.0239;0.1436;0.007;0.0154;0.5748;"Train";5
"AIRWLS";21.002;0.023;0.1434;0.0059;0.3428;0.7852;"Train";5
"Newton";11.314;0.0231;0.1435;0.0059;0.3135;0.7397;"Train";5
"C-SGD";10.061;0.0224;0.1434;0.0073;0.269;0.7004;"Train";5
"B-SGD";5.784;0.022;0.1433;0.0077;0.211;0.639;"Train";5
"AvaGrad";4.908;0.0278;0.4939;0.0168;-0.0274;0.2564;"Test";5
"Fisher";10.044;0.0252;0.4935;0.0179;0.114;0.5541;"Test";5
"NBWaVE";28.391;0.0246;0.4935;0.0105;0.3729;0.8015;"Test";5
"CMF";31.379;0.0255;0.4936;0.0265;0.055;0.4966;"Test";5
"NMF";26.58;0.0258;0.4935;0.0161;0.0076;0.5241;"Test";5
"NNLM";17.499;0.0242;0.4936;0.0113;0.0154;0.5748;"Test";5
"AIRWLS";21.002;0.0235;0.4935;0.0117;0.3428;0.7852;"Test";5
"Newton";11.314;0.0236;0.4934;0.0129;0.3135;0.7397;"Test";5
"C-SGD";10.061;0.0239;0.4935;0.0105;0.269;0.7004;"Test";5
"B-SGD";5.784;0.0254;0.4936;0.0102;0.211;0.639;"Test";5
"AvaGrad";8.537;0.0292;0.0052;0.0129;-0.0191;0.2512;"Full";6
"Fisher";15.222;0.0261;0.0047;0.0093;0.0493;0.4611;"Full";6
"NBWaVE";20.982;0.0243;0.0043;0.0092;0.3611;0.8362;"Full";6
"CMF";33.834;0.0267;0.0048;0.0106;0.0132;0.4032;"Full";6
"NMF";7.204;0.0276;0.0049;0.0109;-0.0184;0.3862;"Full";6
"NNLM";17.408;0.0252;0.0045;0.0079;0.0468;0.4868;"Full";6
"AIRWLS";21.102;0.0242;0.0043;0.0074;0.3364;0.7639;"Full";6
"Newton";11.351;0.0243;0.0044;0.0081;0.314;0.759;"Full";6
"C-SGD";10.133;0.024;0.0043;0.0077;0.2482;0.6792;"Full";6
"B-SGD";5.816;0.0241;0.0043;0.0079;0.1613;0.6045;"Full";6
"AvaGrad";8.537;0.0291;0.1432;0.0126;-0.0191;0.2512;"Train";6
"Fisher";15.222;0.0259;0.1428;0.0072;0.0493;0.4611;"Train";6
"NBWaVE";20.982;0.0238;0.1424;0.009;0.3611;0.8362;"Train";6
"CMF";33.834;0.0265;0.1427;0.0076;0.0132;0.4032;"Train";6
"NMF";7.204;0.0275;0.143;0.0094;-0.0184;0.3862;"Train";6
"NNLM";17.408;0.025;0.1425;0.0071;0.0468;0.4868;"Train";6
"AIRWLS";21.102;0.024;0.1424;0.006;0.3364;0.7639;"Train";6
"Newton";11.351;0.024;0.1424;0.006;0.314;0.759;"Train";6
"C-SGD";10.133;0.0235;0.1423;0.007;0.2482;0.6792;"Train";6
"B-SGD";5.816;0.0232;0.1423;0.0075;0.1613;0.6045;"Train";6
"AvaGrad";8.537;0.0295;0.4945;0.0139;-0.0191;0.2512;"Test";6
"Fisher";15.222;0.0268;0.4942;0.0153;0.0493;0.4611;"Test";6
"NBWaVE";20.982;0.026;0.4942;0.0097;0.3611;0.8362;"Test";6
"CMF";33.834;0.0274;0.4945;0.0194;0.0132;0.4032;"Test";6
"NMF";7.204;0.0282;0.4944;0.0151;-0.0184;0.3862;"Test";6
"NNLM";17.408;0.0258;0.4943;0.0101;0.0468;0.4868;"Test";6
"AIRWLS";21.102;0.0249;0.4942;0.0114;0.3364;0.7639;"Test";6
"Newton";11.351;0.025;0.4942;0.0142;0.314;0.759;"Test";6
"C-SGD";10.133;0.0253;0.4943;0.0094;0.2482;0.6792;"Test";6
"B-SGD";5.816;0.0267;0.4943;0.0093;0.1613;0.6045;"Test";6
"AvaGrad";9.804;0.0288;0.0045;0.0148;-0.037;0.2669;"Full";7
"Fisher";12.052;0.0254;0.004;0.01;0.1753;0.6511;"Full";7
"NBWaVE";19.398;0.0239;0.0037;0.0096;0.3638;0.8772;"Full";7
"CMF";35.01;0.0264;0.0041;0.0113;0.0284;0.4694;"Full";7
"NMF";16.189;0.0273;0.0043;0.0119;-0.0263;0.4501;"Full";7
"NNLM";17.516;0.0246;0.0039;0.0085;0.023;0.6662;"Full";7
"AIRWLS";21.015;0.0237;0.0037;0.0078;0.402;0.8609;"Full";7
"Newton";11.206;0.0237;0.0037;0.0079;0.4205;0.8687;"Full";7
"C-SGD";10.1;0.0234;0.0037;0.0081;0.3397;0.7951;"Full";7
"B-SGD";5.797;0.0237;0.0037;0.0086;0.2362;0.6745;"Full";7
"AvaGrad";9.804;0.0288;0.1431;0.0145;-0.037;0.2669;"Train";7
"Fisher";12.052;0.0253;0.1427;0.0078;0.1753;0.6511;"Train";7
"NBWaVE";19.398;0.0234;0.1424;0.0094;0.3638;0.8772;"Train";7
"CMF";35.01;0.0263;0.1427;0.0086;0.0284;0.4694;"Train";7
