"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"Fisher";145.012;0.0316;0.4946;0.0164;0.3274;0.8314;"Test";3
"NBWaVE";54.069;0.0313;0.4946;0.0134;0.5216;0.9948;"Test";3
"CMF";104.05;0.0317;0.4947;0.018;0.0114;0.4421;"Test";3
"NMF";113.906;0.0327;0.4947;0.0172;-0.0077;0.4263;"Test";3
"NNLM";67.267;0.031;0.4946;0.0137;0.014;0.6347;"Test";3
"AIRWLS";62.552;0.0301;0.4945;0.0129;0.4643;0.9951;"Test";3
"Newton";33.786;0.0301;0.4945;0.013;0.5373;0.9946;"Test";3
"C-SGD";26.075;0.0302;0.4945;0.0124;0.4613;0.9623;"Test";3
"B-SGD";15.622;0.0305;0.4946;0.0126;0.3986;0.8808;"Test";3
"AvaGrad";30.253;0.0359;0.008;0.0225;-0.0198;0.2578;"Full";4
"Fisher";39.061;0.0318;0.0071;0.0133;0.2569;0.7786;"Full";4
"NBWaVE";103.275;0.031;0.0069;0.0128;0.4733;0.9743;"Full";4
"CMF";97.944;0.0322;0.0072;0.0143;0.0222;0.559;"Full";4
"NMF";113.99;0.0328;0.0073;0.0145;0.0295;0.5745;"Full";4
"NNLM";67.668;0.0312;0.007;0.0124;0.0315;0.7423;"Full";4
"AIRWLS";67.975;0.0302;0.0067;0.0107;0.5239;0.9881;"Full";4
"Newton";45.443;0.0302;0.0067;0.0107;0.4964;0.9912;"Full";4
"C-SGD";25.99;0.0303;0.0068;0.0121;0.3145;0.8801;"Full";4
"B-SGD";15.407;0.0301;0.0067;0.0121;0.3268;0.8448;"Full";4
"AvaGrad";30.253;0.0359;0.146;0.0223;-0.0198;0.2578;"Train";4
"Fisher";39.061;0.0317;0.1453;0.0117;0.2569;0.7786;"Train";4
"NBWaVE";103.275;0.0308;0.1451;0.0125;0.4733;0.9743;"Train";4
"CMF";97.944;0.0321;0.1453;0.0123;0.0222;0.559;"Train";4
"NMF";113.99;0.0327;0.1455;0.0135;0.0295;0.5745;"Train";4
"NNLM";67.668;0.0311;0.1451;0.0117;0.0315;0.7423;"Train";4
"AIRWLS";67.975;0.0301;0.145;0.01;0.5239;0.9881;"Train";4
"Newton";45.443;0.0301;0.145;0.0099;0.4964;0.9912;"Train";4
"C-SGD";25.99;0.0301;0.145;0.0117;0.3145;0.8801;"Train";4
"B-SGD";15.407;0.0297;0.1449;0.0118;0.3268;0.8448;"Train";4
"AvaGrad";30.253;0.0359;0.4952;0.023;-0.0198;0.2578;"Test";4
"Fisher";39.061;0.0321;0.4946;0.0181;0.2569;0.7786;"Test";4
"NBWaVE";103.275;0.0316;0.4946;0.0134;0.4733;0.9743;"Test";4
"CMF";97.944;0.0324;0.4948;0.0201;0.0222;0.559;"Test";4
"NMF";113.99;0.0329;0.4947;0.0173;0.0295;0.5745;"Test";4
"NNLM";67.668;0.0314;0.4947;0.0143;0.0315;0.7423;"Test";4
"AIRWLS";67.975;0.0304;0.4946;0.0129;0.5239;0.9881;"Test";4
"Newton";45.443;0.0304;0.4946;0.013;0.4964;0.9912;"Test";4
"C-SGD";25.99;0.0309;0.4946;0.0133;0.3145;0.8801;"Test";4
"B-SGD";15.407;0.0312;0.4946;0.013;0.3268;0.8448;"Test";4
"AvaGrad";37.555;0.0349;0.0083;0.0191;-0.0149;0.2615;"Full";5
"Fisher";38.331;0.032;0.0077;0.0135;0.1288;0.5477;"Full";5
"NBWaVE";89.237;0.031;0.0074;0.013;0.5172;0.981;"Full";5
"CMF";99.4;0.0318;0.0076;0.013;0.0134;0.4206;"Full";5
"NMF";NA;NA;NA;NA;NA;NA;"Full";5
"NNLM";67.265;0.0309;0.0074;0.0118;7e-04;0.6696;"Full";5
"AIRWLS";80.816;0.0304;0.0073;0.0114;0.3154;0.8077;"Full";5
"Newton";47.114;0.0304;0.0073;0.0119;0.307;0.8049;"Full";5
"C-SGD";26.222;0.03;0.0072;0.0116;0.3665;0.8481;"Full";5
"B-SGD";15.477;0.0298;0.0072;0.0116;0.3392;0.8491;"Full";5
"AvaGrad";37.555;0.0349;0.1467;0.019;-0.0149;0.2615;"Train";5
"Fisher";38.331;0.0319;0.1461;0.0121;0.1288;0.5477;"Train";5
"NBWaVE";89.237;0.0308;0.1459;0.0128;0.5172;0.981;"Train";5
"CMF";99.4;0.0317;0.1461;0.012;0.0134;0.4206;"Train";5
"NMF";NA;NA;NA;NA;NA;NA;"Train";5
"NNLM";67.265;0.0309;0.1459;0.0114;7e-04;0.6696;"Train";5
"AIRWLS";80.816;0.0303;0.1458;0.0105;0.3154;0.8077;"Train";5
"Newton";47.114;0.0303;0.1458;0.0105;0.307;0.8049;"Train";5
"C-SGD";26.222;0.0298;0.1457;0.0113;0.3665;0.8481;"Train";5
"B-SGD";15.477;0.0294;0.1456;0.0114;0.3392;0.8491;"Train";5
"AvaGrad";37.555;0.035;0.4948;0.0196;-0.0149;0.2615;"Test";5
"Fisher";38.331;0.0322;0.4944;0.0174;0.1288;0.5477;"Test";5
"NBWaVE";89.237;0.0316;0.4943;0.0134;0.5172;0.981;"Test";5
"CMF";99.4;0.0319;0.4944;0.0159;0.0134;0.4206;"Test";5
"NMF";NA;NA;NA;NA;NA;NA;"Test";5
"NNLM";67.265;0.0311;0.4943;0.0129;7e-04;0.6696;"Test";5
"AIRWLS";80.816;0.0306;0.4943;0.0141;0.3154;0.8077;"Test";5
"Newton";47.114;0.0306;0.4943;0.0157;0.307;0.8049;"Test";5
"C-SGD";26.222;0.0306;0.4943;0.0123;0.3665;0.8481;"Test";5
"B-SGD";15.477;0.0308;0.4943;0.0122;0.3392;0.8491;"Test";5
"AvaGrad";28.68;0.0345;0.0085;0.0199;-0.0155;0.2552;"Full";6
"Fisher";41.238;0.031;0.0076;0.0123;0.2481;0.751;"Full";6
"NBWaVE";71.817;0.0303;0.0075;0.0119;0.5103;0.9892;"Full";6
"CMF";105.841;0.0309;0.0077;0.0119;0.1106;0.6148;"Full";6
"NMF";114.234;0.032;0.0079;0.0134;0.0951;0.5751;"Full";6
"NNLM";67.34;0.0303;0.0075;0.0108;0.0201;0.6912;"Full";6
"AIRWLS";82.533;0.0295;0.0073;0.01;0.5063;0.9728;"Full";6
"Newton";47.364;0.0296;0.0073;0.0103;0.4712;0.9384;"Full";6
"C-SGD";26.469;0.0293;0.0073;0.0105;0.4241;0.9352;"Full";6
"B-SGD";15.556;0.0292;0.0072;0.0106;0.3479;0.8754;"Full";6
"AvaGrad";28.68;0.0345;0.1463;0.0195;-0.0155;0.2552;"Train";6
"Fisher";41.238;0.0309;0.1456;0.0105;0.2481;0.751;"Train";6
"NBWaVE";71.817;0.0301;0.1454;0.0117;0.5103;0.9892;"Train";6
"CMF";105.841;0.0308;0.1455;0.0106;0.1106;0.6148;"Train";6
"NMF";114.234;0.0319;0.1458;0.0121;0.0951;0.5751;"Train";6
"NNLM";67.34;0.0303;0.1454;0.0103;0.0201;0.6912;"Train";6
"AIRWLS";82.533;0.0294;0.1453;0.0092;0.5063;0.9728;"Train";6
"Newton";47.364;0.0295;0.1453;0.0092;0.4712;0.9384;"Train";6
"C-SGD";26.469;0.0292;0.1452;0.0102;0.4241;0.9352;"Train";6
"B-SGD";15.556;0.0289;0.1451;0.0103;0.3479;0.8754;"Train";6
"AvaGrad";28.68;0.0345;0.4957;0.0209;-0.0155;0.2552;"Test";6
"Fisher";41.238;0.0312;0.4952;0.0176;0.2481;0.751;"Test";6
"NBWaVE";71.817;0.0309;0.4952;0.0124;0.5103;0.9892;"Test";6
"CMF";105.841;0.0311;0.4954;0.0156;0.1106;0.6148;"Test";6
"NMF";114.234;0.0322;0.4953;0.0171;0.0951;0.5751;"Test";6
"NNLM";67.34;0.0304;0.4953;0.0123;0.0201;0.6912;"Test";6
"AIRWLS";82.533;0.0297;0.4952;0.0126;0.5063;0.9728;"Test";6
"Newton";47.364;0.0298;0.4952;0.0134;0.4712;0.9384;"Test";6
"C-SGD";26.469;0.0298;0.4952;0.0114;0.4241;0.9352;"Test";6
"B-SGD";15.556;0.0301;0.4952;0.0114;0.3479;0.8754;"Test";6
"AvaGrad";21.437;0.0344;0.0091;0.0193;-0.0184;0.256;"Full";7
"Fisher";59.745;0.0311;0.0082;0.0124;0.3223;0.7835;"Full";7
"NBWaVE";54.459;0.0304;0.008;0.0121;0.5068;0.9894;"Full";7
"CMF";102.033;0.0317;0.0084;0.0134;0.1482;0.6731;"Full";7
"NMF";113.811;0.0324;0.0086;0.0139;0.1631;0.743;"Full";7
"NNLM";67.405;0.0304;0.0081;0.0113;0.1049;0.8001;"Full";7
"AIRWLS";81.299;0.0296;0.0079;0.0103;0.4952;0.9911;"Full";7
"Newton";45.982;0.0296;0.0079;0.0105;0.5111;0.9924;"Full";7
"C-SGD";26.089;0.0295;0.0078;0.0108;0.3787;0.9033;"Full";7
"B-SGD";15.553;0.0293;0.0078;0.0109;0.3975;0.9128;"Full";7
"AvaGrad";21.437;0.0344;0.1469;0.0191;-0.0184;0.256;"Train";7
"Fisher";59.745;0.031;0.1462;0.011;0.3223;0.7835;"Train";7
"NBWaVE";54.459;0.0302;0.146;0.0118;0.5068;0.9894;"Train";7
"CMF";102.033;0.0316;0.1463;0.0119;0.1482;0.6731;"Train";7
"NMF";113.811;0.0323;0.1465;0.013;0.1631;0.743;"Train";7
"NNLM";67.405;0.0303;0.146;0.0108;0.1049;0.8001;"Train";7
"AIRWLS";81.299;0.0295;0.1459;0.0094;0.4952;0.9911;"Train";7
"Newton";45.982;0.0295;0.1459;0.0094;0.5111;0.9924;"Train";7
"C-SGD";26.089;0.0292;0.1458;0.0105;0.3787;0.9033;"Train";7
"B-SGD";15.553;0.029;0.1458;0.0106;0.3975;0.9128;"Train";7
"AvaGrad";21.437;0.0345;0.4958;0.0198;-0.0184;0.256;"Test";7
"Fisher";59.745;0.0314;0.4953;0.0162;0.3223;0.7835;"Test";7
"NBWaVE";54.459;0.0311;0.4953;0.0127;0.5068;0.9894;"Test";7
"CMF";102.033;0.032;0.4955;0.0177;0.1482;0.6731;"Test";7
"NMF";113.811;0.0326;0.4955;0.0163;0.1631;0.743;"Test";7
"NNLM";67.405;0.0306;0.4953;0.0127;0.1049;0.8001;"Test";7
"AIRWLS";81.299;0.0299;0.4953;0.0127;0.4952;0.9911;"Test";7
"Newton";45.982;0.0299;0.4952;0.0135;0.5111;0.9924;"Test";7
"C-SGD";26.089;0.0301;0.4953;0.0117;0.3787;0.9033;"Test";7
"B-SGD";15.553;0.0303;0.4953;0.0117;0.3975;0.9128;"Test";7
"AvaGrad";280.752;0.035;0.0094;0.0174;-0.0209;0.2599;"Full";8
"Fisher";72.138;0.0317;0.0085;0.0119;0.3776;0.8874;"Full";8
"NBWaVE";57.873;0.031;0.0083;0.0118;0.4983;0.9859;"Full";8
"CMF";100.178;0.0319;0.0086;0.012;0.0165;0.5269;"Full";8
"NMF";113.919;0.0328;0.0088;0.0131;0.0017;0.4858;"Full";8
"NNLM";67.106;0.0313;0.0084;0.011;-0.008;0.7406;"Full";8
"AIRWLS";83.223;0.0303;0.0082;0.0101;0.5229;0.9911;"Full";8
"Newton";41.769;0.0303;0.0082;0.0103;0.5289;0.9919;"Full";8
"C-SGD";26.437;0.0301;0.0081;0.0107;0.3743;0.8939;"Full";8
"B-SGD";15.246;0.0299;0.0081;0.0107;0.4324;0.9294;"Full";8
"AvaGrad";280.752;0.035;0.1471;0.0172;-0.0209;0.2599;"Train";8
"Fisher";72.138;0.0316;0.1464;0.0108;0.3776;0.8874;"Train";8
"NBWaVE";57.873;0.0308;0.1462;0.0117;0.4983;0.9859;"Train";8
"CMF";100.178;0.0319;0.1464;0.011;0.0165;0.5269;"Train";8
"NMF";113.919;0.0327;0.1467;0.0123;0.0017;0.4858;"Train";8
"NNLM";67.106;0.0312;0.1463;0.0106;-0.008;0.7406;"Train";8
"AIRWLS";83.223;0.0302;0.1461;0.0095;0.5229;0.9911;"Train";8
"Newton";41.769;0.0302;0.1461;0.0095;0.5289;0.9919;"Train";8
"C-SGD";26.437;0.0299;0.146;0.0104;0.3743;0.8939;"Train";8
"B-SGD";15.246;0.0295;0.1459;0.0105;0.4324;0.9294;"Train";8
"AvaGrad";280.752;0.035;0.4961;0.0178;-0.0209;0.2599;"Test";8
"Fisher";72.138;0.0318;0.4956;0.0151;0.3776;0.8874;"Test";8
"NBWaVE";57.873;0.0315;0.4955;0.0122;0.4983;0.9859;"Test";8
"CMF";100.178;0.032;0.4957;0.015;0.0165;0.5269;"Test";8
"NMF";113.919;0.0328;0.4957;0.0153;0.0017;0.4858;"Test";8
"NNLM";67.106;0.0314;0.4956;0.0123;-0.008;0.7406;"Test";8
"AIRWLS";83.223;0.0305;0.4955;0.0118;0.5229;0.9911;"Test";8
"Newton";41.769;0.0304;0.4955;0.0124;0.5289;0.9919;"Test";8
"C-SGD";26.437;0.0306;0.4955;0.0116;0.3743;0.8939;"Test";8
"B-SGD";15.246;0.0308;0.4955;0.0113;0.4324;0.9294;"Test";8
"AvaGrad";298.951;0.0392;0.0079;0.0221;-0.0188;0.2547;"Full";9
"Fisher";46.764;0.0346;0.007;0.0138;0.2957;0.7667;"Full";9
"NBWaVE";92.391;0.0334;0.0067;0.0133;0.5276;0.9873;"Full";9
"CMF";99.147;0.0355;0.0072;0.0156;0.118;0.6085;"Full";9
"NMF";115.153;0.0364;0.0073;0.0154;0.0944;0.6769;"Full";9
"NNLM";67.394;0.0336;0.0068;0.0126;0.0413;0.7606;"Full";9
"AIRWLS";76.237;0.0325;0.0066;0.0113;0.4827;0.978;"Full";9
"Newton";38.438;0.0325;0.0066;0.0116;0.4691;0.9641;"Full";9
"C-SGD";26.223;0.0321;0.0065;0.0119;0.4846;0.9571;"Full";9
"B-SGD";16.21;0.0319;0.0065;0.012;0.4127;0.9069;"Full";9
"AvaGrad";298.951;0.0393;0.1461;0.0219;-0.0188;0.2547;"Train";9
"Fisher";46.764;0.0346;0.1454;0.0119;0.2957;0.7667;"Train";9
"NBWaVE";92.391;0.0332;0.1451;0.0131;0.5276;0.9873;"Train";9
"CMF";99.147;0.0354;0.1455;0.0128;0.118;0.6085;"Train";9
"NMF";115.153;0.0363;0.1457;0.0142;0.0944;0.6769;"Train";9
"NNLM";67.394;0.0336;0.1452;0.0118;0.0413;0.7606;"Train";9
"AIRWLS";76.237;0.0324;0.145;0.0103;0.4827;0.978;"Train";9
"Newton";38.438;0.0324;0.145;0.0103;0.4691;0.9641;"Train";9
"C-SGD";26.223;0.0319;0.1449;0.0115;0.4846;0.9571;"Train";9
"B-SGD";16.21;0.0315;0.1448;0.0116;0.4127;0.9069;"Train";9
"AvaGrad";298.951;0.0392;0.4948;0.0229;-0.0188;0.2547;"Test";9
"Fisher";46.764;0.0348;0.4943;0.0189;0.2957;0.7667;"Test";9
"NBWaVE";92.391;0.034;0.4942;0.0138;0.5276;0.9873;"Test";9
"CMF";99.147;0.0357;0.4945;0.0236;0.118;0.6085;"Test";9
"NMF";115.153;0.0365;0.4945;0.0191;0.0944;0.6769;"Test";9
"NNLM";67.394;0.0338;0.4943;0.0148;0.0413;0.7606;"Test";9
"AIRWLS";76.237;0.0327;0.4942;0.0142;0.4827;0.978;"Test";9
"Newton";38.438;0.0327;0.4942;0.0156;0.4691;0.9641;"Test";9
"C-SGD";26.223;0.0326;0.4942;0.0131;0.4846;0.9571;"Test";9
"B-SGD";16.21;0.0328;0.4942;0.013;0.4127;0.9069;"Test";9
"AvaGrad";21.316;0.036;0.0076;0.0207;-0.0416;0.2574;"Full";10
"Fisher";37.827;0.0325;0.0069;0.0145;0.2224;0.7463;"Full";10
"NBWaVE";58.114;0.0317;0.0067;0.0141;0.4702;0.9884;"Full";10
"CMF";100.605;0.0326;0.0069;Inf;0.038;0.5713;"Full";10
"NMF";114.262;0.0334;0.0071;0.0155;0.0196;0.5932;"Full";10
"NNLM";67.365;0.0318;0.0068;0.0131;-0.0097;0.7391;"Full";10
"AIRWLS";57.895;0.0308;0.0066;0.0121;0.4637;0.9679;"Full";10
"Newton";47.137;0.0308;0.0066;0.0122;0.4695;0.9679;"Full";10
"C-SGD";26.351;0.0307;0.0065;0.0126;0.4724;0.9534;"Full";10
"B-SGD";15.481;0.0305;0.0065;0.0128;0.4307;0.9268;"Full";10
"AvaGrad";21.316;0.036;0.1456;0.0205;-0.0416;0.2574;"Train";10
"Fisher";37.827;0.0324;0.145;0.0132;0.2224;0.7463;"Train";10
"NBWaVE";58.114;0.0314;0.1448;0.0139;0.4702;0.9884;"Train";10
"CMF";100.605;0.0324;0.1449;0.0132;0.038;0.5713;"Train";10
"NMF";114.262;0.0333;0.1451;0.0148;0.0196;0.5932;"Train";10
"NNLM";67.365;0.0317;0.1448;0.0126;-0.0097;0.7391;"Train";10
"AIRWLS";57.895;0.0307;0.1446;0.0115;0.4637;0.9679;"Train";10
"Newton";47.137;0.0307;0.1446;0.0115;0.4695;0.9679;"Train";10
"C-SGD";26.351;0.0305;0.1446;0.0123;0.4724;0.9534;"Train";10
"B-SGD";15.481;0.0302;0.1445;0.0125;0.4307;0.9268;"Train";10
"AvaGrad";21.316;0.0361;0.4953;0.0212;-0.0416;0.2574;"Test";10
"Fisher";37.827;0.0328;0.4948;0.0181;0.2224;0.7463;"Test";10
"NBWaVE";58.114;0.0324;0.4948;0.0146;0.4702;0.9884;"Test";10
"CMF";100.605;0.0329;0.495;Inf;0.038;0.5713;"Test";10
"NMF";114.262;0.0336;0.4949;0.0178;0.0196;0.5932;"Test";10
"NNLM";67.365;0.032;0.4949;0.0145;-0.0097;0.7391;"Test";10
"AIRWLS";57.895;0.0311;0.4948;0.0139;0.4637;0.9679;"Test";10
"Newton";47.137;0.0311;0.4948;0.0141;0.4695;0.9679;"Test";10
"C-SGD";26.351;0.0312;0.4948;0.0135;0.4724;0.9534;"Test";10
"B-SGD";15.481;0.0315;0.4948;0.0135;0.4307;0.9268;"Test";10
"AvaGrad";29.595;0.0366;0.0076;0.0218;-0.0153;0.2538;"Full";11
"Fisher";40.353;0.0329;0.0068;0.0138;0.2287;0.7377;"Full";11
"NBWaVE";75.802;0.0321;0.0067;0.0135;0.5209;0.9874;"Full";11
"CMF";100.217;0.0335;0.007;0.0148;-0.0338;0.5546;"Full";11
"NMF";114.16;0.034;0.0071;0.0157;0.039;0.5079;"Full";11
"NNLM";67.279;0.0324;0.0068;0.0129;0.0628;0.8291;"Full";11
"AIRWLS";83.163;0.0312;0.0065;0.0114;0.5236;0.9949;"Full";11
"Newton";44.317;0.0312;0.0065;0.0116;0.5393;0.9943;"Full";11
"C-SGD";26.18;0.031;0.0065;0.0119;0.4716;0.9557;"Full";11
"B-SGD";15.499;0.0309;0.0065;0.012;0.4434;0.937;"Full";11
"AvaGrad";29.595;0.0366;0.1459;0.0215;-0.0153;0.2538;"Train";11
"Fisher";40.353;0.0328;0.1452;0.0121;0.2287;0.7377;"Train";11
"NBWaVE";75.802;0.0319;0.1451;0.0132;0.5209;0.9874;"Train";11
"CMF";100.217;0.0335;0.1453;0.0133;-0.0338;0.5546;"Train";11
"NMF";114.16;0.0339;0.1454;0.0145;0.039;0.5079;"Train";11
"NNLM";67.279;0.0323;0.1451;0.0122;0.0628;0.8291;"Train";11
"AIRWLS";83.163;0.0311;0.1449;0.0105;0.5236;0.9949;"Train";11
"Newton";44.317;0.0311;0.1449;0.0105;0.5393;0.9943;"Train";11
"C-SGD";26.18;0.0309;0.1449;0.0115;0.4716;0.9557;"Train";11
"B-SGD";15.499;0.0306;0.1448;0.0117;0.4434;0.937;"Train";11
"AvaGrad";29.595;0.0367;0.4947;0.0226;-0.0153;0.2538;"Test";11
"Fisher";40.353;0.0331;0.4943;0.0184;0.2287;0.7377;"Test";11
"NBWaVE";75.802;0.0328;0.4942;0.0142;0.5209;0.9874;"Test";11
"CMF";100.217;0.0336;0.4944;0.019;-0.0338;0.5546;"Test";11
"NMF";114.16;0.0341;0.4944;0.0191;0.039;0.5079;"Test";11
"NNLM";67.279;0.0326;0.4943;0.0148;0.0628;0.8291;"Test";11
"AIRWLS";83.163;0.0314;0.4942;0.014;0.5236;0.9949;"Test";11
"Newton";44.317;0.0315;0.4942;0.0147;0.5393;0.9943;"Test";11
"C-SGD";26.18;0.0316;0.4942;0.013;0.4716;0.9557;"Test";11
"B-SGD";15.499;0.0319;0.4943;0.013;0.4434;0.937;"Test";11
"AvaGrad";279.171;0.0348;0.009;0.0178;-0.0177;0.2546;"Full";12
"Fisher";74.587;0.0315;0.0082;0.0124;0.2319;0.6962;"Full";12
"NBWaVE";54.74;0.0308;0.008;0.0123;0.4726;0.9537;"Full";12
"CMF";94.55;0.0315;0.0082;Inf;0.0285;0.4562;"Full";12
"NMF";NA;NA;NA;NA;NA;NA;"Full";12
"NNLM";67.369;0.0307;0.008;Inf;0.0316;0.7127;"Full";12
"AIRWLS";79.268;0.0301;0.0079;0.0107;0.3666;0.8814;"Full";12
"Newton";47.631;0.0301;0.0079;0.0108;0.3611;0.876;"Full";12
"C-SGD";26.052;0.0299;0.0078;0.0109;0.2867;0.841;"Full";12
