"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";417.041;0.0399;0.007;0.0228;-0.0204;0.2584;"Full";1
"Fisher";60.516;0.0356;0.0062;0.016;0.2623;0.7921;"Full";1
"NBWaVE";76.117;0.0347;0.0061;0.0159;0.4808;0.9607;"Full";1
"CMF";106.104;0.0362;0.0064;0.0167;0.0254;0.4461;"Full";1
"NMF";113.892;0.0367;0.0064;0.0171;0.0272;0.5004;"Full";1
"NNLM";67.032;0.0346;0.0061;0.0148;0.0302;0.7249;"Full";1
"AIRWLS";85.346;0.0339;0.006;0.0142;0.4151;0.9188;"Full";1
"Newton";47.49;0.0339;0.006;0.0144;0.4012;0.9277;"Full";1
"C-SGD";25.963;0.0336;0.0059;0.0143;0.4166;0.9222;"Full";1
"B-SGD";15.423;0.0333;0.0059;0.0144;0.4273;0.9227;"Full";1
"AvaGrad";417.041;0.04;0.1453;0.0228;-0.0204;0.2584;"Train";1
"Fisher";60.516;0.0356;0.1447;0.015;0.2623;0.7921;"Train";1
"NBWaVE";76.117;0.0345;0.1445;0.0158;0.4808;0.9607;"Train";1
"CMF";106.104;0.0362;0.1447;0.0155;0.0254;0.4461;"Train";1
"NMF";113.892;0.0367;0.1448;0.0166;0.0272;0.5004;"Train";1
"NNLM";67.032;0.0346;0.1445;0.0144;0.0302;0.7249;"Train";1
"AIRWLS";85.346;0.0339;0.1444;0.0133;0.4151;0.9188;"Train";1
"Newton";47.49;0.0339;0.1444;0.0133;0.4012;0.9277;"Train";1
"C-SGD";25.963;0.0334;0.1443;0.0141;0.4166;0.9222;"Train";1
"B-SGD";15.423;0.033;0.1443;0.0142;0.4273;0.9227;"Train";1
"AvaGrad";417.041;0.0397;0.4945;0.0231;-0.0204;0.2584;"Test";1
"Fisher";60.516;0.0356;0.4941;0.0189;0.2623;0.7921;"Test";1
"NBWaVE";76.117;0.0353;0.4941;0.0163;0.4808;0.9607;"Test";1
"CMF";106.104;0.0362;0.4943;0.0202;0.0254;0.4461;"Test";1
"NMF";113.892;0.0366;0.4942;0.0184;0.0272;0.5004;"Test";1
"NNLM";67.032;0.0346;0.4941;0.0156;0.0302;0.7249;"Test";1
"AIRWLS";85.346;0.034;0.494;0.0169;0.4151;0.9188;"Test";1
"Newton";47.49;0.034;0.494;0.0175;0.4012;0.9277;"Test";1
"C-SGD";25.963;0.034;0.4941;0.015;0.4166;0.9222;"Test";1
"B-SGD";15.423;0.0343;0.4941;0.015;0.4273;0.9227;"Test";1
"AvaGrad";23;0.0385;0.0067;0.0223;-0.0266;0.252;"Full";2
"Fisher";65.92;0.0344;0.006;0.0155;0.2107;0.7737;"Full";2
"NBWaVE";55.684;0.0336;0.0059;0.0155;0.358;0.9328;"Full";2
"CMF";110.584;0.0346;0.0061;0.016;0.0101;0.3914;"Full";2
"NMF";114.35;0.0356;0.0062;0.017;0.0168;0.3799;"Full";2
"NNLM";67.304;0.0335;0.0059;0.0141;0.0126;0.6078;"Full";2
"AIRWLS";83.688;0.0327;0.0058;0.0135;0.3999;0.9284;"Full";2
"Newton";47.409;0.0327;0.0058;0.014;0.4065;0.9303;"Full";2
"C-SGD";26.094;0.0325;0.0057;0.0138;0.4243;0.909;"Full";2
"B-SGD";15.604;0.0323;0.0057;0.014;0.368;0.8474;"Full";2
"AvaGrad";23;0.0385;0.1453;0.0222;-0.0266;0.252;"Train";2
"Fisher";65.92;0.0343;0.1447;0.0142;0.2107;0.7737;"Train";2
"NBWaVE";55.684;0.0333;0.1446;0.0153;0.358;0.9328;"Train";2
"CMF";110.584;0.0345;0.1448;0.0146;0.0101;0.3914;"Train";2
"NMF";114.35;0.0355;0.1449;0.016;0.0168;0.3799;"Train";2
"NNLM";67.304;0.0334;0.1446;0.0137;0.0126;0.6078;"Train";2
"AIRWLS";83.688;0.0326;0.1445;0.0127;0.3999;0.9284;"Train";2
"Newton";47.409;0.0326;0.1445;0.0126;0.4065;0.9303;"Train";2
"C-SGD";26.094;0.0323;0.1444;0.0136;0.4243;0.909;"Train";2
"B-SGD";15.604;0.0319;0.1444;0.0137;0.368;0.8474;"Train";2
"AvaGrad";23;0.0386;0.4939;0.0226;-0.0266;0.252;"Test";2
"Fisher";65.92;0.0347;0.4935;0.0192;0.2107;0.7737;"Test";2
"NBWaVE";55.684;0.0345;0.4935;0.0158;0.358;0.9328;"Test";2
"CMF";110.584;0.0348;0.4936;0.0199;0.0101;0.3914;"Test";2
"NMF";114.35;0.0359;0.4937;0.0199;0.0168;0.3799;"Test";2
"NNLM";67.304;0.0338;0.4936;0.0152;0.0126;0.6078;"Test";2
"AIRWLS";83.688;0.0331;0.4935;0.016;0.3999;0.9284;"Test";2
"Newton";47.409;0.0331;0.4935;0.0178;0.4065;0.9303;"Test";2
"C-SGD";26.094;0.0332;0.4935;0.0146;0.4243;0.909;"Test";2
"B-SGD";15.604;0.0336;0.4935;0.0146;0.368;0.8474;"Test";2
"AvaGrad";22.445;0.0348;0.0089;0.0193;-0.0264;0.2535;"Full";3
"Fisher";145.012;0.0315;0.008;0.0132;0.3274;0.8314;"Full";3
"NBWaVE";54.069;0.0308;0.0078;0.0129;0.5216;0.9948;"Full";3
"CMF";104.05;0.0317;0.0081;0.014;0.0114;0.4421;"Full";3
"NMF";113.906;0.0326;0.0083;0.0148;-0.0077;0.4263;"Full";3
"NNLM";67.267;0.0309;0.0079;0.0124;0.014;0.6347;"Full";3
"AIRWLS";62.552;0.03;0.0077;0.0111;0.4643;0.9951;"Full";3
"Newton";33.786;0.03;0.0077;0.0111;0.5373;0.9946;"Full";3
"C-SGD";26.075;0.0298;0.0076;0.0116;0.4613;0.9623;"Full";3
"B-SGD";15.622;0.0297;0.0076;0.0117;0.3986;0.8808;"Full";3
"AvaGrad";22.445;0.0349;0.1471;0.0191;-0.0264;0.2535;"Train";3
"Fisher";145.012;0.0314;0.1464;0.0121;0.3274;0.8314;"Train";3
"NBWaVE";54.069;0.0306;0.1462;0.0127;0.5216;0.9948;"Train";3
"CMF";104.05;0.0317;0.1465;0.0126;0.0114;0.4421;"Train";3
"NMF";113.906;0.0326;0.1467;0.014;-0.0077;0.4263;"Train";3
"NNLM";67.267;0.0308;0.1463;0.012;0.014;0.6347;"Train";3
"AIRWLS";62.552;0.0299;0.1461;0.0105;0.4643;0.9951;"Train";3
"Newton";33.786;0.0299;0.1461;0.0105;0.5373;0.9946;"Train";3
"C-SGD";26.075;0.0296;0.146;0.0113;0.4613;0.9623;"Train";3
"B-SGD";15.622;0.0294;0.146;0.0114;0.3986;0.8808;"Train";3
"AvaGrad";22.445;0.0347;0.4951;0.0196;-0.0264;0.2535;"Test";3
