"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";0.837;0.0178;0.4927;0.0108;-0.0453;0.2438;"Test";5
"Fisher";2.122;0.016;0.4921;0.0143;0.0077;0.374;"Test";5
"NBWaVE";10.567;0.0156;0.4921;0.0067;0.3323;0.7371;"Test";5
"CMF";9.654;0.0167;0.4925;0.0186;-0.0093;0.3591;"Test";5
"NMF";4.884;0.0168;0.4923;0.0128;5e-04;0.3537;"Test";5
"NNLM";3.627;0.0153;0.4928;0.0098;0.0411;0.3658;"Test";5
"AIRWLS";3.596;0.0154;0.4923;0.011;0.0761;0.4519;"Test";5
"Newton";1.824;0.0147;0.4922;0.012;0.168;0.5543;"Test";5
"C-SGD";3.379;0.0154;0.4923;0.0067;0.2217;0.6112;"Test";5
"B-SGD";1.955;0.0199;0.4925;0.0065;0.0764;0.4389;"Test";5
"AvaGrad";0.825;0.0176;0.0028;0.0118;-0.0466;0.2519;"Full";6
"Fisher";1.442;0.0145;0.0023;0.0077;0.0997;0.4972;"Full";6
"NBWaVE";10.195;0.0126;0.002;0.0079;0.3932;0.7717;"Full";6
"CMF";9.517;0.0165;0.0027;0.0116;-0.0742;0.3321;"Full";6
"NMF";4.905;0.0159;0.0026;0.009;0.0228;0.4196;"Full";6
"NNLM";3.623;0.0141;0.0023;0.0066;0.0695;0.523;"Full";6
"AIRWLS";3.606;0.0131;0.0021;0.0061;0.2786;0.6643;"Full";6
"Newton";1.823;0.0131;0.0021;0.0069;0.2752;0.6594;"Full";6
"C-SGD";3.373;0.0131;0.0021;0.0062;0.2229;0.6116;"Full";6
"B-SGD";1.955;0.0129;0.0021;0.0063;0.2305;0.6328;"Full";6
"AvaGrad";0.825;0.0173;0.1408;0.0114;-0.0466;0.2519;"Train";6
"Fisher";1.442;0.0141;0.1405;0.0049;0.0997;0.4972;"Train";6
"NBWaVE";10.195;0.0116;0.1402;0.0076;0.3932;0.7717;"Train";6
"CMF";9.517;0.016;0.1407;0.0064;-0.0742;0.3321;"Train";6
"NMF";4.905;0.0155;0.1407;0.0068;0.0228;0.4196;"Train";6
"NNLM";3.623;0.0137;0.1403;0.0056;0.0695;0.523;"Train";6
"AIRWLS";3.606;0.0126;0.1402;0.0038;0.2786;0.6643;"Train";6
"Newton";1.823;0.0126;0.1402;0.0038;0.2752;0.6594;"Train";6
"C-SGD";3.373;0.0123;0.1402;0.005;0.2229;0.6116;"Train";6
"B-SGD";1.955;0.0115;0.1401;0.0057;0.2305;0.6328;"Train";6
"AvaGrad";0.825;0.0184;0.4939;0.0131;-0.0466;0.2519;"Test";6
"Fisher";1.442;0.0157;0.4934;0.0159;0.0997;0.4972;"Test";6
"NBWaVE";10.195;0.0156;0.4933;0.0088;0.3932;0.7717;"Test";6
"CMF";9.517;0.0179;0.4937;0.0268;-0.0742;0.3321;"Test";6
"NMF";4.905;0.017;0.4936;0.0155;0.0228;0.4196;"Test";6
"NNLM";3.623;0.0153;0.4937;0.0096;0.0695;0.523;"Test";6
"AIRWLS";3.606;0.0145;0.4936;0.0128;0.2786;0.6643;"Test";6
"Newton";1.823;0.0145;0.4935;0.016;0.2752;0.6594;"Test";6
"C-SGD";3.373;0.0153;0.4936;0.0097;0.2229;0.6116;"Test";6
"B-SGD";1.955;0.0168;0.4936;0.0081;0.2305;0.6328;"Test";6
"AvaGrad";11.105;0.0169;0.0022;0.0112;-0.0485;0.4605;"Full";7
"Fisher";1.401;0.0151;0.0019;0.008;0.0856;0.6007;"Full";7
"NBWaVE";11.544;0.0134;0.0017;0.0081;0.3453;0.7409;"Full";7
"CMF";9.848;0.016;0.0021;0.0086;-0.0634;0.4138;"Full";7
"NMF";4.854;0.0167;0.0021;0.0091;-0.0644;0.3694;"Full";7
"NNLM";3.631;0.0147;0.0019;0.007;-0.0219;0.5306;"Full";7
"AIRWLS";3.573;0.0142;0.0018;0.0054;0.4514;0.8167;"Full";7
"Newton";1.822;0.0134;0.0017;0.0059;0.4795;0.8253;"Full";7
"C-SGD";3.374;0.0135;0.0017;0.0058;0.3077;0.7216;"Full";7
"B-SGD";1.946;0.0143;0.0018;0.0058;0.268;0.6868;"Full";7
"AvaGrad";11.105;0.0168;0.1405;0.0098;-0.0485;0.4605;"Train";7
"Fisher";1.401;0.0148;0.1404;0.0048;0.0856;0.6007;"Train";7
"NBWaVE";11.544;0.0125;0.1402;0.0078;0.3453;0.7409;"Train";7
"CMF";9.848;0.0157;0.1402;0.0054;-0.0634;0.4138;"Train";7
"NMF";4.854;0.0165;0.1405;0.0064;-0.0644;0.3694;"Train";7
"NNLM";3.631;0.0144;0.14;0.0052;-0.0219;0.5306;"Train";7
"AIRWLS";3.573;0.0136;0.1401;0.0038;0.4514;0.8167;"Train";7
"Newton";1.822;0.0131;0.14;0.0038;0.4795;0.8253;"Train";7
"C-SGD";3.374;0.0129;0.1401;0.0048;0.3077;0.7216;"Train";7
"B-SGD";1.946;0.0129;0.1402;0.0048;0.268;0.6868;"Train";7
"AvaGrad";11.105;0.0172;0.4931;0.0154;-0.0485;0.4605;"Test";7
"Fisher";1.401;0.016;0.4929;0.0173;0.0856;0.6007;"Test";7
"NBWaVE";11.544;0.0157;0.4927;0.0089;0.3453;0.7409;"Test";7
"CMF";9.848;0.0167;0.4934;0.0179;-0.0634;0.4138;"Test";7
"NMF";4.854;0.0173;0.493;0.0168;-0.0644;0.3694;"Test";7
"NNLM";3.631;0.0153;0.4934;0.0119;-0.0219;0.5306;"Test";7
"AIRWLS";3.573;0.0159;0.493;0.0101;0.4514;0.8167;"Test";7
"Newton";1.822;0.0143;0.493;0.012;0.4795;0.8253;"Test";7
"C-SGD";3.374;0.0153;0.493;0.0085;0.3077;0.7216;"Test";7
"B-SGD";1.946;0.018;0.493;0.0086;0.268;0.6868;"Test";7
"AvaGrad";0.934;0.0207;0.0027;0.0133;-0.0456;0.2638;"Full";8
"Fisher";1.413;0.0169;0.0022;0.0077;0.1635;0.6139;"Full";8
"NBWaVE";15.281;0.0151;0.002;0.0072;0.5146;0.8857;"Full";8
"CMF";9.87;0.0184;0.0024;0.0099;0.1054;0.5425;"Full";8
"NMF";2.563;0.0191;0.0025;0.0095;-0.0039;0.4871;"Full";8
"NNLM";3.632;0.0162;0.0021;0.006;0.198;0.6495;"Full";8
"AIRWLS";3.589;0.0152;0.002;0.0052;0.4009;0.7735;"Full";8
"Newton";1.815;0.0151;0.002;0.0053;0.405;0.7842;"Full";8
"C-SGD";3.369;0.0149;0.002;0.0055;0.4176;0.7737;"Full";8
"B-SGD";1.95;0.0154;0.002;0.0057;0.3044;0.6939;"Full";8
"AvaGrad";0.934;0.0207;0.1422;0.0124;-0.0456;0.2638;"Train";8
"Fisher";1.413;0.0167;0.1419;0.0042;0.1635;0.6139;"Train";8
"NBWaVE";15.281;0.0143;0.1416;0.0066;0.5146;0.8857;"Train";8
"CMF";9.87;0.0181;0.1418;0.0053;0.1054;0.5425;"Train";8
"NMF";2.563;0.0189;0.1421;0.0066;-0.0039;0.4871;"Train";8
"NNLM";3.632;0.016;0.1415;0.0048;0.198;0.6495;"Train";8
"AIRWLS";3.589;0.0149;0.1415;0.0032;0.4009;0.7735;"Train";8
"Newton";1.815;0.0149;0.1415;0.0032;0.405;0.7842;"Train";8
"C-SGD";3.369;0.0141;0.1414;0.0044;0.4176;0.7737;"Train";8
"B-SGD";1.95;0.0137;0.1415;0.0049;0.3044;0.6939;"Train";8
"AvaGrad";0.934;0.0208;0.4913;0.0158;-0.0456;0.2638;"Test";8
"Fisher";1.413;0.0177;0.4908;0.0181;0.1635;0.6139;"Test";8
"NBWaVE";15.281;0.0172;0.4909;0.0088;0.5146;0.8857;"Test";8
"CMF";9.87;0.0194;0.4914;0.0235;0.1054;0.5425;"Test";8
"NMF";2.563;0.0196;0.4911;0.0177;-0.0039;0.4871;"Test";8
"NNLM";3.632;0.0167;0.4913;0.0096;0.198;0.6495;"Test";8
"AIRWLS";3.589;0.016;0.4912;0.0111;0.4009;0.7735;"Test";8
"Newton";1.815;0.016;0.4912;0.0114;0.405;0.7842;"Test";8
"C-SGD";3.369;0.0174;0.4913;0.0087;0.4176;0.7737;"Test";8
"B-SGD";1.95;0.0205;0.4912;0.0081;0.3044;0.6939;"Test";8
"AvaGrad";6.347;0.0171;0.0021;0.0204;-0.0393;0.242;"Full";9
"Fisher";1.421;0.014;0.0017;0.0115;0.1038;0.5108;"Full";9
"NBWaVE";10.32;0.0118;0.0015;0.0112;0.3404;0.7402;"Full";9
"CMF";9.097;0.0144;0.0018;0.0121;0.102;0.4647;"Full";9
"NMF";NA;NA;NA;NA;NA;NA;"Full";9
"NNLM";3.637;0.0133;0.0017;0.0092;0.0523;0.5223;"Full";9
"AIRWLS";3.585;0.0124;0.0015;0.008;0.3794;0.7493;"Full";9
"Newton";1.821;0.0124;0.0015;0.0084;0.3773;0.7555;"Full";9
"C-SGD";3.37;0.0125;0.0016;0.0085;0.2926;0.6804;"Full";9
"B-SGD";1.955;0.0127;0.0016;0.0088;0.1913;0.5702;"Full";9
"AvaGrad";6.347;0.0172;0.1412;0.0199;-0.0393;0.242;"Train";9
"Fisher";1.421;0.0138;0.1409;0.0076;0.1038;0.5108;"Train";9
"NBWaVE";10.32;0.011;0.1406;0.0105;0.3404;0.7402;"Train";9
"CMF";9.097;0.0142;0.1408;0.0081;0.102;0.4647;"Train";9
"NMF";NA;NA;NA;NA;NA;NA;"Train";9
"NNLM";3.637;0.0132;0.1406;0.0076;0.0523;0.5223;"Train";9
"AIRWLS";3.585;0.0121;0.1406;0.0058;0.3794;0.7493;"Train";9
"Newton";1.821;0.0122;0.1407;0.0058;0.3773;0.7555;"Train";9
"C-SGD";3.37;0.012;0.1406;0.0069;0.2926;0.6804;"Train";9
"B-SGD";1.955;0.0112;0.1406;0.0076;0.1913;0.5702;"Train";9
"AvaGrad";6.347;0.0171;0.4919;0.0219;-0.0393;0.242;"Test";9
"Fisher";1.421;0.0146;0.4915;0.0226;0.1038;0.5108;"Test";9
"NBWaVE";10.32;0.0141;0.4915;0.0132;0.3404;0.7402;"Test";9
"CMF";9.097;0.0147;0.4919;0.0236;0.102;0.4647;"Test";9
"NMF";NA;NA;NA;NA;NA;NA;"Test";9
"NNLM";3.637;0.0136;0.4919;0.0139;0.0523;0.5223;"Test";9
"AIRWLS";3.585;0.013;0.4916;0.0142;0.3794;0.7493;"Test";9
"Newton";1.821;0.013;0.4916;0.0159;0.3773;0.7555;"Test";9
"C-SGD";3.37;0.0142;0.4917;0.0129;0.2926;0.6804;"Test";9
"B-SGD";1.955;0.0168;0.4917;0.0123;0.1913;0.5702;"Test";9
"AvaGrad";4.02;0.0186;0.0026;0.0171;-0.0285;0.2559;"Full";10
"Fisher";1.408;0.0148;0.0021;0.0091;0.2582;0.7098;"Full";10
"NBWaVE";8.405;0.0129;0.0018;0.009;0.3774;0.7547;"Full";10
"CMF";8.763;0.0162;0.0023;0.0134;0.063;0.5775;"Full";10
"NMF";4.842;0.0164;0.0023;0.0102;0.0912;0.6213;"Full";10
"NNLM";3.656;0.0146;0.0021;0.0071;0.1566;0.7371;"Full";10
"AIRWLS";3.604;0.0132;0.0019;0.006;0.5116;0.8822;"Full";10
"Newton";1.831;0.0133;0.0019;0.0067;0.4854;0.8583;"Full";10
"C-SGD";3.384;0.0136;0.0019;0.0066;0.4012;0.7828;"Full";10
"B-SGD";1.952;0.0142;0.002;0.0073;0.2869;0.7001;"Full";10
"AvaGrad";4.02;0.0186;0.1407;0.0164;-0.0285;0.2559;"Train";10
"Fisher";1.408;0.0146;0.1404;0.005;0.2582;0.7098;"Train";10
"NBWaVE";8.405;0.0122;0.1401;0.0084;0.3774;0.7547;"Train";10
"CMF";8.763;0.0159;0.1402;0.0058;0.063;0.5775;"Train";10
"NMF";4.842;0.0162;0.1406;0.0069;0.0912;0.6213;"Train";10
"NNLM";3.656;0.0144;0.1401;0.0054;0.1566;0.7371;"Train";10
"AIRWLS";3.604;0.013;0.14;0.0037;0.5116;0.8822;"Train";10
"Newton";1.831;0.013;0.1401;0.0037;0.4854;0.8583;"Train";10
"C-SGD";3.384;0.0126;0.14;0.0051;0.4012;0.7828;"Train";10
"B-SGD";1.952;0.0122;0.1401;0.0061;0.2869;0.7001;"Train";10
"AvaGrad";4.02;0.0185;0.4938;0.019;-0.0285;0.2559;"Test";10
"Fisher";1.408;0.0154;0.4932;0.0205;0.2582;0.7098;"Test";10
"NBWaVE";8.405;0.0152;0.4931;0.0108;0.3774;0.7547;"Test";10
"CMF";8.763;0.0172;0.4939;0.0351;0.063;0.5775;"Test";10
"NMF";4.842;0.0168;0.4933;0.0196;0.0912;0.6213;"Test";10
"NNLM";3.656;0.0151;0.4937;0.012;0.1566;0.7371;"Test";10
"AIRWLS";3.604;0.0138;0.4934;0.0124;0.5116;0.8822;"Test";10
"Newton";1.831;0.014;0.4933;0.0151;0.4854;0.8583;"Test";10
"C-SGD";3.384;0.0165;0.4935;0.011;0.4012;0.7828;"Test";10
"B-SGD";1.952;0.0197;0.4934;0.0107;0.2869;0.7001;"Test";10
"AvaGrad";11.682;0.0179;0.0023;0.0176;-0.0509;0.2572;"Full";11
"Fisher";1.398;0.0146;0.0019;0.0101;0.1254;0.5516;"Full";11
"NBWaVE";10.64;0.0128;0.0017;0.0094;0.4038;0.7871;"Full";11
"CMF";8.471;0.0153;0.002;Inf;0.0493;0.4758;"Full";11
"NMF";NA;NA;NA;NA;NA;NA;"Full";11
"NNLM";3.628;0.0137;0.0018;Inf;0.0566;0.6079;"Full";11
"AIRWLS";3.582;0.0129;0.0017;0.0064;0.3786;0.7552;"Full";11
"Newton";1.838;0.0129;0.0017;0.0068;0.3599;0.7443;"Full";11
"C-SGD";3.374;0.0127;0.0017;0.0066;0.3391;0.733;"Full";11
"B-SGD";1.943;0.0129;0.0017;0.0073;0.2209;0.6088;"Full";11
"AvaGrad";11.682;0.0178;0.1408;0.0168;-0.0509;0.2572;"Train";11
"Fisher";1.398;0.0142;0.1405;0.0057;0.1254;0.5516;"Train";11
"NBWaVE";10.64;0.012;0.1403;0.0087;0.4038;0.7871;"Train";11
"CMF";8.471;0.0146;0.1403;0.006;0.0493;0.4758;"Train";11
"NMF";NA;NA;NA;NA;NA;NA;"Train";11
"NNLM";3.628;0.0134;0.1402;0.0058;0.0566;0.6079;"Train";11
"AIRWLS";3.582;0.0126;0.1402;0.0041;0.3786;0.7552;"Train";11
"Newton";1.838;0.0126;0.1402;0.0041;0.3599;0.7443;"Train";11
"C-SGD";3.374;0.0119;0.1402;0.0054;0.3391;0.733;"Train";11
"B-SGD";1.943;0.0113;0.1402;0.0063;0.2209;0.6088;"Train";11
"AvaGrad";11.682;0.0184;0.4929;0.02;-0.0509;0.2572;"Test";11
"Fisher";1.398;0.0157;0.4925;0.0228;0.1254;0.5516;"Test";11
"NBWaVE";10.64;0.0153;0.4925;0.0112;0.4038;0.7871;"Test";11
"CMF";8.471;0.0176;0.4931;Inf;0.0493;0.4758;"Test";11
"NMF";NA;NA;NA;NA;NA;NA;"Test";11
"NNLM";3.628;0.0143;0.4929;Inf;0.0566;0.6079;"Test";11
"AIRWLS";3.582;0.0138;0.4927;0.0131;0.3786;0.7552;"Test";11
"Newton";1.838;0.0139;0.4927;0.0147;0.3599;0.7443;"Test";11
"C-SGD";3.374;0.0148;0.4927;0.01;0.3391;0.733;"Test";11
"B-SGD";1.943;0.0177;0.4927;0.0101;0.2209;0.6088;"Test";11
"AvaGrad";1.68;0.0211;0.0026;0.0132;-0.0254;0.2493;"Full";12
"Fisher";2.091;0.0167;0.0021;0.0077;0.1037;0.4858;"Full";12
"NBWaVE";9.884;0.0147;0.0018;0.0071;0.1925;0.5785;"Full";12
"CMF";9.816;0.0185;0.0023;0.013;0.0053;0.443;"Full";12
"NMF";4.86;0.0179;0.0022;0.0081;0.0121;0.4374;"Full";12
"NNLM";3.624;0.0156;0.002;0.0058;0.1076;0.5015;"Full";12
"AIRWLS";3.605;0.015;0.0019;0.0047;0.2233;0.586;"Full";12
"Newton";1.827;0.015;0.0019;0.0049;0.2244;0.5827;"Full";12
"C-SGD";3.372;0.0147;0.0018;0.005;0.1781;0.5666;"Full";12
