"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";2.321;0.0274;0.003;0.0202;-0.0393;0.2472;"Full";1
"Fisher";1.697;0.0186;0.002;0.0086;0.2166;0.6142;"Full";1
"NBWaVE";13.715;0.0164;0.0018;0.0083;0.3939;0.8037;"Full";1
"CMF";9.971;0.0196;0.0021;0.0187;0.1427;0.557;"Full";1
"NMF";6.51;0.0202;0.0022;0.0092;0.2004;0.5508;"Full";1
"NNLM";3.609;0.0178;0.002;0.0149;0.0917;0.5245;"Full";1
"AIRWLS";3.621;0.0163;0.0018;0.0066;0.3958;0.7896;"Full";1
"Newton";1.831;0.0159;0.0017;0.0045;0.4785;0.8425;"Full";1
"C-SGD";3.402;0.0165;0.0018;0.0054;0.337;0.7227;"Full";1
"B-SGD";1.939;0.0166;0.0018;0.0075;0.2361;0.6555;"Full";1
"AvaGrad";2.321;0.0274;0.1409;0.0182;-0.0393;0.2472;"Train";1
"Fisher";1.697;0.0183;0.1403;0.0036;0.2166;0.6142;"Train";1
"NBWaVE";13.715;0.0154;0.1401;0.0074;0.3939;0.8037;"Train";1
"CMF";9.971;0.0192;0.1407;0.0042;0.1427;0.557;"Train";1
"NMF";6.51;0.02;0.1404;0.0047;0.2004;0.5508;"Train";1
"NNLM";3.609;0.0174;0.1395;0.0039;0.0917;0.5245;"Train";1
"AIRWLS";3.621;0.0159;0.1399;0.0028;0.3958;0.7896;"Train";1
"Newton";1.831;0.0155;0.1399;0.0028;0.4785;0.8425;"Train";1
"C-SGD";3.402;0.0156;0.14;0.0034;0.337;0.7227;"Train";1
"B-SGD";1.939;0.0142;0.1399;0.004;0.2361;0.6555;"Train";1
"AvaGrad";2.321;0.0275;0.4939;0.0259;-0.0393;0.2472;"Test";1
"Fisher";1.697;0.0197;0.4932;0.0228;0.2166;0.6142;"Test";1
"NBWaVE";13.715;0.0192;0.4931;0.0109;0.3939;0.8037;"Test";1
"CMF";9.971;0.0208;0.4926;0.0603;0.1427;0.557;"Test";1
"NMF";6.51;0.021;0.4933;0.022;0.2004;0.5508;"Test";1
"NNLM";3.609;0.019;0.4944;0.0464;0.0917;0.5245;"Test";1
"AIRWLS";3.621;0.0174;0.4933;0.0177;0.3958;0.7896;"Test";1
"Newton";1.831;0.0173;0.4932;0.0095;0.4785;0.8425;"Test";1
"C-SGD";3.402;0.0193;0.4933;0.0111;0.337;0.7227;"Test";1
"B-SGD";1.939;0.0235;0.4934;0.0176;0.2361;0.6555;"Test";1
"AvaGrad";3.888;0.0177;0.0032;0.0114;-0.0446;0.2457;"Full";2
"Fisher";1.404;0.0152;0.0027;0.0067;-0.004;0.446;"Full";2
"NBWaVE";14.593;0.0131;0.0024;0.0058;0.4634;0.8446;"Full";2
"CMF";9.804;0.0156;0.0028;0.007;0.007;0.3953;"Full";2
"NMF";6.786;0.016;0.0029;0.0071;-0.0579;0.3916;"Full";2
"NNLM";3.632;0.0144;0.0026;0.0049;0.0461;0.5742;"Full";2
"AIRWLS";3.597;0.0135;0.0024;0.0038;0.4005;0.7741;"Full";2
"Newton";1.831;0.0135;0.0024;0.0041;0.3628;0.7634;"Full";2
"C-SGD";3.387;0.0134;0.0024;0.0041;0.3775;0.7573;"Full";2
"B-SGD";1.964;0.0141;0.0025;0.0046;0.1542;0.5841;"Full";2
"AvaGrad";3.888;0.0175;0.142;0.0105;-0.0446;0.2457;"Train";2
"Fisher";1.404;0.0148;0.1417;0.0032;-0.004;0.446;"Train";2
"NBWaVE";14.593;0.0124;0.1413;0.0054;0.4634;0.8446;"Train";2
"CMF";9.804;0.0152;0.1419;0.0035;0.007;0.3953;"Train";2
"NMF";6.786;0.0157;0.1418;0.0042;-0.0579;0.3916;"Train";2
"NNLM";3.632;0.0141;0.1412;0.0035;0.0461;0.5742;"Train";2
"AIRWLS";3.597;0.0131;0.1412;0.0024;0.4005;0.7741;"Train";2
"Newton";1.831;0.0131;0.1412;0.0024;0.3628;0.7634;"Train";2
"C-SGD";3.387;0.0127;0.1412;0.0032;0.3775;0.7573;"Train";2
"B-SGD";1.964;0.0122;0.1413;0.004;0.1542;0.5841;"Train";2
"AvaGrad";3.888;0.0183;0.4926;0.0142;-0.0446;0.2457;"Test";2
"Fisher";1.404;0.0162;0.4921;0.017;-0.004;0.446;"Test";2
"NBWaVE";14.593;0.0154;0.4921;0.007;0.4634;0.8446;"Test";2
"CMF";9.804;0.0166;0.492;0.0171;0.007;0.3953;"Test";2
"NMF";6.786;0.0168;0.4922;0.0157;-0.0579;0.3916;"Test";2
"NNLM";3.632;0.0153;0.4928;0.0091;0.0461;0.5742;"Test";2
"AIRWLS";3.597;0.0145;0.4925;0.0081;0.4005;0.7741;"Test";2
"Newton";1.831;0.0146;0.4924;0.0092;0.3628;0.7634;"Test";2
"C-SGD";3.387;0.0157;0.4925;0.0066;0.3775;0.7573;"Test";2
"B-SGD";1.964;0.0197;0.4925;0.0063;0.1542;0.5841;"Test";2
"AvaGrad";1.102;0.0154;0.0028;0.0097;-0.0343;0.2447;"Full";3
"Fisher";2.185;0.0134;0.0025;0.0068;0.0117;0.4067;"Full";3
"NBWaVE";10.179;0.0114;0.0021;0.0063;0.1725;0.573;"Full";3
"CMF";9.452;0.0139;0.0026;0.007;-0.0041;0.3788;"Full";3
"NMF";NA;NA;NA;NA;NA;NA;"Full";3
"NNLM";3.628;0.0127;0.0023;0.0047;0.0368;0.4766;"Full";3
"AIRWLS";3.587;0.0122;0.0023;0.0044;0.2002;0.5417;"Full";3
"Newton";1.815;0.0122;0.0023;0.0049;0.1699;0.5342;"Full";3
"C-SGD";3.357;0.0122;0.0023;0.0046;0.1478;0.522;"Full";3
"B-SGD";1.95;0.0124;0.0023;0.0046;0.1858;0.5414;"Full";3
"AvaGrad";1.102;0.0153;0.142;0.0091;-0.0343;0.2447;"Train";3
"Fisher";2.185;0.0131;0.1418;0.0035;0.0117;0.4067;"Train";3
"NBWaVE";10.179;0.0105;0.1413;0.0059;0.1725;0.573;"Train";3
"CMF";9.452;0.0136;0.1417;0.0039;-0.0041;0.3788;"Train";3
"NMF";NA;NA;NA;NA;NA;NA;"Train";3
"NNLM";3.628;0.0125;0.1415;0.0038;0.0368;0.4766;"Train";3
"AIRWLS";3.587;0.0119;0.1415;0.0027;0.2002;0.5417;"Train";3
"Newton";1.815;0.0119;0.1415;0.0027;0.1699;0.5342;"Train";3
"C-SGD";3.357;0.0115;0.1414;0.0037;0.1478;0.522;"Train";3
"B-SGD";1.95;0.0109;0.1414;0.0039;0.1858;0.5414;"Train";3
"AvaGrad";1.102;0.0159;0.4918;0.0113;-0.0343;0.2447;"Test";3
"Fisher";2.185;0.0143;0.4916;0.0166;0.0117;0.4067;"Test";3
"NBWaVE";10.179;0.0141;0.4916;0.0073;0.1725;0.573;"Test";3
"CMF";9.452;0.0147;0.4919;0.0161;-0.0041;0.3788;"Test";3
"NMF";NA;NA;NA;NA;NA;NA;"Test";3
"NNLM";3.628;0.0134;0.4918;0.0074;0.0368;0.4766;"Test";3
"AIRWLS";3.587;0.0131;0.4917;0.0095;0.2002;0.5417;"Test";3
"Newton";1.815;0.0131;0.4917;0.0114;0.1699;0.5342;"Test";3
"C-SGD";3.357;0.0144;0.4917;0.0073;0.1478;0.522;"Test";3
"B-SGD";1.95;0.017;0.4918;0.0066;0.1858;0.5414;"Test";3
"AvaGrad";1.443;0.0221;0.0026;0.0148;-0.0327;0.2455;"Full";4
"Fisher";1.442;0.019;0.0023;0.0086;0.1212;0.5365;"Full";4
"NBWaVE";9.453;0.0168;0.002;0.0083;0.3425;0.76;"Full";4
"CMF";10.04;0.0195;0.0024;0.0084;-0.0536;0.3353;"Full";4
"NMF";2.481;0.0208;0.0025;0.0105;-0.0746;0.2972;"Full";4
"NNLM";3.625;0.0185;0.0022;0.007;0.0043;0.4366;"Full";4
"AIRWLS";3.6;0.0174;0.0021;0.006;0.3043;0.6751;"Full";4
"Newton";1.825;0.0174;0.0021;0.0065;0.2694;0.6536;"Full";4
"C-SGD";3.37;0.0175;0.0021;0.0062;0.2578;0.6273;"Full";4
"B-SGD";1.946;0.0176;0.0021;0.0064;0.1967;0.589;"Full";4
"AvaGrad";1.443;0.0221;0.1417;0.0142;-0.0327;0.2455;"Train";4
"Fisher";1.442;0.0187;0.1415;0.0053;0.1212;0.5365;"Train";4
"NBWaVE";9.453;0.0159;0.1412;0.0079;0.3425;0.76;"Train";4
"CMF";10.04;0.0194;0.1416;0.0059;-0.0536;0.3353;"Train";4
"NMF";2.481;0.0206;0.1417;0.0078;-0.0746;0.2972;"Train";4
"NNLM";3.625;0.0181;0.1412;0.0056;0.0043;0.4366;"Train";4
"AIRWLS";3.6;0.0171;0.1412;0.0042;0.3043;0.6751;"Train";4
"Newton";1.825;0.0171;0.1412;0.0042;0.2694;0.6536;"Train";4
"C-SGD";3.37;0.0166;0.1412;0.0051;0.2578;0.6273;"Train";4
"B-SGD";1.946;0.0156;0.1412;0.0057;0.1967;0.589;"Train";4
"AvaGrad";1.443;0.0223;0.4919;0.0167;-0.0327;0.2455;"Test";4
"Fisher";1.442;0.02;0.4916;0.0184;0.1212;0.5365;"Test";4
"NBWaVE";9.453;0.0195;0.4917;0.0094;0.3425;0.76;"Test";4
"CMF";10.04;0.02;0.4916;0.0155;-0.0536;0.3353;"Test";4
"NMF";2.481;0.0213;0.4918;0.0184;-0.0746;0.2972;"Test";4
"NNLM";3.625;0.0195;0.4921;0.0111;0.0043;0.4366;"Test";4
"AIRWLS";3.6;0.0182;0.4918;0.0112;0.3043;0.6751;"Test";4
"Newton";1.825;0.0183;0.4917;0.0133;0.2694;0.6536;"Test";4
"C-SGD";3.37;0.0201;0.4918;0.0091;0.2578;0.6273;"Test";4
"B-SGD";1.946;0.0235;0.4918;0.0085;0.1967;0.589;"Test";4
"AvaGrad";0.837;0.0181;0.0036;0.0097;-0.0453;0.2438;"Full";5
"Fisher";2.122;0.0158;0.0031;0.0063;0.0077;0.374;"Full";5
"NBWaVE";10.567;0.0138;0.0027;0.0061;0.3323;0.7371;"Full";5
"CMF";9.654;0.0165;0.0033;0.0077;-0.0093;0.3591;"Full";5
"NMF";4.884;0.0167;0.0033;0.0068;5e-04;0.3537;"Full";5
"NNLM";3.627;0.0151;0.003;0.0054;0.0411;0.3658;"Full";5
"AIRWLS";3.596;0.0148;0.003;0.0049;0.0761;0.4519;"Full";5
"Newton";1.824;0.0142;0.0028;0.0051;0.168;0.5543;"Full";5
"C-SGD";3.379;0.0138;0.0028;0.0045;0.2217;0.6112;"Full";5
"B-SGD";1.955;0.0146;0.0029;0.0048;0.0764;0.4389;"Full";5
"AvaGrad";0.837;0.0182;0.1424;0.0093;-0.0453;0.2438;"Train";5
"Fisher";2.122;0.0157;0.1422;0.0035;0.0077;0.374;"Train";5
"NBWaVE";10.567;0.0132;0.1418;0.0059;0.3323;0.7371;"Train";5
"CMF";9.654;0.0164;0.1421;0.0039;-0.0093;0.3591;"Train";5
"NMF";4.884;0.0167;0.1423;0.0046;5e-04;0.3537;"Train";5
"NNLM";3.627;0.0151;0.1417;0.0038;0.0411;0.3658;"Train";5
"AIRWLS";3.596;0.0146;0.1419;0.0028;0.0761;0.4519;"Train";5
"Newton";1.824;0.0141;0.1418;0.0027;0.168;0.5543;"Train";5
"C-SGD";3.379;0.0132;0.1417;0.0037;0.2217;0.6112;"Train";5
"B-SGD";1.955;0.0128;0.1417;0.0042;0.0764;0.4389;"Train";5
