"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";49.704;0.0363;0.0082;0.0201;-0.0112;0.262;"Full";1
"Fisher";381.642;0.032;0.0073;0.0132;0.3738;0.737;"Full";1
"NBWaVE";211.685;0.0293;0.0067;0.0129;0.4139;0.74;"Full";1
"CMF";789.789;0.0317;0.0073;0.0188;0.0259;0.5611;"Full";1
"NMF";536.458;0.0326;0.0074;0.0135;0.0345;0.6792;"Full";1
"NNLM";228.215;0.0306;0.007;0.0105;0.094;0.8136;"Full";1
"AIRWLS";218.075;0.0304;0.007;0.0109;0.4834;0.778;"Full";1
"Newton";78.052;0.0304;0.007;0.0123;0.4815;0.7789;"Full";1
"C-SGD";45.855;0.03;0.0069;0.0108;0.4309;0.757;"Full";1
"B-SGD";33.576;0.0302;0.0069;0.0111;0.4313;0.7464;"Full";1
"AvaGrad";49.704;0.0362;0.1464;0.0198;-0.0112;0.262;"Train";1
"Fisher";381.642;0.0316;0.1457;0.0092;0.3738;0.737;"Train";1
"NBWaVE";211.685;0.0276;0.1448;0.0124;0.4139;0.74;"Train";1
"CMF";789.789;0.0311;0.1458;0.0088;0.0259;0.5611;"Train";1
"NMF";536.458;0.0322;0.1458;0.0101;0.0345;0.6792;"Train";1
"NNLM";228.215;0.0302;0.1451;0.0088;0.094;0.8136;"Train";1
"AIRWLS";218.075;0.0298;0.1451;0.0082;0.4834;0.778;"Train";1
"Newton";78.052;0.0298;0.1452;0.0082;0.4815;0.7789;"Train";1
"C-SGD";45.855;0.0286;0.145;0.0094;0.4309;0.757;"Train";1
"B-SGD";33.576;0.0271;0.1449;0.0102;0.4313;0.7464;"Train";1
"AvaGrad";49.704;0.0365;0.4952;0.0208;-0.0112;0.262;"Test";1
"Fisher";381.642;0.0332;0.4944;0.025;0.3738;0.737;"Test";1
"NBWaVE";211.685;0.0343;0.4948;0.0143;0.4139;0.74;"Test";1
"CMF";789.789;0.0334;0.4941;0.0476;0.0259;0.5611;"Test";1
"NMF";536.458;0.0335;0.4945;0.0233;0.0345;0.6792;"Test";1
"NNLM";228.215;0.0318;0.4949;0.0153;0.094;0.8136;"Test";1
"AIRWLS";218.075;0.0321;0.4947;0.0187;0.4834;0.778;"Test";1
"Newton";78.052;0.0322;0.4947;0.0241;0.4815;0.7789;"Test";1
"C-SGD";45.855;0.034;0.4948;0.0148;0.4309;0.757;"Test";1
"B-SGD";33.576;0.0389;0.495;0.0137;0.4313;0.7464;"Test";1
"AvaGrad";486.233;0.0396;0.0075;0.0209;-0.0144;0.2614;"Full";2
"Fisher";328.131;0.0347;0.0066;0.0136;0.3911;0.7635;"Full";2
"NBWaVE";213.887;0.0317;0.006;0.0133;0.3679;0.7539;"Full";2
"CMF";759.078;0.0339;0.0065;0.0161;0.0293;0.5983;"Full";2
"NMF";NA;NA;NA;NA;NA;NA;"Full";2
"NNLM";225.336;0.0332;0.0063;0.011;0.1112;0.7973;"Full";2
"AIRWLS";216.751;0.0331;0.0063;0.0112;0.4829;0.7806;"Full";2
"Newton";78.891;0.0329;0.0063;0.0126;0.4339;0.7745;"Full";2
"C-SGD";45.655;0.0327;0.0062;0.0113;0.4396;0.7689;"Full";2
"B-SGD";32.963;0.0332;0.0063;0.0117;0.3863;0.7336;"Full";2
"AvaGrad";486.233;0.0396;0.1459;0.0208;-0.0144;0.2614;"Train";2
"Fisher";328.131;0.0343;0.1452;0.0096;0.3911;0.7635;"Train";2
"NBWaVE";213.887;0.0298;0.1444;0.0129;0.3679;0.7539;"Train";2
"CMF";759.078;0.0335;0.1454;0.0092;0.0293;0.5983;"Train";2
"NMF";NA;NA;NA;NA;NA;NA;"Train";2
"NNLM";225.336;0.0328;0.1447;0.0092;0.1112;0.7973;"Train";2
"AIRWLS";216.751;0.0323;0.1448;0.0087;0.4829;0.7806;"Train";2
"Newton";78.891;0.0322;0.1447;0.0086;0.4339;0.7745;"Train";2
"C-SGD";45.655;0.0308;0.1446;0.0101;0.4396;0.7689;"Train";2
"B-SGD";32.963;0.0295;0.1446;0.0107;0.3863;0.7336;"Train";2
"AvaGrad";486.233;0.0396;0.4945;0.0213;-0.0144;0.2614;"Test";2
"Fisher";328.131;0.0358;0.4938;0.0249;0.3911;0.7635;"Test";2
"NBWaVE";213.887;0.037;0.4941;0.0145;0.3679;0.7539;"Test";2
"CMF";759.078;0.0352;0.4933;0.0358;0.0293;0.5983;"Test";2
"NMF";NA;NA;NA;NA;NA;NA;"Test";2
"NNLM";225.336;0.0342;0.4942;0.016;0.1112;0.7973;"Test";2
"AIRWLS";216.751;0.0354;0.4941;0.0183;0.4829;0.7806;"Test";2
"Newton";78.891;0.0348;0.494;0.0239;0.4339;0.7745;"Test";2
"C-SGD";45.655;0.038;0.4942;0.0149;0.4396;0.7689;"Test";2
"B-SGD";32.963;0.0439;0.4944;0.0144;0.3863;0.7336;"Test";2
"AvaGrad";400.528;0.0387;0.0073;0.0274;-0.0317;0.2657;"Full";3
"Fisher";313.829;0.0336;0.0064;0.0163;0.4465;0.8251;"Full";3
"NBWaVE";247.906;0.0308;0.0058;0.0156;0.4869;0.8063;"Full";3
"CMF";791.243;0.0327;0.0062;0.0164;0.194;0.805;"Full";3
"NMF";535.575;0.0342;0.0065;0.0166;0.263;0.8695;"Full";3
"NNLM";226.342;0.032;0.0061;0.0126;0.2332;0.9339;"Full";3
"AIRWLS";217.238;0.0319;0.0061;0.0133;0.564;0.8477;"Full";3
"Newton";78.735;0.0318;0.0061;0.0145;0.5537;0.8428;"Full";3
"C-SGD";45.217;0.0314;0.006;0.013;0.5242;0.8249;"Full";3
"B-SGD";32.997;0.0317;0.0061;0.0135;0.4577;0.7863;"Full";3
"AvaGrad";400.528;0.0387;0.1457;0.0272;-0.0317;0.2657;"Train";3
"Fisher";313.829;0.0332;0.1451;0.0115;0.4465;0.8251;"Train";3
"NBWaVE";247.906;0.029;0.1443;0.0149;0.4869;0.8063;"Train";3
"CMF";791.243;0.0323;0.1449;0.0107;0.194;0.805;"Train";3
"NMF";535.575;0.0339;0.1452;0.0127;0.263;0.8695;"Train";3
"NNLM";226.342;0.0317;0.1445;0.0109;0.2332;0.9339;"Train";3
"AIRWLS";217.238;0.0312;0.1445;0.0101;0.564;0.8477;"Train";3
"Newton";78.735;0.0312;0.1446;0.0101;0.5537;0.8428;"Train";3
"C-SGD";45.217;0.0299;0.1444;0.0117;0.5242;0.8249;"Train";3
"B-SGD";32.997;0.0284;0.1444;0.0125;0.4577;0.7863;"Train";3
"AvaGrad";400.528;0.0388;0.4944;0.028;-0.0317;0.2657;"Test";3
"Fisher";313.829;0.0349;0.4936;0.0301;0.4465;0.8251;"Test";3
"NBWaVE";247.906;0.0359;0.494;0.0175;0.4869;0.8063;"Test";3
"CMF";791.243;0.034;0.4937;0.0326;0.194;0.805;"Test";3
"NMF";535.575;0.0353;0.4937;0.0277;0.263;0.8695;"Test";3
"NNLM";226.342;0.033;0.4941;0.0174;0.2332;0.9339;"Test";3
"AIRWLS";217.238;0.0336;0.494;0.0222;0.564;0.8477;"Test";3
"Newton";78.735;0.0336;0.4939;0.0272;0.5537;0.8428;"Test";3
"C-SGD";45.217;0.0358;0.4941;0.0167;0.5242;0.8249;"Test";3
"B-SGD";32.997;0.0411;0.4942;0.0163;0.4577;0.7863;"Test";3
"AvaGrad";34.157;0.0352;0.0085;0.0209;-0.0233;0.2683;"Full";4
"Fisher";422.092;0.0315;0.0076;0.0134;0.2782;0.7026;"Full";4
"NBWaVE";240.767;0.0288;0.007;0.0131;0.4227;0.7543;"Full";4
"CMF";797.276;0.0311;0.0076;Inf;0.1489;0.6785;"Full";4
"NMF";NA;NA;NA;NA;NA;NA;"Full";4
"NNLM";227.239;0.0302;0.0073;Inf;0.2221;0.8746;"Full";4
"AIRWLS";217.982;0.03;0.0073;0.0114;0.4922;0.7981;"Full";4
"Newton";78.202;0.03;0.0073;0.0126;0.4945;0.7915;"Full";4
"C-SGD";45.741;0.0294;0.0072;0.011;0.4982;0.7921;"Full";4
"B-SGD";33.093;0.0296;0.0072;0.0113;0.471;0.7568;"Full";4
"AvaGrad";34.157;0.0352;0.1467;0.0207;-0.0233;0.2683;"Train";4
"Fisher";422.092;0.0311;0.1461;0.0094;0.2782;0.7026;"Train";4
"NBWaVE";240.767;0.0272;0.1452;0.0126;0.4227;0.7543;"Train";4
"CMF";797.276;0.0307;0.146;0.0089;0.1489;0.6785;"Train";4
"NMF";NA;NA;NA;NA;NA;NA;"Train";4
"NNLM";227.239;0.0299;0.1456;0.009;0.2221;0.8746;"Train";4
"AIRWLS";217.982;0.0295;0.1456;0.0082;0.4922;0.7981;"Train";4
"Newton";78.202;0.0295;0.1456;0.0082;0.4945;0.7915;"Train";4
"C-SGD";45.741;0.028;0.1453;0.0098;0.4982;0.7921;"Train";4
"B-SGD";33.093;0.0267;0.1453;0.0105;0.471;0.7568;"Train";4
"AvaGrad";34.157;0.0353;0.495;0.0214;-0.0233;0.2683;"Test";4
"Fisher";422.092;0.0324;0.4943;0.0249;0.2782;0.7026;"Test";4
