"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"NBWaVE";240.767;0.0334;0.4947;0.0145;0.4227;0.7543;"Test";4
"CMF";797.276;0.0322;0.4944;Inf;0.1489;0.6785;"Test";4
"NMF";NA;NA;NA;NA;NA;NA;"Test";4
"NNLM";227.239;0.0311;0.4947;Inf;0.2221;0.8746;"Test";4
"AIRWLS";217.982;0.0314;0.4946;0.0206;0.4922;0.7981;"Test";4
"Newton";78.202;0.0315;0.4946;0.0252;0.4945;0.7915;"Test";4
"C-SGD";45.741;0.0336;0.4948;0.0142;0.4982;0.7921;"Test";4
"B-SGD";33.093;0.0378;0.4949;0.0137;0.471;0.7568;"Test";4
"AvaGrad";50.906;0.0393;0.0074;0.0221;-0.0229;0.2596;"Full";5
"Fisher";341.499;0.0344;0.0065;0.0143;0.4479;0.7963;"Full";5
"NBWaVE";181.782;0.0315;0.0059;0.014;0.4319;0.7794;"Full";5
"CMF";771.988;0.0337;0.0063;0.0154;0.0382;0.7625;"Full";5
"NMF";535.811;0.0349;0.0066;0.0145;0.1712;0.7657;"Full";5
"NNLM";225.63;0.0329;0.0062;0.0119;0.1958;0.8592;"Full";5
"AIRWLS";216.676;0.0327;0.0062;0.012;0.5297;0.8235;"Full";5
"Newton";78.391;0.0326;0.0062;0.0134;0.5253;0.8235;"Full";5
"C-SGD";45.276;0.0324;0.0061;0.0119;0.5249;0.8064;"Full";5
"B-SGD";32.986;0.0325;0.0061;0.0123;0.471;0.7923;"Full";5
"AvaGrad";50.906;0.0392;0.1454;0.0219;-0.0229;0.2596;"Train";5
"Fisher";341.499;0.034;0.1448;0.0104;0.4479;0.7963;"Train";5
"NBWaVE";181.782;0.0296;0.144;0.0136;0.4319;0.7794;"Train";5
"CMF";771.988;0.0332;0.1447;0.0099;0.0382;0.7625;"Train";5
"NMF";535.811;0.0346;0.1449;0.0113;0.1712;0.7657;"Train";5
"NNLM";225.63;0.0325;0.1443;0.01;0.1958;0.8592;"Train";5
"AIRWLS";216.676;0.032;0.1443;0.0094;0.5297;0.8235;"Train";5
"Newton";78.391;0.032;0.1443;0.0093;0.5253;0.8235;"Train";5
"C-SGD";45.276;0.0308;0.1442;0.0106;0.5249;0.8064;"Train";5
"B-SGD";32.986;0.029;0.1441;0.0114;0.471;0.7923;"Train";5
"AvaGrad";50.906;0.0395;0.495;0.0227;-0.0229;0.2596;"Test";5
"Fisher";341.499;0.0357;0.4943;0.0254;0.4479;0.7963;"Test";5
"NBWaVE";181.782;0.0368;0.4946;0.0153;0.4319;0.7794;"Test";5
"CMF";771.988;0.035;0.4943;0.0311;0.0382;0.7625;"Test";5
"NMF";535.811;0.0359;0.4943;0.0239;0.1712;0.7657;"Test";5
"NNLM";225.63;0.0342;0.4947;0.0172;0.1958;0.8592;"Test";5
"AIRWLS";216.676;0.0346;0.4946;0.0195;0.5297;0.8235;"Test";5
"Newton";78.391;0.0346;0.4945;0.0249;0.5253;0.8235;"Test";5
"C-SGD";45.276;0.037;0.4947;0.0157;0.5249;0.8064;"Test";5
"B-SGD";32.986;0.0426;0.4948;0.0149;0.471;0.7923;"Test";5
"AvaGrad";46.692;0.0371;0.008;0.0225;-0.0112;0.2592;"Full";6
"Fisher";341.307;0.0328;0.0071;0.0142;0.2802;0.6951;"Full";6
"NBWaVE";209.792;0.0298;0.0065;0.0136;0.4214;0.76;"Full";6
"CMF";792.626;0.0322;0.007;0.0149;0.0593;0.6386;"Full";6
"NMF";536.544;0.0333;0.0072;0.0144;0.0923;0.7081;"Full";6
"NNLM";227.924;0.0313;0.0069;0.0111;0.0934;0.7783;"Full";6
"AIRWLS";217.103;0.0312;0.0068;0.0118;0.4948;0.7992;"Full";6
"Newton";78.067;0.0311;0.0068;0.013;0.5193;0.8063;"Full";6
"C-SGD";45.801;0.0307;0.0067;0.0115;0.4408;0.7667;"Full";6
"B-SGD";33.357;0.0309;0.0068;0.0119;0.3529;0.7033;"Full";6
"AvaGrad";46.692;0.0371;0.1464;0.0223;-0.0112;0.2592;"Train";6
"Fisher";341.307;0.0325;0.1457;0.01;0.2802;0.6951;"Train";6
"NBWaVE";209.792;0.0281;0.1448;0.0132;0.4214;0.76;"Train";6
"CMF";792.626;0.0319;0.1457;0.0094;0.0593;0.6386;"Train";6
"NMF";536.544;0.033;0.1458;0.0109;0.0923;0.7081;"Train";6
"NNLM";227.924;0.031;0.1452;0.0095;0.0934;0.7783;"Train";6
"AIRWLS";217.103;0.0307;0.1452;0.0089;0.4948;0.7992;"Train";6
"Newton";78.067;0.0306;0.1452;0.0089;0.5193;0.8063;"Train";6
"C-SGD";45.801;0.0291;0.145;0.0102;0.4408;0.7667;"Train";6
"B-SGD";33.357;0.0275;0.145;0.011;0.3529;0.7033;"Train";6
"AvaGrad";46.692;0.037;0.4947;0.0229;-0.0112;0.2592;"Test";6
"Fisher";341.307;0.0336;0.494;0.026;0.2802;0.6951;"Test";6
"NBWaVE";209.792;0.0347;0.4943;0.0149;0.4214;0.76;"Test";6
"CMF";792.626;0.0331;0.4939;0.0304;0.0593;0.6386;"Test";6
"NMF";536.544;0.0339;0.4941;0.0241;0.0923;0.7081;"Test";6
"NNLM";227.924;0.0322;0.4944;0.0157;0.0934;0.7783;"Test";6
"AIRWLS";217.103;0.0327;0.4943;0.0201;0.4948;0.7992;"Test";6
"Newton";78.067;0.0326;0.4942;0.0248;0.5193;0.8063;"Test";6
"C-SGD";45.801;0.0352;0.4945;0.0152;0.4408;0.7667;"Test";6
"B-SGD";33.357;0.0405;0.4946;0.0144;0.3529;0.7033;"Test";6
"AvaGrad";482.319;0.0406;0.0064;0.0243;-0.0255;0.2619;"Full";7
"Fisher";269.367;0.0354;0.0056;0.0165;0.3793;0.7501;"Full";7
"NBWaVE";214.468;0.0321;0.0051;0.0163;0.4514;0.7877;"Full";7
"CMF";794.91;0.0349;0.0055;0.0198;0.0305;0.5737;"Full";7
"NMF";536.491;0.036;0.0057;0.0169;0.0475;0.7153;"Full";7
"NNLM";226.626;0.0337;0.0054;0.0136;0.0823;0.8194;"Full";7
"AIRWLS";216.8;0.0336;0.0053;0.0141;0.5189;0.815;"Full";7
"Newton";78.595;0.0336;0.0053;0.0157;0.5095;0.813;"Full";7
"C-SGD";45.706;0.0332;0.0053;0.014;0.5097;0.8025;"Full";7
"B-SGD";33.287;0.0338;0.0054;0.0145;0.3737;0.7473;"Full";7
"AvaGrad";482.319;0.0405;0.1449;0.0241;-0.0255;0.2619;"Train";7
"Fisher";269.367;0.035;0.1444;0.0125;0.3793;0.7501;"Train";7
"NBWaVE";214.468;0.0301;0.1436;0.0158;0.4514;0.7877;"Train";7
"CMF";794.91;0.0343;0.1445;0.0118;0.0305;0.5737;"Train";7
"NMF";536.491;0.0357;0.1445;0.0137;0.0475;0.7153;"Train";7
"NNLM";226.626;0.0333;0.1439;0.0119;0.0823;0.8194;"Train";7
"AIRWLS";216.8;0.0329;0.1439;0.0112;0.5189;0.815;"Train";7
"Newton";78.595;0.0329;0.144;0.0111;0.5095;0.813;"Train";7
"C-SGD";45.706;0.0314;0.1438;0.0127;0.5097;0.8025;"Train";7
"B-SGD";33.287;0.0297;0.1438;0.0134;0.3737;0.7473;"Train";7
"AvaGrad";482.319;0.0406;0.4939;0.0248;-0.0255;0.2619;"Test";7
"Fisher";269.367;0.0366;0.4933;0.0279;0.3793;0.7501;"Test";7
"NBWaVE";214.468;0.0378;0.4935;0.0178;0.4514;0.7877;"Test";7
"CMF";794.91;0.0367;0.4929;0.0424;0.0305;0.5737;"Test";7
"NMF";536.491;0.037;0.4933;0.0259;0.0475;0.7153;"Test";7
"NNLM";226.626;0.0349;0.4936;0.0183;0.0823;0.8194;"Test";7
"AIRWLS";216.8;0.0355;0.4935;0.0227;0.5189;0.815;"Test";7
"Newton";78.595;0.0355;0.4935;0.0289;0.5095;0.813;"Test";7
"C-SGD";45.706;0.0383;0.4936;0.018;0.5097;0.8025;"Test";7
"B-SGD";33.287;0.0453;0.4938;0.0176;0.3737;0.7473;"Test";7
"AvaGrad";495.645;0.0351;0.0083;0.0213;-0.0186;0.2553;"Full";8
"Fisher";268.536;0.0311;0.0074;0.0133;0.4346;0.7987;"Full";8
"NBWaVE";240.642;0.0286;0.0068;0.0129;0.4871;0.785;"Full";8
"CMF";791.847;0.0306;0.0073;0.0137;0.1672;0.8095;"Full";8
"NMF";536.905;0.0317;0.0076;0.0135;0.0812;0.7877;"Full";8
"NNLM";226.92;0.0299;0.0072;0.0103;0.2454;0.9408;"Full";8
"AIRWLS";216.542;0.0297;0.0071;0.0109;0.535;0.8387;"Full";8
"Newton";78.935;0.0297;0.0071;0.0122;0.5412;0.8327;"Full";8
"C-SGD";46.019;0.0293;0.007;0.0108;0.5067;0.8233;"Full";8
"B-SGD";33.346;0.0295;0.0071;0.0111;0.5027;0.8047;"Full";8
"AvaGrad";495.645;0.035;0.1466;0.0211;-0.0186;0.2553;"Train";8
"Fisher";268.536;0.0308;0.146;0.009;0.4346;0.7987;"Train";8
"NBWaVE";240.642;0.027;0.145;0.0124;0.4871;0.785;"Train";8
"CMF";791.847;0.0302;0.1458;0.0085;0.1672;0.8095;"Train";8
"NMF";536.905;0.0314;0.1461;0.01;0.0812;0.7877;"Train";8
"NNLM";226.92;0.0296;0.1454;0.0087;0.2454;0.9408;"Train";8
"AIRWLS";216.542;0.0292;0.1454;0.0081;0.535;0.8387;"Train";8
"Newton";78.935;0.0291;0.1454;0.008;0.5412;0.8327;"Train";8
"C-SGD";46.019;0.0277;0.1452;0.0096;0.5067;0.8233;"Train";8
"B-SGD";33.346;0.0264;0.1452;0.0103;0.5027;0.8047;"Train";8
"AvaGrad";495.645;0.0352;0.495;0.0219;-0.0186;0.2553;"Test";8
"Fisher";268.536;0.0321;0.4942;0.0256;0.4346;0.7987;"Test";8
"NBWaVE";240.642;0.0332;0.4946;0.0143;0.4871;0.785;"Test";8
"CMF";791.847;0.0317;0.4942;0.0286;0.1672;0.8095;"Test";8
"NMF";536.905;0.0326;0.4943;0.0236;0.0812;0.7877;"Test";8
"NNLM";226.92;0.0309;0.4947;0.0149;0.2454;0.9408;"Test";8
"AIRWLS";216.542;0.0311;0.4946;0.0191;0.535;0.8387;"Test";8
"Newton";78.935;0.0312;0.4945;0.0241;0.5412;0.8327;"Test";8
"C-SGD";46.019;0.0338;0.4948;0.0143;0.5067;0.8233;"Test";8
"B-SGD";33.346;0.0382;0.4949;0.0137;0.5027;0.8047;"Test";8
"AvaGrad";47.906;0.0375;0.0077;0.0187;-0.0152;0.2598;"Full";9
"Fisher";239.221;0.0328;0.0068;0.0128;0.4837;0.8118;"Full";9
"NBWaVE";240.291;0.03;0.0062;0.0128;0.4882;0.7947;"Full";9
"CMF";790.759;0.0323;0.0067;0.0152;-0.0042;0.5528;"Full";9
"NMF";536.574;0.0334;0.0069;0.0131;0.0043;0.6783;"Full";9
"NNLM";226.172;0.0314;0.0065;0.0106;0.08;0.7779;"Full";9
"AIRWLS";217.787;0.0312;0.0065;0.011;0.5324;0.8283;"Full";9
"Newton";78.879;0.0312;0.0065;0.0123;0.5181;0.8261;"Full";9
"C-SGD";45.788;0.0309;0.0064;0.0108;0.5252;0.8104;"Full";9
"B-SGD";33.51;0.0313;0.0065;0.0114;0.4954;0.7922;"Full";9
"AvaGrad";47.906;0.0375;0.146;0.0185;-0.0152;0.2598;"Train";9
"Fisher";239.221;0.0325;0.1453;0.0093;0.4837;0.8118;"Train";9
"NBWaVE";240.291;0.0283;0.1445;0.0124;0.4882;0.7947;"Train";9
"CMF";790.759;0.0319;0.1453;0.0089;-0.0042;0.5528;"Train";9
"NMF";536.574;0.0332;0.1454;0.0102;0.0043;0.6783;"Train";9
"NNLM";226.172;0.0311;0.1448;0.0091;0.08;0.7779;"Train";9
"AIRWLS";217.787;0.0306;0.1449;0.0084;0.5324;0.8283;"Train";9
"Newton";78.879;0.0306;0.1449;0.0084;0.5181;0.8261;"Train";9
"C-SGD";45.788;0.0293;0.1447;0.0096;0.5252;0.8104;"Train";9
"B-SGD";33.51;0.0276;0.1447;0.0105;0.4954;0.7922;"Train";9
"AvaGrad";47.906;0.0375;0.4947;0.0191;-0.0152;0.2598;"Test";9
"Fisher";239.221;0.0337;0.494;0.0227;0.4837;0.8118;"Test";9
"NBWaVE";240.291;0.035;0.4943;0.0139;0.4882;0.7947;"Test";9
"CMF";790.759;0.0334;0.4939;0.0329;-0.0042;0.5528;"Test";9
"NMF";536.574;0.0342;0.494;0.0211;0.0043;0.6783;"Test";9
"NNLM";226.172;0.0324;0.4943;0.0146;0.08;0.7779;"Test";9
"AIRWLS";217.787;0.033;0.4942;0.0182;0.5324;0.8283;"Test";9
"Newton";78.879;0.0328;0.4941;0.0235;0.5181;0.8261;"Test";9
"C-SGD";45.788;0.0355;0.4943;0.0142;0.5252;0.8104;"Test";9
"B-SGD";33.51;0.0418;0.4945;0.0138;0.4954;0.7922;"Test";9
"AvaGrad";502.476;0.0367;0.008;0.0246;-0.0129;0.2567;"Full";10
"Fisher";395.34;0.0327;0.0072;0.0146;0.4367;0.7963;"Full";10
"NBWaVE";215.078;0.0298;0.0065;0.0141;0.4877;0.7896;"Full";10
"CMF";798.488;0.0323;0.0071;0.0155;0.182;0.7815;"Full";10
"NMF";536.191;0.0332;0.0073;0.0148;0.1455;0.8203;"Full";10
"NNLM";228.9;0.0314;0.0069;0.0113;0.2841;0.9451;"Full";10
"AIRWLS";217.185;0.0312;0.0069;0.012;0.5229;0.8267;"Full";10
"Newton";78.896;0.0311;0.0068;0.0131;0.5002;0.8202;"Full";10
"C-SGD";45.735;0.0306;0.0067;0.0118;0.5133;0.8177;"Full";10
"B-SGD";33.396;0.031;0.0068;0.0122;0.5009;0.802;"Full";10
"AvaGrad";502.476;0.0367;0.1463;0.0244;-0.0129;0.2567;"Train";10
"Fisher";395.34;0.0324;0.1458;0.0098;0.4367;0.7963;"Train";10
"NBWaVE";215.078;0.0282;0.1448;0.0136;0.4877;0.7896;"Train";10
"CMF";798.488;0.0319;0.1455;0.0092;0.182;0.7815;"Train";10
"NMF";536.191;0.033;0.1459;0.0108;0.1455;0.8203;"Train";10
"NNLM";228.9;0.0311;0.1452;0.0093;0.2841;0.9451;"Train";10
"AIRWLS";217.185;0.0307;0.1452;0.0086;0.5229;0.8267;"Train";10
"Newton";78.896;0.0306;0.1452;0.0086;0.5002;0.8202;"Train";10
"C-SGD";45.735;0.0292;0.145;0.0105;0.5133;0.8177;"Train";10
"B-SGD";33.396;0.0278;0.145;0.0111;0.5009;0.802;"Train";10
"AvaGrad";502.476;0.0365;0.4947;0.0251;-0.0129;0.2567;"Test";10
"Fisher";395.34;0.0336;0.494;0.0283;0.4367;0.7963;"Test";10
"NBWaVE";215.078;0.0345;0.4944;0.0157;0.4877;0.7896;"Test";10
"CMF";798.488;0.0333;0.4944;0.0337;0.182;0.7815;"Test";10
"NMF";536.191;0.0339;0.494;0.0263;0.1455;0.8203;"Test";10
"NNLM";228.9;0.0321;0.4945;0.0168;0.2841;0.9451;"Test";10
"AIRWLS";217.185;0.0325;0.4944;0.0215;0.5229;0.8267;"Test";10
"Newton";78.896;0.0326;0.4943;0.0259;0.5002;0.8202;"Test";10
"C-SGD";45.735;0.0349;0.4945;0.0154;0.5133;0.8177;"Test";10
"B-SGD";33.396;0.0401;0.4946;0.0152;0.5009;0.802;"Test";10
"AvaGrad";499.428;0.0381;0.0081;0.0214;-0.0192;0.2575;"Full";11
"Fisher";309.251;0.0337;0.0072;0.0134;0.3256;0.7367;"Full";11
"NBWaVE";219.531;0.0308;0.0065;0.013;0.396;0.7447;"Full";11
"CMF";790.721;0.0332;0.0071;0.0136;0.1092;0.6878;"Full";11
"NMF";537.425;0.0344;0.0073;0.0137;0.0667;0.6499;"Full";11
"NNLM";226.922;0.0323;0.0069;0.0105;0.1495;0.8297;"Full";11
"AIRWLS";217.014;0.0321;0.0069;0.0109;0.4702;0.7796;"Full";11
"Newton";78.638;0.032;0.0068;0.0122;0.4458;0.7745;"Full";11
"C-SGD";45.745;0.0317;0.0068;0.0108;0.4539;0.7762;"Full";11
"B-SGD";33.313;0.0321;0.0069;0.0112;0.3829;0.7171;"Full";11
"AvaGrad";499.428;0.0381;0.1462;0.0212;-0.0192;0.2575;"Train";11
"Fisher";309.251;0.0334;0.1456;0.0089;0.3256;0.7367;"Train";11
"NBWaVE";219.531;0.029;0.1447;0.0125;0.396;0.7447;"Train";11
"CMF";790.721;0.0329;0.1453;0.0086;0.1092;0.6878;"Train";11
"NMF";537.425;0.0341;0.1457;0.01;0.0667;0.6499;"Train";11
"NNLM";226.922;0.0319;0.1451;0.0087;0.1495;0.8297;"Train";11
"AIRWLS";217.014;0.0315;0.1451;0.0081;0.4702;0.7796;"Train";11
"Newton";78.638;0.0315;0.1451;0.0081;0.4458;0.7745;"Train";11
"C-SGD";45.745;0.0303;0.1449;0.0094;0.4539;0.7762;"Train";11
"B-SGD";33.313;0.0287;0.1449;0.0102;0.3829;0.7171;"Train";11
"AvaGrad";499.428;0.0381;0.495;0.0219;-0.0192;0.2575;"Test";11
"Fisher";309.251;0.0347;0.4943;0.0261;0.3256;0.7367;"Test";11
"NBWaVE";219.531;0.0358;0.4946;0.0142;0.396;0.7447;"Test";11
"CMF";790.721;0.0343;0.4946;0.0279;0.1092;0.6878;"Test";11
"NMF";537.425;0.0353;0.4944;0.0244;0.0667;0.6499;"Test";11
"NNLM";226.922;0.0332;0.4947;0.0156;0.1495;0.8297;"Test";11
"AIRWLS";217.014;0.0337;0.4946;0.019;0.4702;0.7796;"Test";11
"Newton";78.638;0.0337;0.4945;0.024;0.4458;0.7745;"Test";11
"C-SGD";45.745;0.0359;0.4947;0.0147;0.4539;0.7762;"Test";11
"B-SGD";33.313;0.0417;0.4948;0.0139;0.3829;0.7171;"Test";11
"AvaGrad";48.668;0.0376;0.0077;0.0228;-0.0172;0.2601;"Full";12
"Fisher";374.655;0.0329;0.0068;0.0141;0.3415;0.727;"Full";12
"NBWaVE";215.442;0.0301;0.0062;0.0136;0.452;0.7731;"Full";12
"CMF";791.637;0.0326;0.0068;0.0158;0.0279;0.611;"Full";12
"NMF";537.103;0.0336;0.0069;0.0143;0.0548;0.6426;"Full";12
"NNLM";227.195;0.0315;0.0066;0.0109;0.1611;0.8492;"Full";12
"AIRWLS";217.159;0.0313;0.0065;0.0113;0.499;0.7971;"Full";12
"Newton";78.75;0.0312;0.0065;0.0128;0.4948;0.8046;"Full";12
"C-SGD";45.813;0.031;0.0064;0.0113;0.474;0.7793;"Full";12
