"iteration";"model";"dimension";"ncomp";"time";"error";"deviance";"silhouette"
1;"CMF";100;5;353.073;0.0458;0.0219;0.0444
1;"NMF";100;5;481.321;0.0469;0.0231;0.005
1;"NMF+";100;5;362.201;0.045;0.0207;0.0225
1;"AvaGrad";100;5;401.237;0.0521;0.0271;-0.0182
1;"Fisher";100;5;287.49;0.0482;0.0216;0.4035
1;"NBWaVE";100;5;209.484;0.0456;0.0206;0.4468
1;"AIRWLS";100;5;169.141;0.0441;0.0194;0.4966
1;"Newton";100;5;153.923;0.0441;0.0196;0.4537
1;"SGD";100;5;42.529;0.0437;0.0194;0.4462
2;"CMF";100;5;349.374;0.0458;NA;0.0226
2;"NMF";100;5;484.497;0.0469;0.0222;-0.0196
2;"NMF+";100;5;276.177;0.0452;0.02;-0.0459
2;"AvaGrad";100;5;163.692;0.0512;0.023;-0.0115
2;"Fisher";100;5;282.557;0.0471;0.0195;0.304
2;"NBWaVE";100;5;207.811;0.0459;0.0203;0.4721
2;"AIRWLS";100;5;169.663;0.0444;0.0194;0.4545
2;"Newton";100;5;138.634;0.0444;0.0196;0.4824
2;"SGD";100;5;43.308;0.0441;0.0191;0.4134
3;"CMF";100;5;355.832;0.046;0.022;0.0664
3;"NMF";100;5;482.321;0.0473;0.0231;-0.0026
3;"NMF+";100;5;277.122;0.0454;0.0205;0.0068
3;"AvaGrad";100;5;1576.045;0.0501;0.027;-0.0214
3;"Fisher";100;5;1045.875;0.046;0.0214;0.3606
3;"NBWaVE";100;5;204.579;0.0462;0.0209;0.3952
3;"AIRWLS";100;5;173.851;0.0447;0.0198;0.4821
3;"Newton";100;5;133.607;0.0446;0.0199;0.4413
3;"SGD";100;5;43.27;0.0445;0.0197;0.457
4;"CMF";100;5;340.02;0.0453;0.0225;0.0855
4;"NMF";100;5;481.414;0.0465;0.0226;0.06
4;"NMF+";100;5;273.457;0.0447;0.0201;0.1001
4;"AvaGrad";100;5;116.224;0.0478;0.0261;-0.0183
4;"Fisher";100;5;236.282;0.0442;0.0207;0.4312
4;"NBWaVE";100;5;215.554;0.0453;0.0201;0.4453
4;"AIRWLS";100;5;233.244;0.0438;0.019;0.4915
4;"Newton";100;5;149.676;0.0438;0.019;0.4693
4;"SGD";100;5;43.261;0.0436;0.0191;0.4417
5;"CMF";100;5;352.928;0.0486;NA;0.0321
5;"NMF";100;5;NA;NA;NA;NA
5;"NMF+";100;5;276.122;0.0475;0.0192;0.0195
5;"AvaGrad";100;5;102.55;0.0489;0.0262;-0.0166
5;"Fisher";100;5;555.24;0.045;0.0218;0.3624
5;"NBWaVE";100;5;204.589;0.0482;0.0196;0.4601
5;"AIRWLS";100;5;227.458;0.0467;0.0192;0.4686
5;"Newton";100;5;135.272;0.0467;0.0194;0.4468
5;"SGD";100;5;43.383;0.0462;0.0185;0.4876
6;"CMF";100;5;340.594;0.0445;NA;-5e-04
6;"NMF";100;5;482.525;0.0455;0.0222;0.0086
6;"NMF+";100;5;275.751;0.0439;0.02;-0.0106
6;"AvaGrad";100;5;113.808;0.0509;0.0261;-0.0187
6;"Fisher";100;5;354.013;0.0468;0.0208;0.408
6;"NBWaVE";100;5;210.25;0.0445;0.0205;0.4844
6;"AIRWLS";100;5;231.751;0.0432;0.0197;0.4451
6;"Newton";100;5;150.982;0.0432;0.0198;0.4264
6;"SGD";100;5;43.309;0.0429;0.0192;0.3911
7;"CMF";100;5;350.054;0.0464;0.021;0.0949
7;"NMF";100;5;NA;NA;NA;NA
7;"NMF+";100;5;276.985;0.0459;0.0197;0.043
7;"AvaGrad";100;5;106.719;0.0501;0.026;-0.0361
7;"Fisher";100;5;321.256;0.0461;0.0213;0.3028
7;"NBWaVE";100;5;212.181;0.0464;0.0199;0.4539
7;"AIRWLS";100;5;195.76;0.045;0.0189;0.4623
7;"Newton";100;5;214.445;0.045;0.0191;0.4629
7;"SGD";100;5;43.662;0.0446;0.0188;0.358
8;"CMF";100;5;342.456;0.0464;NA;0.115
8;"NMF";100;5;NA;NA;NA;NA
8;"NMF+";100;5;276.521;0.0459;NA;0.0125
8;"AvaGrad";100;5;113.17;0.0493;0.0282;-0.0204
8;"Fisher";100;5;395.98;0.0456;0.0232;0.2978
8;"NBWaVE";100;5;216.599;0.0464;0.0204;0.4243
8;"AIRWLS";100;5;197.127;0.045;0.0192;0.4177
8;"Newton";100;5;161.151;0.045;0.0198;0.4734
8;"SGD";100;5;43.126;0.0446;0.0189;0.3648
9;"CMF";100;5;359.466;0.0444;0.0225;0.1238
9;"NMF";100;5;482.81;0.0456;0.0238;-0.0255
9;"NMF+";100;5;277.174;0.0439;0.0213;0.0122
9;"AvaGrad";100;5;158.638;0.0511;0.0289;-0.0078
9;"Fisher";100;5;256;0.0469;0.0229;0.249
9;"NBWaVE";100;5;206.177;0.0445;0.0215;0.4554
9;"AIRWLS";100;5;160.385;0.043;0.0202;0.4622
9;"Newton";100;5;174.52;0.043;0.0203;0.4523
9;"SGD";100;5;43.255;0.0426;0.0201;0.4533
10;"CMF";100;5;344.548;0.0467;0.0206;-0.0299
10;"NMF";100;5;483.002;0.048;0.022;0.0587
10;"NMF+";100;5;276.345;0.0462;0.0193;0.1022
10;"AvaGrad";100;5;115.31;0.0521;0.0268;-0.0144
10;"Fisher";100;5;290.418;0.0478;0.0219;0.3277
10;"NBWaVE";100;5;218.715;0.0469;0.0196;0.4596
10;"AIRWLS";100;5;192.92;0.0456;0.0185;0.4838
10;"Newton";100;5;170.18;0.0455;0.0187;0.478
10;"SGD";100;5;43.17;0.0452;0.0184;0.4486
11;"CMF";100;5;343.382;0.0458;0.0228;-0.0033
11;"NMF";100;5;480.879;0.0471;0.0236;-0.0024
11;"NMF+";100;5;275.514;0.0451;0.0205;0.0241
11;"AvaGrad";100;5;1334.3;0.0477;0.0265;-0.0066
11;"Fisher";100;5;374.589;0.0442;0.022;0.3154
11;"NBWaVE";100;5;207.027;0.046;0.0212;0.4536
11;"AIRWLS";100;5;279.449;0.0446;0.0202;0.4448
11;"Newton";100;5;151.972;0.0445;0.0204;0.4529
11;"SGD";100;5;42.884;0.0442;0.0199;0.4342
12;"CMF";100;5;349.769;0.0454;NA;0.0799
12;"NMF";100;5;NA;NA;NA;NA
12;"NMF+";100;5;275.903;0.0441;NA;-0.0031
12;"AvaGrad";100;5;102.333;0.0502;0.0288;-0.0169
12;"Fisher";100;5;236.47;0.0462;0.0229;0.4161
12;"NBWaVE";100;5;206.403;0.0448;0.0196;0.451
12;"AIRWLS";100;5;213.584;0.0434;0.0188;0.4894
12;"Newton";100;5;147.874;0.0433;0.0191;0.4429
12;"SGD";100;5;42.954;0.0431;0.0186;0.3923
13;"CMF";100;5;345.701;0.0433;0.0208;0.0064
13;"NMF";100;5;NA;NA;NA;NA
13;"NMF+";100;5;276.573;0.0421;0.0188;0.061
13;"AvaGrad";100;5;103.661;0.0492;0.0293;-0.014
13;"Fisher";100;5;198.93;0.0452;0.0233;0.4705
13;"NBWaVE";100;5;215.999;0.0427;0.019;0.4418
13;"AIRWLS";100;5;198.346;0.0414;0.0181;0.4457
13;"Newton";100;5;170.403;0.0413;0.0186;0.4646
13;"SGD";100;5;43.339;0.0411;0.018;0.3873
14;"CMF";100;5;351.281;0.0453;0.021;-0.0045
14;"NMF";100;5;482.389;0.0465;0.0218;4e-04
14;"NMF+";100;5;273.183;0.0449;0.0197;-0.0028
14;"AvaGrad";100;5;113.345;0.0481;0.0276;-0.022
14;"Fisher";100;5;299.626;0.0445;0.0224;0.4161
14;"NBWaVE";100;5;214.199;0.0457;0.0202;0.4427
14;"AIRWLS";100;5;290.187;0.0443;0.0196;0.4232
14;"Newton";100;5;155.034;0.0442;0.02;0.469
14;"SGD";100;5;43.208;0.044;0.0189;0.3424
15;"CMF";100;5;341.271;0.0448;0.0229;0.0858
15;"NMF";100;5;NA;NA;NA;NA
15;"NMF+";100;5;275.91;0.0442;0.0213;-0.0202
15;"AvaGrad";100;5;119.74;0.0481;0.0262;-0.0165
15;"Fisher";100;5;356.393;0.0445;0.0214;0.3172
15;"NBWaVE";100;5;208.384;0.0449;0.0213;0.446
15;"AIRWLS";100;5;177.109;0.0436;0.0199;0.4127
15;"Newton";100;5;192.76;0.0435;0.0199;0.4427
15;"SGD";100;5;42.858;0.0432;0.0198;0.4518
16;"CMF";100;5;349.275;0.0458;0.0203;0.0253
16;"NMF";100;5;NA;NA;NA;NA
16;"NMF+";100;5;275.496;0.0453;0.0187;-0.0061
16;"AvaGrad";100;5;120.957;0.0485;0.0243;-0.0188
16;"Fisher";100;5;335.594;0.0448;0.0194;0.3031
16;"NBWaVE";100;5;203.119;0.0455;0.0186;0.4397
16;"AIRWLS";100;5;215.065;0.0442;0.0177;0.4791
16;"Newton";100;5;159.178;0.0442;0.0178;0.4441
16;"SGD";100;5;42.995;0.0437;0.0175;0.4793
17;"CMF";100;5;348.276;0.0479;0.0225;0.0513
17;"NMF";100;5;NA;NA;NA;NA
17;"NMF+";100;5;275.473;0.0473;0.0201;0.0015
17;"AvaGrad";100;5;106.217;0.048;0.0282;-0.0228
17;"Fisher";100;5;317.882;0.0442;0.0228;0.251
17;"NBWaVE";100;5;204.684;0.048;0.0203;0.4658
17;"AIRWLS";100;5;206.582;0.0465;0.0193;0.4086
17;"Newton";100;5;142.211;0.0464;0.0195;0.3932
17;"SGD";100;5;43.102;0.0462;0.0191;0.4485
18;"CMF";100;5;339.094;0.0471;NA;0.0052
18;"NMF";100;5;NA;NA;NA;NA
18;"NMF+";100;5;276.769;0.0463;0.021;0.0459
18;"AvaGrad";100;5;1616.62;0.0492;0.0254;-0.0109
18;"Fisher";100;5;302.659;0.0455;0.0211;0.3427
18;"NBWaVE";100;5;209.339;0.0468;0.0208;0.4231
18;"AIRWLS";100;5;256.625;0.0453;0.0194;0.3825
18;"Newton";100;5;164.776;0.0453;0.0196;0.4446
18;"SGD";100;5;43.205;0.0449;0.0194;0.4139
19;"CMF";100;5;353.405;0.0481;0.0232;0.0019
19;"NMF";100;5;481.762;0.0495;0.0247;9e-04
19;"NMF+";100;5;275.524;0.047;0.021;-0.0014
19;"AvaGrad";100;5;153.238;0.0491;0.0286;-0.0097
19;"Fisher";100;5;340.175;0.0451;0.0219;0.4282
19;"NBWaVE";100;5;146.195;0.0476;0.0214;0.4209
19;"AIRWLS";100;5;171.036;0.0461;0.0203;0.4941
19;"Newton";100;5;150.229;0.046;0.0205;0.4849
19;"SGD";100;5;43.044;0.0456;0.02;0.4587
20;"CMF";100;5;344.609;0.0459;NA;-0.0212
20;"NMF";100;5;480.766;0.0466;0.0244;0.001
20;"NMF+";100;5;272.673;0.0449;0.022;0.0117
20;"AvaGrad";100;5;115.392;0.051;0.0265;-0.024
20;"Fisher";100;5;286.732;0.0468;0.0215;0.4187
20;"NBWaVE";100;5;207.753;0.0455;0.0219;0.4531
20;"AIRWLS";100;5;175.836;0.044;0.0205;0.4713
20;"Newton";100;5;166.916;0.044;0.0207;0.4516
20;"SGD";100;5;42.914;0.0436;0.0206;0.5085
21;"CMF";100;5;342.021;0.0462;0.0221;0.0596
21;"NMF";100;5;480.818;0.0473;0.0221;0.0028
21;"NMF+";100;5;272.99;0.0455;0.0194;-0.023
21;"AvaGrad";100;5;119.844;0.0482;0.0265;-0.0134
21;"Fisher";100;5;421.712;0.0445;0.0214;0.4153
21;"NBWaVE";100;5;206.873;0.0459;0.0191;0.4002
21;"AIRWLS";100;5;194.271;0.0445;0.0183;0.4864
21;"Newton";100;5;153.534;0.0445;0.0186;0.4801
21;"SGD";100;5;43.102;0.0441;0.018;0.4142
22;"CMF";100;5;359.383;0.0469;0.0208;-0.0087
22;"NMF";100;5;408.087;0.0481;0.0213;-0.0095
22;"NMF+";100;5;273.284;0.0461;0.0182;0.0424
22;"AvaGrad";100;5;1578.908;0.0521;0.0269;-0.0112
22;"Fisher";100;5;249.157;0.0479;0.0218;0.2827
22;"NBWaVE";100;5;206.073;0.0466;0.0186;0.4386
22;"AIRWLS";100;5;180.722;0.0452;0.0179;0.5066
22;"Newton";100;5;156.497;0.0452;0.0183;0.4762
22;"SGD";100;5;43.199;0.0447;0.0174;0.4487
23;"CMF";100;5;346.544;0.0459;0.0223;0.1361
23;"NMF";100;5;482.44;0.0475;0.0242;0.0231
23;"NMF+";100;5;278.425;0.0453;0.0206;0.1417
23;"AvaGrad";100;5;107.79;0.0472;0.0263;-0.0191
23;"Fisher";100;5;309.425;0.0436;0.0209;0.3276
23;"NBWaVE";100;5;200.354;0.0463;0.0214;0.4662
23;"AIRWLS";100;5;184.65;0.0447;0.0201;0.4036
23;"Newton";100;5;167.828;0.0447;0.0203;0.457
23;"SGD";100;5;43.331;0.0444;0.02;0.3582
24;"CMF";100;5;341.729;0.0441;0.0205;0.1569
24;"NMF";100;5;483.29;0.0452;0.0219;0.003
24;"NMF+";100;5;276.248;0.0437;0.0194;-0.0258
24;"AvaGrad";100;5;143.881;0.0495;0.0282;-0.0114
24;"Fisher";100;5;328.969;0.0456;0.0223;0.337
24;"NBWaVE";100;5;202.333;0.0442;0.0196;0.4797
24;"AIRWLS";100;5;170.693;0.0429;0.0183;0.4833
24;"Newton";100;5;206.032;0.0428;0.0183;0.4299
24;"SGD";100;5;43.011;0.0425;0.0183;0.4645
25;"CMF";100;5;342.428;0.0475;0.0219;0.0778
25;"NMF";100;5;NA;NA;NA;NA
25;"NMF+";100;5;274.282;0.0466;0.0198;0.0335
25;"AvaGrad";100;5;1474.485;0.0484;0.0257;-0.0141
25;"Fisher";100;5;351.941;0.0448;0.0205;0.4067
25;"NBWaVE";100;5;220.224;0.0468;0.0187;0.4362
25;"AIRWLS";100;5;201.905;0.0455;0.0175;0.476
25;"Newton";100;5;181.16;0.0454;0.0176;0.4354
25;"SGD";100;5;42.592;0.045;0.0177;0.4501
